anonymous_topology	held_domain	n	positives	auc_nuisance	auc_trivial	auc_full	auc_without_one_step_equality	gain_full_vs_nuisance_bits	gain_full_vs_trivial_bits	gain_reduced_vs_nuisance_bits	training_domains
CMP_TOPOLOGY_01	COREMA	27349	275	0.394478433	0.502531714	0.518873324	0.525348640	-149.764206547	-151.026602818	-144.057725444	PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_TOPOLOGY_01	PCEEC2	27518	9	0.666842367	0.636377590	0.483094422	0.474301340	132.535237149	-8.024917150	132.475987881	COREMA|CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_TOPOLOGY_01	CURIOUS_CURES	21817	105	0.334398358	0.543697363	0.607177071	0.597758975	23.815919308	27.285414287	23.086679131	COREMA|PCEEC2|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_TOPOLOGY_01	HARLEIAN_COOKERY	40826	113	0.480805092	0.703540692	0.741733251	0.722852108	-5.667795766	79.995445350	-10.506715214	COREMA|PCEEC2|CURIOUS_CURES|QUINTE_ESSENCE
CMP_TOPOLOGY_01	QUINTE_ESSENCE	15673	16	0.579894376	0.670842115	0.639482340	0.641194833	8.014645843	4.269588071	10.046120630	COREMA|PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY
CMP_TOPOLOGY_02	COREMA	27349	486	0.453592103	0.433161657	0.439895375	0.438804411	-1618.662658356	150.108510106	-1622.567812848	PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_TOPOLOGY_02	PCEEC2	27518	114	0.568966433	0.606217206	0.659069172	0.656073067	-142.753807527	-57.236233584	-153.044712499	COREMA|CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_TOPOLOGY_02	CURIOUS_CURES	21817	130	0.693603399	0.702575453	0.676882287	0.669617743	-5.201070308	-4.299939835	-6.520213644	COREMA|PCEEC2|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_TOPOLOGY_02	HARLEIAN_COOKERY	40826	372	0.607534523	0.654690466	0.649993009	0.640405191	-594.729488748	109.308469203	-581.440351126	COREMA|PCEEC2|CURIOUS_CURES|QUINTE_ESSENCE
CMP_TOPOLOGY_02	QUINTE_ESSENCE	15673	208	0.620917270	0.646393220	0.653783357	0.659218086	-20.622528806	16.310148259	-20.447220354	COREMA|PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY
CMP_TOPOLOGY_03	COREMA	27349	231	0.559651518	0.599729449	0.602427774	0.604214737	-177.027813319	20.409752275	-172.074777238	PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_TOPOLOGY_03	PCEEC2	27518	261	0.657695721	0.629799902	0.615295772	0.620672857	-237.316613620	-56.149362297	-229.350496287	COREMA|CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_TOPOLOGY_03	CURIOUS_CURES	21817	53	0.370429097	0.429528770	0.531626574	0.518221193	5.057276896	18.462432603	0.826465962	COREMA|PCEEC2|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_TOPOLOGY_03	HARLEIAN_COOKERY	40826	70	0.553908627	0.582499860	0.595480771	0.603374788	-55.696903508	-7.917557554	-45.154995221	COREMA|PCEEC2|CURIOUS_CURES|QUINTE_ESSENCE
CMP_TOPOLOGY_03	QUINTE_ESSENCE	15673	174	0.573826046	0.527324714	0.547051608	0.541182857	-40.886902690	-9.363323614	-44.541010768	COREMA|PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY
CMP_TOPOLOGY_04	PCEEC2	27518	1292	0.394266192	0.687224737	0.716303631	0.720655479	810.771240118	565.577497427	857.320941550	CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_TOPOLOGY_04	CURIOUS_CURES	21817	2220	0.523766232	0.812559895	0.785452338	0.787907002	2240.483582148	-31.588964499	2247.742336184	PCEEC2|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_TOPOLOGY_04	HARLEIAN_COOKERY	40826	2551	0.362927636	0.827784337	0.824277085	0.826420141	3044.399557951	557.611329973	3056.827724719	PCEEC2|CURIOUS_CURES|QUINTE_ESSENCE
CMP_TOPOLOGY_04	QUINTE_ESSENCE	15673	601	0.395275777	0.512703582	0.530084546	0.531091250	-3762.638393055	227.445112675	-3712.920087553	PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY
CMP_TOPOLOGY_05	PCEEC2	27518	92	0.480975090	0.540933072	0.528461568	0.534848715	-47.028723918	-38.374927387	-45.560918909	CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_TOPOLOGY_05	CURIOUS_CURES	21817	2	0.030254412	0.065459546	0.353907862	0.325762090	11.605550527	-2.260049422	11.453125477	PCEEC2|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_TOPOLOGY_05	HARLEIAN_COOKERY	40826	153	0.585523325	0.636407155	0.532836497	0.549374904	-97.212478498	-79.561062550	-74.969328054	PCEEC2|CURIOUS_CURES|QUINTE_ESSENCE
CMP_TOPOLOGY_05	QUINTE_ESSENCE	15673	37	0.660355866	0.611196961	0.613176972	0.610006879	-42.080510908	-3.107098551	-42.032181458	PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY
