feature	frozen_coefficient	classification	used_by_primary_class_definition	semantic_state
INTERCEPT	-3.749616788586	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
LOG_RECORD_LENGTH	0.195482676810	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
RELATIVE_POSITION	0.052667452844	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
RELATIVE_POSITION_SQ	-0.082613397520	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
BOUNDARY_BEFORE	0.231142793303	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
BOUNDARY_AFTER	0.000891698620	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
LOG_WITHIN_RECORD_RECURRENCE	-0.178318030641	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
IS_RECORD_START	-0.215075888032	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
IS_RECORD_END	-0.088435392728	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
PREV_EQUALS_NEXT	0.054079064040	POST_OR_MIXED	1	UNASSIGNED
PREV_CLASS_CHANGE	0.385626391839	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
NEXT_CLASS_CHANGE	0.345358717583	POST_OR_MIXED	1	UNASSIGNED
LOG_CURRENT_CLASS_SIZE	-1.194075325922	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
CURRENT_CLASS_SIZE_RANK	2.465817691362	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
LOG_PREV_OUTDEGREE	0.271732216156	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
LOG_NEXT_INDEGREE	0.671665036225	POST_OR_MIXED	1	UNASSIGNED
LOG_PREV_CURRENT_EDGE	0.183990186923	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
LOG_CURRENT_NEXT_EDGE	0.400879342307	POST_OR_MIXED	1	UNASSIGNED
ALT_TWO_EDGE_MIDDLE_COUNT	-0.922072406661	POST_OR_MIXED	1	UNASSIGNED
ALT_TWO_EDGE_MIDDLE_LOG	-0.532715904701	POST_OR_MIXED	1	UNASSIGNED
DELETE_BRIDGE_LOG_SUPPORT	0.447782189769	POST_OR_MIXED	1	UNASSIGNED
CHAIN_A_C_A_C	-0.034678026646	POST_OR_MIXED	1	UNASSIGNED
CHAIN_C_A_C_A	0.025902809016	POST_OR_MIXED	1	UNASSIGNED
H1_CLASS_SET_JACCARD	0.054079064040	POST_OR_MIXED	1	UNASSIGNED
H1_CLASS_JS_DIVERGENCE	0.032684699602	POST_OR_MIXED	1	UNASSIGNED
H1_RECONVERGENCE	0.054079064040	POST_OR_MIXED	1	UNASSIGNED
H1_CURRENT_RETURN_LEFT	-0.326228464000	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
H1_CURRENT_RETURN_RIGHT	-0.322275793861	POST_OR_MIXED	1	UNASSIGNED
H1_PREVIOUS_CLASS_RESUME	0.054079064040	POST_OR_MIXED	1	UNASSIGNED
H1_PERSISTENT_PRE_EXIT	0.007564037917	POST_OR_MIXED	1	UNASSIGNED
H1_POST_NOVELTY	-0.028568802213	POST_OR_MIXED	1	UNASSIGNED
H1_UNIQUE_CLASS_DELTA	-0.088623057002	POST_OR_MIXED	1	UNASSIGNED
H2_CLASS_SET_JACCARD	0.179194667369	POST_OR_MIXED	1	UNASSIGNED
H2_CLASS_JS_DIVERGENCE	0.027966207529	POST_OR_MIXED	1	UNASSIGNED
H2_RECONVERGENCE	-0.158422355731	POST_OR_MIXED	1	UNASSIGNED
H2_CURRENT_RETURN_LEFT	-0.261784317046	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
H2_CURRENT_RETURN_RIGHT	-0.133593140951	POST_OR_MIXED	1	UNASSIGNED
H2_PREVIOUS_CLASS_RESUME	0.019673076247	POST_OR_MIXED	1	UNASSIGNED
H2_PERSISTENT_PRE_EXIT	-0.001942470376	POST_OR_MIXED	1	UNASSIGNED
H2_POST_NOVELTY	-0.105487609366	POST_OR_MIXED	1	UNASSIGNED
H2_UNIQUE_CLASS_DELTA	0.002916391462	POST_OR_MIXED	1	UNASSIGNED
H4_CLASS_SET_JACCARD	-0.155431392713	POST_OR_MIXED	1	UNASSIGNED
H4_CLASS_JS_DIVERGENCE	-0.190660175818	POST_OR_MIXED	1	UNASSIGNED
H4_RECONVERGENCE	-0.048665223516	POST_OR_MIXED	1	UNASSIGNED
H4_CURRENT_RETURN_LEFT	-0.190194002730	CONSERVATIVE_SOURCE_SIDE	1	UNASSIGNED
