held_folio	n	positives	powered	auc_nuisance	auc_trivial	auc_full	gain_full_vs_nuisance_bits	gain_full_vs_trivial_bits	positive_both
f1	13	3	0	0.900000000	0.800000000	0.800000000	-4.047072834	-2.084710978	0
f10	56	21	1	0.651700680	0.896598639	0.904761905	18.993248151	1.162695303	1
f100	28	11	1	0.941176471	0.994652406	0.989304813	10.355938073	0.333989766	1
f102	47	18	1	0.896551724	0.994252874	0.982758621	16.988774448	-0.589785562	0
f103	194	58	1	0.730920385	0.899594320	0.912145030	59.254750025	6.281313916	1
f104	154	41	1	0.754370818	0.948629398	0.960932441	61.535715535	6.066156222	1
f105	174	54	1	0.798919753	0.938117284	0.954475309	49.775586219	9.736409267	1
f106	184	56	1	0.830636161	0.939871652	0.945312500	39.700827512	4.290511223	1
f107	233	87	1	0.692961738	0.883168005	0.904267045	86.057920150	9.838711233	1
f108	267	110	1	0.768268674	0.892877823	0.904226983	66.623866205	5.595154610	1
f11	25	8	1	0.838235294	0.926470588	0.897058824	3.434992063	-0.930387365	0
f111	289	112	1	0.704852704	0.911117837	0.929025424	107.052766553	11.945946200	1
f112	220	76	1	0.744060673	0.920504386	0.937865497	80.831009227	8.373965862	1
f113	187	56	1	0.819520174	0.916575791	0.937431843	47.118802735	11.155131860	1
f114	280	103	1	0.814656355	0.895288245	0.911688882	62.899643079	10.657578016	1
f115	199	77	1	0.837236534	0.927826272	0.932084309	52.643557280	3.849858494	1
f116	49	21	1	0.557823129	0.829931973	0.843537415	27.105171030	1.765589189	1
f13	26	7	1	0.661654135	0.796992481	0.759398496	2.873741472	-0.321776160	0
f14	44	17	1	0.784313725	0.834422658	0.877995643	5.582063016	1.558333257	1
f15	96	42	1	0.662257496	0.872134039	0.896825397	30.722987389	5.310033401	1
f16	59	21	1	0.758145363	0.848370927	0.808270677	2.659478972	-2.633146529	0
f17	60	31	1	0.790878754	0.898776418	0.927697442	17.076823934	3.402028411	1
f18	69	22	1	0.841392650	0.954545455	0.943907157	16.797528480	2.988128443	1
f19	69	22	1	0.787234043	0.859767892	0.839458414	6.715802834	-0.206851291	0
f2	83	32	1	0.844362745	0.964460784	0.949754902	22.675598346	0.280284894	1
f20	62	14	1	0.834821429	0.933035714	0.936011905	12.496403824	1.665257148	1
f21	60	23	1	0.816686251	0.880141011	0.913043478	14.887799189	4.584704509	1
f22	77	32	1	0.663194444	0.863194444	0.861805556	16.212609867	-0.600394456	0
f23	51	14	1	0.806949807	0.955598456	0.974903475	17.059724169	3.008818211	1
f24	56	22	1	0.850267380	0.879679144	0.886363636	4.930917684	1.170751771	1
f25	26	4	1	0.829545455	0.977272727	0.988636364	4.751688850	0.567692842	1
f26	37	14	1	0.962732919	0.993788820	0.996894410	10.886827491	1.624480805	1
f27	36	11	1	0.716363636	0.858181818	0.825454545	3.787276835	-2.087228910	0
f28	68	19	1	0.801288937	0.897959184	0.907626208	15.767931865	2.395160734	1
f29	41	11	1	0.830303030	0.927272727	0.921212121	9.459310553	-0.086572944	0
f3	70	18	1	0.783119658	0.927350427	0.925213675	14.119723123	-0.111026552	0
f30	63	21	1	0.829931973	0.908163265	0.904761905	8.179906584	-0.792174354	0
f31	27	12	1	0.922222222	1.000000000	0.988888889	9.682419013	0.428859719	1
f32	57	21	1	0.687830688	0.809523810	0.849206349	6.954705336	4.231997551	1
f33	23	9	1	0.714285714	0.865079365	0.904761905	7.060763403	0.088716586	1
f34	81	20	1	0.900819672	0.980327869	0.977049180	23.462649816	-1.281555149	0
f35	87	32	1	0.744318182	0.888636364	0.897727273	19.989323795	1.919272188	1
f36	52	19	1	0.837320574	0.964912281	0.931419458	11.457109769	-1.537373618	0
f37	51	17	1	0.804498270	0.840830450	0.854671280	-0.599666461	0.390899773	0
f38	43	16	1	0.736111111	0.907407407	0.870370370	11.207302489	-0.811267360	0
f39	44	18	1	0.777777778	0.948717949	0.965811966	16.154924614	2.311633823	1
f4	48	16	1	0.800781250	0.902343750	0.908203125	9.958867862	0.239975141	1
f40	60	22	1	0.916267943	0.938995215	0.947368421	11.027205054	1.718682271	1
f41	13	2	0	1.000000000	1.000000000	1.000000000	3.571398862	0.691075142	1
f42	78	27	1	0.722585330	0.798838054	0.832970225	9.269836333	4.870968638	1
f43	59	19	1	0.931578947	0.967105263	0.971052632	14.933975524	-0.380002104	0
f44	30	5	1	0.792000000	0.936000000	0.992000000	5.577015293	1.508651607	1
f45	56	26	1	0.788461538	0.894871795	0.888461538	10.749558663	1.581533633	1
f46	47	16	1	0.915322581	0.997983871	0.989919355	15.649477428	1.783147338	1
f47	79	27	1	0.747863248	0.933048433	0.930911681	22.372168619	1.721160734	1
f48	58	20	1	0.894736842	0.985526316	0.989473684	21.487746643	1.523962379	1
f49	86	32	1	0.822916667	0.950231481	0.953125000	25.845130373	2.272770091	1
f5	22	5	1	0.805882353	0.917647059	0.905882353	4.118268056	0.159826577	1
f50	56	22	1	0.942513369	0.963903743	0.970588235	12.363378696	1.657513125	1
f51	57	20	1	0.729729730	0.840540541	0.843243243	5.818429277	1.181539937	1
f52	40	11	1	0.799373041	0.946708464	0.924764890	9.160091198	-1.332376325	0
f53	16	5	0	0.890909091	1.000000000	1.000000000	3.961138249	-0.472529644	0
f54	13	4	0	0.777777778	0.972222222	1.000000000	5.315052229	0.159634899	1
f55	35	11	1	0.859848485	1.000000000	1.000000000	14.813935739	0.818400739	1
f56	64	25	1	0.842051282	0.926153846	0.869743590	10.034426486	-3.321128870	0
f58	168	60	1	0.830246914	0.976543210	0.980555556	69.220907341	8.352142747	1
f6	61	28	1	0.783549784	0.943722944	0.939393939	15.522104953	1.408387929	1
f66	78	30	1	0.818055556	0.928472222	0.934027778	22.224727052	1.314707649	1
f7	52	17	1	0.833613445	0.900840336	0.895798319	7.239811100	0.971473370	1
f75	170	66	1	0.615967366	0.887674825	0.905740093	87.106403260	6.647511340	1
f76	209	72	1	0.602392539	0.875202758	0.880373074	100.511248642	0.349254713	1
f77	232	76	1	0.626265182	0.836538462	0.866312416	99.096633866	7.254835513	1
f78	200	82	1	0.675175692	0.880115750	0.876395205	68.258889443	-2.699198848	0
f79	268	81	1	0.648775335	0.900970489	0.909024889	116.659069481	3.177319406	1
f8	52	20	1	0.848437500	0.951562500	0.965625000	13.887729328	1.194577536	1
f80	246	92	1	0.546372106	0.831945229	0.856084133	120.862673390	9.703163146	1
