locus	group_index	raw_group	hypothesis_meaning	status
f17r.4	1	tcho	[unaufgelöst: tcho]	UNRESOLVED
f17r.4	2	shol	[unaufgelöst: shol]	UNRESOLVED
f17r.4	3	qokol	[unaufgelöst: qokol]	UNRESOLVED
f17r.4	4	qor	[unaufgelöst: qor]	UNRESOLVED
f17r.4	5	olaiin	[unaufgelöst: olaiin]	UNRESOLVED
f17r.4	6	opydg	[unaufgelöst: opydg]	UNRESOLVED
f17r.4	7	som	[unaufgelöst: som]	UNRESOLVED
f17r.4	8	ypchy	[unaufgelöst: ypchy]	UNRESOLVED
f17r.4	9	ypaim	[unaufgelöst: ypaim]	UNRESOLVED
f17r.5	1	ychekchy	[unaufgelöst: ychekchy]	UNRESOLVED
f17r.5	2	cthy	Pflanzengut	ASSUMED_NOT_CONFIRMED
f17r.5	3	chor	Blüten	ASSUMED_NOT_CONFIRMED
f17r.5	4	shor	Samen	ASSUMED_NOT_CONFIRMED
f17r.5	5	cphor	[unaufgelöst: cphor]	UNRESOLVED
f17r.5	6	cphaldy	[unaufgelöst: cphaldy]	UNRESOLVED
f17r.5	7	dair	[unaufgelöst: dair]	UNRESOLVED
f17r.5	8	cthey	[unaufgelöst: cthey]	UNRESOLVED
f17r.5	9	qody	[unaufgelöst: qody]	UNRESOLVED
f17r.6	1	tsho	[unaufgelöst: tsho]	UNRESOLVED
f17r.6	2	qof	[unaufgelöst: qof]	UNRESOLVED
f17r.6	3	cho	Inneres	ASSUMED_NOT_CONFIRMED
f17r.6	4	qokcheor	[unaufgelöst: qokcheor]	UNRESOLVED
f17r.6	5	cheteg	[unaufgelöst: cheteg]	UNRESOLVED
f21r.8	1	fcho	[unaufgelöst: fcho]	UNRESOLVED
f21r.8	2	kshy	[unaufgelöst: kshy]	UNRESOLVED
f21r.8	3	otor	[unaufgelöst: otor]	UNRESOLVED
f21r.8	4	sheol	[unaufgelöst: sheol]	UNRESOLVED
f21r.8	5	ocphal	[unaufgelöst: ocphal]	UNRESOLVED
f21r.8	6	opsheas	[unaufgelöst: opsheas]	UNRESOLVED
f21r.8	7	cthodaiin	[unaufgelöst: cthodaiin]	UNRESOLVED
f21r.8	8	oty	[unaufgelöst: oty]	UNRESOLVED
f21r.9	1	okaiin	Ansatz	ASSUMED_NOT_CONFIRMED
f21r.9	2	sho	Flüssigkeit	ASSUMED_NOT_CONFIRMED
f21r.9	3	tshaiin	[unaufgelöst: tshaiin]	UNRESOLVED
f21r.9	4	chkaiin	[unaufgelöst: chkaiin]	UNRESOLVED
f21r.9	5	sh	[unaufgelöst: sh]	UNRESOLVED
f21r.9	6	cthey	[unaufgelöst: cthey]	UNRESOLVED
f21r.9	7	cthody	[unaufgelöst: cthody]	UNRESOLVED
f21r.9	8	cthy	Pflanzengut	ASSUMED_NOT_CONFIRMED
f21r.9	9	s	je	ASSUMED_NOT_CONFIRMED
f21r.10	1	totchy	[unaufgelöst: totchy]	UNRESOLVED
f21r.10	2	keor	[unaufgelöst: keor]	UNRESOLVED
f21r.10	3	chy	verarbeite	ASSUMED_NOT_CONFIRMED
f21r.10	4	ky	[unaufgelöst: ky]	UNRESOLVED
f21r.10	5	qotaiin	abgeteilte Portion	ASSUMED_NOT_CONFIRMED
f21r.10	6	qotchol	[unaufgelöst: qotchol]	UNRESOLVED
f21r.10	7	ty	[unaufgelöst: ty]	UNRESOLVED
f21r.10	8	ctheey	[unaufgelöst: ctheey]	UNRESOLVED
f21r.10	9	otaiin	[unaufgelöst: otaiin]	UNRESOLVED
f21r.11	1	shol	[unaufgelöst: shol]	UNRESOLVED
f21r.11	2	chol	trocken	ASSUMED_NOT_CONFIRMED
f21r.11	3	shol	[unaufgelöst: shol]	UNRESOLVED
f21r.11	4	tchol	[unaufgelöst: tchol]	UNRESOLVED
f21r.11	5	chcthy	[unaufgelöst: chcthy]	UNRESOLVED
f21r.11	6	otyky	[unaufgelöst: otyky]	UNRESOLVED
