form	reading_variant	meaning_hypothesis	sense_trigger	grammar_rule	all_working_loci	counterexamples
ar	exposed ZL display	Anteil	same whole value at every occurrence	authored working value; no component export	f32v.10:10	See REPORT.md; all meanings remain hypotheses
cfhy	exposed ZL display	Filter	same whole value at every occurrence	authored working value; no component export	f32v.9:2	See REPORT.md; all meanings remain hypotheses
chetchy	exposed ZL display	zerkleinere	same whole value at every occurrence	authored working value; no component export	f29v.1:3	See REPORT.md; all meanings remain hypotheses
chey	exposed ZL display	prüfe	same whole value at every occurrence	authored working value; no component export	f29v.2:6	See REPORT.md; all meanings remain hypotheses
cho	exposed ZL display	Inneres	same whole value at every occurrence	authored working value; no component export	f17r.6:3;f29v.1:9	See REPORT.md; all meanings remain hypotheses
chocthy	exposed ZL display	Pflanzenmark	same whole value at every occurrence	authored working value; no component export	f32v.9:4	See REPORT.md; all meanings remain hypotheses
chol	exposed ZL display	trocken	same whole value at every occurrence	authored working value; no component export	f21r.11:2;f21r.12:6;f32v.10:4;f29v.2:3;f29v.2:4;f29v.3:1;f29v.3:2	See REPORT.md; all meanings remain hypotheses
chor	exposed ZL display	Blüten	same whole value at every occurrence	authored working value; no component export	f17r.5:3;f21r.12:2;f21r.12:5;f32v.10:3	See REPORT.md; all meanings remain hypotheses
chy	exposed ZL display	verarbeite	same whole value at every occurrence	authored working value; no component export	f21r.10:3;f32v.11:3	See REPORT.md; all meanings remain hypotheses
cpho	exposed ZL display	zerstoße	same whole value at every occurrence	authored working value; no component export	f32v.10:6	See REPORT.md; all meanings remain hypotheses
cphos	exposed ZL display	zerreibe	same whole value at every occurrence	authored working value; no component export	f32v.7:2	See REPORT.md; all meanings remain hypotheses
cthaiin	exposed ZL display	Pflanzenportion	same whole value at every occurrence	authored working value; no component export	f32v.9:6	See REPORT.md; all meanings remain hypotheses
ctho	exposed ZL display	Pflanzenpulver	same whole value at every occurrence	authored working value; no component export	f32v.8:4	See REPORT.md; all meanings remain hypotheses
cthol	exposed ZL display	trockenes Pflanzengut	same whole value at every occurrence	authored working value; no component export	f32v.10:8	See REPORT.md; all meanings remain hypotheses
cthold	exposed ZL display	Pflanzenrückstand	same whole value at every occurrence	authored working value; no component export	f29v.2:7	See REPORT.md; all meanings remain hypotheses
cthy	exposed ZL display	Pflanzengut	same whole value at every occurrence	authored working value; no component export	f17r.5:2;f21r.9:8;f29v.1:7;f29v.2:5;f29v.4:4	See REPORT.md; all meanings remain hypotheses
daiin	exposed ZL display	festgelegte Dosis	same whole value at every occurrence	authored working value; no component export	f21r.12:7;f32v.8:2;f32v.8:3;f32v.8:5;f32v.9:5;f32v.9:7;f32v.10:5;f29v.1:11	See REPORT.md; all meanings remain hypotheses
dain	exposed ZL display	kleine Dosis	same whole value at every occurrence	authored working value; no component export	f32v.7:7	See REPORT.md; all meanings remain hypotheses
dary	exposed ZL display	Teilmenge	same whole value at every occurrence	authored working value; no component export	f29v.2:9	See REPORT.md; all meanings remain hypotheses
keol	exposed ZL display	Öl	same whole value at every occurrence	authored working value; no component export	f32v.10:2	See REPORT.md; all meanings remain hypotheses
kooiin	exposed ZL display	Wurzelgut	same whole value at every occurrence	authored working value; no component export	f29v.1:1	See REPORT.md; all meanings remain hypotheses
kor	exposed ZL display	Mörser	same whole value at every occurrence	authored working value; no component export	f29v.3:3	See REPORT.md; all meanings remain hypotheses
odaiin	exposed ZL display	Zusatzmenge	same whole value at every occurrence	authored working value; no component export	f29v.3:5	See REPORT.md; all meanings remain hypotheses
odan	exposed ZL display	Rest	same whole value at every occurrence	authored working value; no component export	f32v.7:10	See REPORT.md; all meanings remain hypotheses
okaiin	exposed ZL display	Ansatz	same whole value at every occurrence	authored working value; no component export	f21r.9:1;f29v.4:3;f29v.4:9	See REPORT.md; all meanings remain hypotheses
ol	exposed ZL display	mit	same whole value at every occurrence	authored working value; no component export	f32v.11:1;f29v.1:4	See REPORT.md; all meanings remain hypotheses
oltchy	exposed ZL display	abgekühlt	same whole value at every occurrence	authored working value; no component export	f29v.4:5	See REPORT.md; all meanings remain hypotheses
otchol	exposed ZL display	getrocknetes Gut	same whole value at every occurrence	authored working value; no component export	f32v.8:1	See REPORT.md; all meanings remain hypotheses
otchy	exposed ZL display	entnimm	same whole value at every occurrence	authored working value; no component export	f32v.8:7	See REPORT.md; all meanings remain hypotheses
otey	exposed ZL display	bis	same whole value at every occurrence	authored working value; no component export	f29v.3:10	See REPORT.md; all meanings remain hypotheses
otshcho	exposed ZL display	kühles Inneres	same whole value at every occurrence	authored working value; no component export	f32v.7:5	See REPORT.md; all meanings remain hypotheses
otshy	exposed ZL display	kühl	same whole value at every occurrence	authored working value; no component export	f29v.4:2	See REPORT.md; all meanings remain hypotheses
qotaiin	exposed ZL display	abgeteilte Portion	same whole value at every occurrence	authored working value; no component export	f21r.10:5;f32v.8:6	See REPORT.md; all meanings remain hypotheses
qotcheaiin	exposed ZL display	abgetrenntes Feinpulver	same whole value at every occurrence	authored working value; no component export	f29v.2:1	See REPORT.md; all meanings remain hypotheses
qotchy	exposed ZL display	siebe	same whole value at every occurrence	authored working value; no component export	f32v.9:1;f29v.3:6	See REPORT.md; all meanings remain hypotheses
r	exposed ZL display	danach	same whole value at every occurrence	authored working value; no component export	f32v.7:6	See REPORT.md; all meanings remain hypotheses
s	exposed ZL display	je	same whole value at every occurrence	authored working value; no component export	f21r.9:9;f32v.7:9;f29v.2:2;f29v.3:8;f29v.4:6	See REPORT.md; all meanings remain hypotheses
shan	exposed ZL display	Feinanteil	same whole value at every occurrence	authored working value; no component export	f32v.8:9	See REPORT.md; all meanings remain hypotheses
shckhy	exposed ZL display	vermische	same whole value at every occurrence	authored working value; no component export	f32v.7:8	See REPORT.md; all meanings remain hypotheses
she	exposed ZL display	lasse stehen	same whole value at every occurrence	authored working value; no component export	f32v.7:3;f29v.3:9	See REPORT.md; all meanings remain hypotheses
sheaiin	exposed ZL display	Standzeit	same whole value at every occurrence	authored working value; no component export	f32v.7:4	See REPORT.md; all meanings remain hypotheses
shey	exposed ZL display	fülle ein	same whole value at every occurrence	authored working value; no component export	f21r.11:7;f29v.3:4	See REPORT.md; all meanings remain hypotheses
sho	exposed ZL display	Flüssigkeit	same whole value at every occurrence	authored working value; no component export	f21r.9:2;f32v.10:1;f32v.11:2;f29v.4:8	See REPORT.md; all meanings remain hypotheses
shor	exposed ZL display	Samen	same whole value at every occurrence	authored working value; no component export	f17r.5:4;f29v.1:2	See REPORT.md; all meanings remain hypotheses
shot	exposed ZL display	erwärme	same whole value at every occurrence	authored working value; no component export	f29v.4:7	See REPORT.md; all meanings remain hypotheses
shy	exposed ZL display	feucht	same whole value at every occurrence	authored working value; no component export	f29v.1:8;f29v.1:10	See REPORT.md; all meanings remain hypotheses
