handoff_word_id	joint_tuple_id	semantic_formula	atomic_card_value_de	analysis_status	surface_count	events	herbal_records	bio_records
HW01	2f1c5e56e8f0ff459065	AIIN	Sollmaß	PRODUCTIVE	5	20	H1|H2|H3|H4|H5	B1|B2|B3|B4|B5|B6
HW02	dcda95c81a5460feb191	OL	Fortsetzung	PRODUCTIVE	6	19	H1|H2	B1|B3|B4|B5|B6
HW03	b921a237be883a820352	Y	Diesposten	PRODUCTIVE	6	18	H2|H3|H4	B1|B2|B3|B4|B6
HW04	6f7ff8287eddf4da9fdb	CHD+Y	Umsetzen	PRODUCTIVE	2	11	H4	B1|B3|B4|B5
HW05	276a7c2d74d1143446f4	OK+Y	Einsetzen	PRODUCTIVE	3	10	H1|H5	B1|B2|B3|B4
HW06	dd0ecaf5e27d81befffc	AL	Stelle	PRODUCTIVE	6	10	H5	B1|B2|B3|B4|B5
HW07	b5fcea1eaed06b2f2291	OK+AIIN	Sollstellung	PRODUCTIVE	2	9	H4	B1|B2|B3
HW08	7a4bb8136330ee4e6e56	OR	Ansatz	PRODUCTIVE	4	7	H2|H4	B3|B4
HW09	e0b630cb1b5df5e7105b	CTH+Y	Bereit	PRODUCTIVE	3	7	H1|H2|H3	B3
HW10	308e8ea2d5d190c498e8	OK+AL	Zieleinsatz	PRODUCTIVE	2	6	H4	B1|B2|B3
HW11	4d4559019a961b834aa1	AR	Quelle	PRODUCTIVE_CONTEXTUAL_SAME	3	5	H1|H2	B1|B2|B3
HW12	b5df9126607030b95175	WHOLE_KLARAUSZUG	Klarauszug	MEMORIZED_WHOLE_CARD	2	4	H3	B2|B4
HW13	1b1ffdd869fb1429ad03	OL+DY	Fortschluss	PRODUCTIVE	1	2	H4	B4
HW14	2c1a5fd92b9e3c762242	CHK+EE+Y	Langwärme	PRODUCTIVE	1	2	H4	B4
HW15	80ebbbbf238eee9f0aef	WHOLE_ZERKLEINERN	Zerkleinern	MEMORIZED_WHOLE_CARD	2	2	H1	B3
HW16	dec401773c1f0347793d	OL+OR	Fortsetzungsansatz	PRODUCTIVE	2	2	H2	B1
HW17	faf321940aed922846a9	OT+Y	Folgeposten	PRODUCTIVE	1	2	H5	B4
