component	atomic_value_de	role	teaching_rule
AIIN	Sollmaß	ARGUMENT_MASS	Ein Beitrag bleibt in jeder produktiven Formel gleich.
OL	Fortsetzung	LINK	Ein Beitrag bleibt in jeder produktiven Formel gleich.
Y	Diesposten	REFERENT	Ein Beitrag bleibt in jeder produktiven Formel gleich.
CHD	Umsetzen	ACTION	Ein Beitrag bleibt in jeder produktiven Formel gleich.
AL	Stelle	TARGET	Ein Beitrag bleibt in jeder produktiven Formel gleich.
OK	Einsetzen	ACTION	Ein Beitrag bleibt in jeder produktiven Formel gleich.
OR	Ansatz	WORK_ITEM	Ein Beitrag bleibt in jeder produktiven Formel gleich.
CTH	Bereit	STATE	Ein Beitrag bleibt in jeder produktiven Formel gleich.
AR	Quelle	SOURCE	Ein Beitrag bleibt in jeder produktiven Formel gleich.
CHK	Wärme	PROCESS	Ein Beitrag bleibt in jeder produktiven Formel gleich.
EE	Langgrad	DURATION_GRADE	Ein Beitrag bleibt in jeder produktiven Formel gleich.
OT	Folge	SEQUENCE	Ein Beitrag bleibt in jeder produktiven Formel gleich.
DY	Schluss	LICENSED_CLOSE	Ein Beitrag bleibt in jeder produktiven Formel gleich.
