locus	head_ordinal	value_ordinal	head_surface	value_surface	direction	binding_kind	contextual_render_de	decision	note
f11v.1	6	7	cphar	dan	HEAD_THEN_VALUE	MATERIAL_MEASURE	ein Maß der ersten Kompositumfraktion	BIND	Nominal fraction head types the adjacent value as a measure.
f36v.1	8	9	cphar	daiin	HEAD_THEN_VALUE	MATERIAL_MEASURE	drei Maße der ersten Kompositumfraktion	BIND	Nominal fraction head types the adjacent value as a measure.
f113r.40	5	6	cthes	aiin	HEAD_THEN_VALUE	MATERIAL_MEASURE	drei Teile Kraut- oder Blattspecies der Mittelstufe	BIND	Species head types AIIN as material quantity.
f38r.6	3	4	kos	daiin	HEAD_THEN_VALUE	MATERIAL_MEASURE	drei Maße Heißansatzcharge	BIND	Charge head types DAIIN as material measure.
f51r.4	2	1	es	daiin	VALUE_THEN_HEAD	MATERIAL_MEASURE	drei Maße Mittelstufen-Species	BIND	The adjacent right material head types the preceding value.
f37v.21	4	3	cthols	daiin	VALUE_THEN_HEAD	MATERIAL_MEASURE	drei Maße Krautdrogenstoffcharge	BIND	The adjacent right charge head types the preceding value.
f9v.1	9	10	cfhol	daiin	HEAD_THEN_VALUE	MATERIAL_MEASURE	drei Maße Blütendrogenstoff oder Blütenauszug	BIND	Learned material whole types the following value as a measure; retain LOW content confidence.
f102v1.8	6	7	os	aiin	HEAD_THEN_VALUE	MATERIAL_MEASURE	drei Maße Ansatzcharge	BIND	Nominal charge head types AIIN as material measure.
f104r.2	11	12	os	aiin	HEAD_THEN_VALUE	MATERIAL_MEASURE	drei Maße Ansatzcharge	BIND	Use the immediately following AIIN, not the earlier two values.
f105v.11	5	6	os	aiin	HEAD_THEN_VALUE	MATERIAL_MEASURE	drei Maße Ansatzcharge	BIND	Nominal charge head types AIIN as material measure.
f55v.3	2	3	os	ain	HEAD_THEN_VALUE	MATERIAL_MEASURE	zwei Maße Ansatzcharge	BIND	Nominal charge head types AIN as material measure.
f85r2.1	29	30	os	aiin	HEAD_THEN_VALUE	MATERIAL_MEASURE	drei Maße Ansatzcharge	BIND	Nominal charge head types AIIN as material measure.
f89v1.9	5	6	os	aiin	HEAD_THEN_VALUE	MATERIAL_MEASURE	drei Maße Ansatzcharge	BIND	Nominal charge head types AIIN as material measure.
f104r.10	5	6	os	l	HEAD_THEN_VALUE	MATERIAL_WEIGHT	ein Pfund Ansatzcharge	BIND	Free l is the V48 weight siglum at this exact position.
f113r.5	7	8	shos	aiin	HEAD_THEN_VALUE	MATERIAL_MEASURE	drei Maße Feuchtansatzcharge	BIND	Nominal moist-charge head types AIIN as material measure.
f95v2.5	3	4	shos	aiin	HEAD_THEN_VALUE	MATERIAL_MEASURE	drei Maße Feuchtansatzcharge	BIND	Nominal moist-charge head types AIIN as material measure.
f105r.15	10	11	shod	daiin	HEAD_THEN_VALUE	PROCESS_STAGE_CANDIDATE	Feuchtansatz auf Stufe III abschließen	DIRECTION_OPEN	Process head would type DAIIN as a stage only if the value binds left.
f107r.22	3	4	shoy	daiin	HEAD_THEN_VALUE	PROCESS_STAGE_CANDIDATE	Feuchtansatz auf Stufe III leicht abschließen	DIRECTION_OPEN	Process head would type DAIIN as a stage only if the value binds left.
f115r.43	1	2	dcheo	dain	HEAD_THEN_VALUE	PROCESS_STAGE_CANDIDATE	Trocknungs- und Ansatzgang, Wert II	DIRECTION_OPEN	The direction of the adjacent process value is not fixed by this line alone.
f89v1.15	1	2	dcheo	daiin	HEAD_THEN_VALUE	PROCESS_STAGE_CANDIDATE	Trocknungs- und Ansatzgang, Wert III	DIRECTION_OPEN	The direction of the adjacent process value is not fixed by this line alone.
