surface	decision	review_note
shory	HOLD_SAME_CARD	Same ordered composition; no panel neighbor forces a different material, state or closure reading.
sory	HOLD_SAME_CARD	The singleton occurrence is compatible with the unchanged completed seed-portion card.
ckhar	HOLD_SAME_CARD	Both occurrences preserve the exact composite-plus-first-fraction reading.
chtaiin	HOLD_SAME_CARD	Both occurrences preserve dry, cold and grade-III order.
shod	HOLD_SAME_CARD	Ten occurrences admit the unchanged moisten/preparation/close action without a named valency conflict.
cthes	HOLD_SAME_CARD	The exact occurrence admits the unchanged herb-middle-species nominal card.
daraiin	HOLD_SAME_CARD	The exact occurrence preserves measure, first fraction and quantity III in order.
cphar	HOLD_SAME_CARD	Three occurrences preserve composite plus first fraction without a competing value.
cfhaiin	HOLD_SAME_CARD	Retained as a learned whole; its exact panel context does not force a different content reading.
odar	HOLD_SAME_CARD	Twenty-one occurrences admit the same preparation-measure-first-fraction action without a named contradiction.
cphoy	HOLD_SAME_CARD	Both occurrences admit composite preparation plus closure in the same order.
os	HOLD_SAME_CARD	Twenty-three occurrences, including a singleton line, admit the unchanged preparation-species nominal card.
kos	HOLD_SAME_CARD	The exact occurrence preserves hot preparation plus species/charge.
shos	HOLD_SAME_CARD	Nine occurrences admit the unchanged moist-preparation species/charge card.
cfhol	HOLD_SAME_CARD	Retained as a learned whole; three exact contexts do not force a competing decomposition or value.
cphey	HOLD_SAME_CARD	Seven occurrences preserve composite, middle stage and closure.
ytain	HOLD_SAME_CARD	Twelve occurrences admit the unchanged referential cold-stage-II action; f114r.34 requires an explicit outside-passage reference rather than a new card.
cphodal	HOLD_SAME_CARD	The exact occurrence preserves composite-preparation, measure and raw-grade-I order.
es	HOLD_SAME_CARD	Retained as a learned whole; both exact contexts remain compatible with the middle-stage species card.
oksho	HOLD_SAME_CARD	Three occurrences preserve heat, moisten and re-prepare order.
shodain	HOLD_SAME_CARD	Four occurrences admit the unchanged two-dose moist-preparation nominal card.
shoy	HOLD_SAME_CARD	Ten occurrences admit the unchanged moist-preparation closure action.
oldain	HOLD_SAME_CARD	The exact occurrence preserves preparation, wood material, measure and quantity II.
chodain	HOLD_SAME_CARD	Seven occurrences admit the unchanged two-dose dry-preparation card.
kod	HOLD_SAME_CARD	The exact occurrence admits hot-preparation closure without a named conflict.
eo	HOLD_SAME_CARD	Retained as a learned whole; its exact context does not force a competing value.
pshol	HOLD_SAME_CARD	Three occurrences preserve powder, moist treatment and material order.
yto	HOLD_SAME_CARD	The exact occurrence admits the unchanged cooling card but requires an explicit outside-passage reference.
dchar	HOLD_SAME_CARD	Both occurrences preserve measure, dry process and first fraction.
okaiir	HOLD_SAME_CARD	Four occurrences preserve preparation, heat and third fraction.
cthols	HOLD_SAME_CARD	The exact occurrence preserves herb, material and species/charge.
cpho	HOLD_SAME_CARD	The exact occurrence admits the unchanged composite-preparation nominal card.
cha	HOLD_SAME_CARD	The exact occurrence preserves one part plus dry material.
shoaiin	HOLD_SAME_CARD	Both occurrences retain moist preparation plus quantity III because exact V48 oaiin is Ansatzmenge III; the process-stage rival remains visible.
ochol	HOLD_SAME_CARD	Three occurrences preserve preparation, drying and material order.
dcheo	HOLD_SAME_CARD	Six occurrences admit measure, dry-to-middle and prepare in the same order.
koshey	HOLD_SAME_CARD	The exact occurrence preserves hot preparation, moist-to-middle and closure.
chtor	HOLD_SAME_CARD	The exact occurrence preserves dry, cold and portion order.
chok	HOLD_SAME_CARD	Three occurrences admit the unchanged dry-preparation heating action.
