candidate_library,selector_cost_bits,discovery_folios,held_folios,total_folios,arrays_per_folio,cells_per_array,discovery_cells,held_cells,total_cells,effect,direction_mode,required_positive_held_folios,trials,selected_true_rate,any_pass_rate,successful_detection_rate,wrong_predicate_pass_rate,held_transfer_rate,median_raw_gain_bits,median_paid_gain_bits,paid_gain_q10,paid_gain_q90
1,0.0,4,2,6,1,6,24,12,36,NULL,STABLE,2,256,1.0,0.11328125,0.11328125,0.0,0.11328125,-0.29225384875889304,-0.29225384875889304,-2.1292039871717194,0.8701549467666441
1,0.0,4,2,6,1,6,24,12,36,MEDIUM,STABLE,2,256,1.0,0.3125,0.3125,0.0,0.3125,0.35982284782080054,0.35982284782080054,-1.8139730272205559,2.5720520676396705
1,0.0,4,2,6,1,6,24,12,36,MEDIUM,REVERSING,2,256,1.0,0.1328125,0.1328125,0.0,0.1328125,-0.4937471143657768,-0.4937471143657768,-2.98040951653318,0.8883460732723706
1,0.0,4,2,6,1,12,48,24,72,NULL,STABLE,2,256,1.0,0.11328125,0.11328125,0.0,0.11328125,-0.44221886330519977,-0.44221886330519977,-2.631975267559091,0.9123310729140055
1,0.0,4,2,6,1,12,48,24,72,MEDIUM,STABLE,2,256,1.0,0.44140625,0.44140625,0.0,0.44140625,1.0566333647830684,1.0566333647830684,-2.318694824130463,4.35243606129394
1,0.0,4,2,6,1,12,48,24,72,MEDIUM,REVERSING,2,256,1.0,0.09765625,0.09765625,0.0,0.09765625,-0.6957216121871683,-0.6957216121871683,-4.455340223945605,0.5083721768727738
1,0.0,4,2,6,2,6,48,24,72,NULL,STABLE,2,256,1.0,0.1796875,0.1796875,0.0,0.1796875,-0.4070121977298591,-0.4070121977298591,-2.7581989800858553,1.0466019963724271
1,0.0,4,2,6,2,6,48,24,72,MEDIUM,STABLE,2,256,1.0,0.40625,0.40625,0.0,0.40625,0.8893129719238626,0.8893129719238626,-2.3074790184618585,3.9868379964337857
1,0.0,4,2,6,2,6,48,24,72,MEDIUM,REVERSING,2,256,1.0,0.09765625,0.09765625,0.0,0.09765625,-0.8123367726250077,-0.8123367726250077,-4.719812989518298,0.5602824198393588
1,0.0,4,2,6,2,12,96,48,144,NULL,STABLE,2,256,1.0,0.140625,0.140625,0.0,0.140625,-0.3577700026518791,-0.3577700026518791,-2.2545587661439974,0.8075337722114568
1,0.0,4,2,6,2,12,96,48,144,MEDIUM,STABLE,2,256,1.0,0.5390625,0.5390625,0.0,0.5390625,2.359616244323508,2.359616244323508,-1.805142377722924,6.962463247560489
1,0.0,4,2,6,2,12,96,48,144,MEDIUM,REVERSING,2,256,1.0,0.05078125,0.05078125,0.0,0.05078125,-1.3936061347129485,-1.3936061347129485,-7.181977491700822,0.41594312104815145
1,0.0,4,4,8,1,6,24,24,48,NULL,STABLE,3,256,1.0,0.11328125,0.11328125,0.0,0.1171875,-0.5685634085050033,-0.5685634085050033,-3.549933851686643,1.0610271035220653
1,0.0,4,4,8,1,6,24,24,48,MEDIUM,STABLE,3,256,1.0,0.38671875,0.38671875,0.0,0.39453125,0.9114264839844382,0.9114264839844382,-2.7127374100259023,4.0159034350497205
