split	carrier	family	target	observed_logodds	null_ge_count	replicates	p_one_sided	included_physical_folios	excluded_mixed_section_folios
train	qot+Cy	operation	FORMAL_ENTRY	NA	NA	0	NA	65	f66;f76;f86
train	t+Cedy	operation	FORMAL_ENTRY	NA	NA	0	NA	65	f66;f76;f86
train	qo+aN	operation	FORMAL_ENTRY	NA	NA	0	NA	65	f66;f76;f86
train	y+CEy	operation	FORMAL_ENTRY	NA	NA	0	NA	65	f66;f76;f86
train	Cor	plant_part	H	2.394534854	22	1000	0.022977023	65	f66;f76;f86
train	Ty	plant_part	H	5.111677212	0	1000	0.000999001	65	f66;f76;f86
train	T+ol	plant_part	H	3.238395446	16	1000	0.016983017	65	f66;f76;f86
train	ot+Col	plant_part	H	3.656354866	0	1000	0.000999001	65	f66;f76;f86
train	qokaI	liquid_material	P|B	2.192476880	2	1000	0.002997003	65	f66;f76;f86
train	qol	liquid_material	P|B	3.261933462	0	1000	0.000999001	65	f66;f76;f86
train	ol+Cedy	liquid_material	P|B	2.944396089	2	1000	0.002997003	65	f66;f76;f86
train	Se+Ky	liquid_material	P|B	2.726591049	28	1000	0.028971029	65	f66;f76;f86
train	s+ol	record_entity	B	1.691471131	5	1000	0.005994006	65	f66;f76;f86
train	ok+eol	record_entity	P	3.089428646	0	1000	0.000999001	65	f66;f76;f86
train	qok+eol	record_entity	P	3.056767972	0	1000	0.000999001	65	f66;f76;f86
train	Ce+Ty	record_entity	B	2.291473216	19	1000	0.019980020	65	f66;f76;f86
train	K+ey	record_entity	P	2.664608940	3	1000	0.003996004	65	f66;f76;f86
held	qot+Cy	operation	FORMAL_ENTRY	NA	NA	0	NA	22	f85
held	t+Cedy	operation	FORMAL_ENTRY	NA	NA	0	NA	22	f85
held	qo+aN	operation	FORMAL_ENTRY	NA	NA	0	NA	22	f85
held	y+CEy	operation	FORMAL_ENTRY	NA	NA	0	NA	22	f85
held	Cor	plant_part	H	1.673954262	372	1000	0.372627373	22	f85
held	Ty	plant_part	H	2.745892762	385	1000	0.385614386	22	f85
held	T+ol	plant_part	H	2.101362018	614	1000	0.614385614	22	f85
held	ot+Col	plant_part	H	2.508017719	192	1000	0.192807193	22	f85
held	qokaI	liquid_material	P|B	-0.609152628	534	1000	0.534465534	22	f85
held	qol	liquid_material	P|B	1.588381481	406	1000	0.406593407	22	f85
held	ol+Cedy	liquid_material	P|B	0.812641004	645	1000	0.645354645	22	f85
held	Se+Ky	liquid_material	P|B	0.200591139	707	1000	0.707292707	22	f85
held	s+ol	record_entity	B	1.723636752	401	1000	0.401598402	22	f85
held	ok+eol	record_entity	P	0.938572182	443	1000	0.443556444	22	f85
held	qok+eol	record_entity	P	1.900888964	53	1000	0.053946054	22	f85
held	Ce+Ty	record_entity	B	0.187071519	841	1000	0.841158841	22	f85
held	K+ey	record_entity	P	1.318402055	432	1000	0.432567433	22	f85
