family	label_default	carrier	control	train_logfreq_distance	carrier_held_frame_coverage	control_held_frame_coverage	carrier_seen_frame_tokens	carrier_total_frame_tokens	control_seen_frame_tokens	control_total_frame_tokens	carrier_section_js_bits	control_section_js_bits
record_entity	FRAU	Ce+Ty	ol+Sedy	0.000000000	0.421053	0.483871	16	38	15	31	0.585650	0.364637
plant_part	WURZEL	Cor	qokal	0.014493007	0.198276	0.255556	23	116	23	90	0.183727	0.269773
record_entity	HEILUNG	K+ey	ol+Sedy	0.000000000	0.545455	0.483871	18	33	15	31	0.125314	0.364637
liquid_material	SALZ	Se+Ky	yt+Edy	0.000000000	0.472727	0.548387	26	55	17	31	0.549811	0.249506
plant_part	BLUETE	T+ol	d+am	0.028170877	0.535211	0.590361	38	71	49	83	0.172082	0.058518
plant_part	BLATT	Ty	oty	0.112795494	0.136364	0.166667	6	44	10	60	0.115992	0.109001
record_entity	BAD	ok+eol	ok+ol	0.030771659	0.416667	0.500000	20	48	35	70	0.199604	0.158138
liquid_material	OEL	ol+Cedy	Se+ody	0.000000000	0.475410	0.457143	29	61	16	35	0.367739	0.084302
plant_part	SAMEN	ot+Col	S+ar	0.000000000	0.425000	0.400000	17	40	16	40	0.141712	0.083177
operation	TROCKNEN	qo+aN	qot+Cdy	0.000000000	0.418605	0.447368	18	43	17	38	0.104474	0.128188
record_entity	KRANKHEIT	qok+eol	qot+ol	0.109199292	0.448980	0.434783	22	49	20	46	0.092301	0.079944
liquid_material	WASSER	qokaI	qokEdy	0.057158414	0.316038	0.327703	67	212	97	296	0.506149	0.518936
liquid_material	WEIN	qol	qo	1.443452775	0.243243	0.000000	18	74	0	17	0.267186	0.331012
operation	REIBEN	qot+Cy	qot+Edy	0.000000000	0.509434	0.518519	27	53	56	108	0.313521	0.395580
record_entity	GEFAESS	s+ol	d+am	0.000000000	0.583333	0.590361	14	24	49	83	0.177686	0.058518
operation	KOCHEN_ERWAERMEN	t+Cedy	l+Sedy	0.000000000	0.612903	0.446154	19	31	29	65	0.363552	0.203967
operation	EINWEICHEN	y+CEy	C+l	0.000000000	0.657143	0.436364	23	35	24	55	0.091593	0.313321
