carrier	component_id	component_size	seq_len	entry_flag	closure_flag	k_flag	train_n	held_n	train_folios	held_folios	train_sections	held_sections	train_line_initial_rate	held_line_initial_rate	train_logodds_H	held_logodds_H	train_logodds_PB	held_logodds_PB	train_logodds_B	held_logodds_B	train_logodds_P	held_logodds_P	train_logodds_T	held_logodds_T
C+Edy	X001	200	2	0	1	0	33	20	12	10	B:19;C:0;H:2;P:0;S:10;T:2	B:2;C:0;H:1;P:1;S:14;T:2	0.000000	0.000000	-2.231879	-0.792835	1.218027	0.592776	1.458273	1.073549	-1.179959	0.270207	-0.105439	0.875269
C+K+ey	X001	200	3	0	1	0	16	13	14	8	B:7;C:1;H:4;P:1;S:2;T:1	B:0;C:1;H:1;P:0;S:11;T:0	0.000000	0.000000	-0.717976	-0.347315	0.920273	-1.096235	0.923464	-0.224878	0.691352	-0.461869	0.093132	-0.422364
C+Ky	X001	200	2	0	1	0	83	39	35	12	B:23;C:0;H:43;P:0;S:8;T:9	B:3;C:1;H:4;P:1;S:30;T:0	0.000000	0.000000	0.377266	-0.293144	-0.026361	0.135744	0.214212	0.730870	-2.095846	-0.412088	0.370706	-1.498774
C+Ty	X001	200	2	0	1	0	52	21	32	9	B:16;C:1;H:23;P:0;S:10;T:2	B:3;C:1;H:2;P:0;S:14;T:1	0.000000	0.000000	0.077035	-0.281308	0.125775	0.537093	0.366012	1.412331	-1.630209	-0.928095	-0.578444	0.259665
C+aN	X001	200	2	0	1	0	34	8	22	5	B:0;C:0;H:29;P:0;S:4;T:1	B:0;C:0;H:4;P:0;S:4;T:0	0.000000	0.000000	1.986817	1.776006	-3.317005	-0.633047	-3.077313	0.238278	-1.209425	0.001293	-0.678538	0.040797
C+al	X001	200	2	0	0	0	19	19	11	8	B:3;C:0;H:4;P:0;S:9;T:3	B:1;C:0;H:1;P:0;S:16;T:1	0.000000	0.000000	-0.933344	-0.740072	-0.631739	-0.312249	-0.392021	0.560420	-0.638105	-0.830240	0.879072	0.362535
C+ar	X001	200	2	0	0	0	41	20	23	11	B:3;C:0;H:24;P:0;S:14;T:0	B:0;C:0;H:5;P:0;S:14;T:1	0.048780	0.000000	0.642040	0.739307	-1.480552	-1.514762	-1.240743	-0.643359	-1.394520	-0.880359	-1.992334	0.309783
C+l	X001	200	2	0	0	0	12	11	11	6	B:5;C:0;H:5;P:0;S:2;T:0	B:0;C:0;H:1;P:0;S:10;T:0	0.000000	0.000000	-0.005936	-0.172724	0.609669	-0.935667	0.849415	-0.064322	-0.193058	-0.301311	-0.790815	-0.261806
C+ody	X001	200	2	0	1	0	58	19	33	8	B:0;C:1;H:38;P:3;S:11;T:5	B:0;C:0;H:3;P:4;S:12;T:0	0.000000	0.052632	0.937172	0.223278	-1.847450	0.966701	-3.606935	-0.593242	0.263172	1.604349	0.153969	-0.790734
C+oky	X001	200	2	0	1	0	25	6	19	6	B:0;C:0;H:19;P:2;S:3;T:1	B:0;C:0;H:2;P:2;S:2;T:0	0.040000	0.000000	1.404541	1.186815	-1.322506	1.614874	-2.774449	0.506755	0.786669	2.250824	-0.365183	0.309276
C+oty	X001	200	2	0	1	0	29	7	21	5	B:1;C:0;H:20;P:1;S:4;T:3	B:0;C:0;H:2;P:0;S:4;T:1	0.034483	0.142857	1.074921	0.986025	-1.479967	-0.507771	-1.787051	0.363548	0.081617	0.126564	0.404752	1.409793
CE+s	X001	200	2	0	0	0	19	10	14	8	B:5;C:0;H:9;P:1;S:3;T:1	B:0;C:0;H:1;P:2;S:6;T:1	0.052632	0.000000	0.204343	-0.072521	0.188696	0.978433	0.189717	0.026756	0.514266	1.614404	-0.083959	1.029981
