family	carrier_a	carrier_b	channel	exact_frame	train_count_a	train_count_b	held_count_a	held_count_b	train_locus_a	train_chunk_a	train_section_a	train_locus_b	train_chunk_b	train_section_b	held_locus_a	held_chunk_a	held_section_a	held_locus_b	held_chunk_b	held_section_b
plant_part	Cor	T+ol	left	Cor	4	2	1	1	f15v.5	2	H	f32r.3	2	H	f113r.11	9	S	f113v.14	5	S
plant_part	Cor	T+ol	left	daN	5	4	1	3	f19v.10	1	H	f22r.3	4	H	f30v.4	2	H	f28v.8	8	H
plant_part	Cor	T+ol	right	daN	6	3	2	3	f19r.12	1	H	f37v.11	2	H	f23r.2	2	H	f18r.12	1	H
plant_part	Cor	Ty	left	daN	5	10	1	1	f19v.10	1	H	f11r.5	6	H	f30v.4	2	H	f45v.2	3	H
plant_part	Cor	Ty	right	Col	7	1	1	1	f100r.15	3	P	f20v.9	3	H	f28v.3	0	H	f45v.9	1	H
plant_part	T+ol	Ty	left	daN	4	10	3	1	f22r.3	4	H	f11r.5	6	H	f28v.8	8	H	f45v.2	3	H
liquid_material	Se+Ky	qokaI	left	ok+aI	1	2	1	1	f80r.43	5	B	f106r.29	6	S	f81r.23	2	B	f103r.18	6	S
liquid_material	Se+Ky	qokaI	left	qokaI	1	2	1	1	f75v.17	3	B	f77v.35	2	B	f116r.42	2	S	f115r.42	7	S
liquid_material	Se+Ky	qokaI	right	qokaI	1	2	1	1	f80r.32	4	B	f77v.35	1	B	f116r.42	2	S	f115r.42	6	S
liquid_material	qokaI	qol	left	Cedy	13	7	3	1	f75r.33	4	B	f75v.44	5	B	f103r.19	6	S	f81r.22	2	B
liquid_material	qokaI	qol	left	Cey	6	3	2	3	f79r.18	4	B	f104v.4	7	S	f111v.31	6	S	f111v.32	5	S
liquid_material	qokaI	qol	left	S+Ey	1	1	2	1	f79r.16	6	B	f79v.16	2	B	f111v.17	4	S	f116r.33	6	S
liquid_material	qokaI	qol	left	qok+ey	1	1	1	1	f75r.30	3	B	f78v.13	4	B	f111v.9	9	S	f108v.28	3	S
liquid_material	qokaI	qol	right	CEy	2	1	1	2	f77v.37	3	B	f79r.14	4	B	f103r.50	7	S	f103r.50	2	S
liquid_material	qokaI	qol	right	Cedy	9	10	4	4	f75r.16	7	B	f104v.4	7	S	f103r.13	5	S	f111v.32	5	S
liquid_material	qokaI	qol	right	Sedy	6	6	1	1	f75r.40	2	B	f75r.18	2	B	f103v.22	5	S	f103v.16	3	S
liquid_material	qokaI	qol	right	ol	8	1	2	2	f75v.44	2	B	f75v.40	4	B	f103v.37	1	S	f81r.22	2	B
record_entity	ok+eol	qok+eol	internal	0/2:*+eol	33	26	10	11	f100r.25	9	P	f100r.14	5	P	f103r.10	3	S	f103r.11	9	S
