split	physical_folio	events	section_codes	dominant_section
train	f10	136	H	H
train	f100	196	P	P
train	f102	396	P	P
train	f104	854	S	S
train	f106	806	S	S
train	f107	883	S	S
train	f11	99	H	H
train	f112	756	S	S
train	f13	134	H	H
train	f14	132	H	H
train	f15	153	H	H
train	f16	143	H	H
train	f17	208	H	H
train	f19	146	H	H
train	f2	152	H	H
train	f20	165	H	H
train	f21	148	H	H
train	f22	167	H	H
train	f24	175	H	H
train	f25	99	H	H
train	f26	171	H	H
train	f27	86	H	H
train	f29	150	H	H
train	f3	190	H	H
train	f31	94	H	H
train	f32	148	H	H
train	f34	250	H	H
train	f35	165	H	H
train	f36	115	H	H
train	f37	155	H	H
train	f38	103	H	H
train	f39	283	H	H
train	f4	134	H	H
train	f40	187	H	H
train	f41	156	H	H
train	f42	235	H	H
train	f43	287	H	H
train	f44	162	H	H
train	f46	260	H	H
train	f48	201	H	H
train	f49	257	H	H
train	f5	90	H	H
train	f50	184	H	H
train	f51	161	H	H
train	f54	85	H	H
train	f55	201	H	H
train	f56	163	H	H
train	f58	691	S	S
train	f6	189	H	H
train	f66	426	H;T	T
train	f7	131	H	H
train	f75	722	B	B
train	f76	902	B;T	T
train	f77	624	B	B
train	f78	534	B	B
train	f79	681	B	B
train	f8	260	H	H
train	f80	769	B	B
train	f82	569	B	B
train	f83	580	B	B
train	f86	1077	C;T	T
train	f87	181	H	H
train	f9	161	H	H
train	f93	231	H	H
train	f94	163	H	H
train	f95	338	H	H
train	f96	138	H	H
train	f99	348	P	P
held	f1	202	T	T
held	f103	919	S	S
held	f105	719	S	S
held	f108	1002	S	S
held	f111	1095	S	S
held	f113	933	S	S
held	f114	761	S	S
held	f115	812	S	S
held	f116	519	S	S
held	f18	148	H	H
held	f23	183	H	H
held	f28	130	H	H
held	f30	149	H	H
held	f33	173	H	H
held	f45	162	H	H
held	f47	152	H	H
held	f52	137	H	H
held	f53	125	H	H
held	f81	435	B	B
held	f85	469	C;T	T
held	f88	275	P	P
held	f89	270	P	P
held	f90	68	H	H
