carrier_a	carrier_b	component_id	train_shared_frames	train_weight	train_internal_weight	train_left_weight	train_right_weight	train_both_weight	held_reused_exact_frames	held_reused_weight	held_channels	held_examples
C+Edy	Cedy	X001	30	23.502465618	0.000000000	12.006645621	11.495819997	0.000000000	7	5.662960480	left:5;right:2	left:daN;left:qok+ol;left:ol
C+Edy	Cey	X001	23	17.264140993	0.000000000	11.718963548	5.545177444	0.000000000	4	3.583518938	left:2;right:2	left:daN;left:ol;right:qokEdy
C+Edy	S+Edy	X001	17	16.120792810	3.526360525	6.643789733	5.950642553	0.000000000	2	3.737669618	internal:1;left:1	left:ol;internal:0/2:*+Edy
C+Edy	Sedy	X001	29	22.116171257	0.000000000	12.699792801	9.416378455	0.000000000	7	5.662960480	left:5;right:2	left:daN;left:qok+ol;left:ol
C+Edy	Sey	X001	22	16.165528704	0.000000000	7.847762537	8.317766167	0.000000000	4	2.772588722	left:2;right:2	left:daN;left:ol;right:qokEdy
C+K+ey	Cedy	X001	11	7.624618986	0.000000000	4.158883083	3.465735903	0.000000000	1	0.693147181	left:1	left:qokaN
C+K+ey	Cey	X001	12	8.317766167	0.000000000	3.465735903	4.852030264	0.000000000	1	0.693147181	left:1	left:qokaN
C+K+ey	Col	X001	9	6.238324625	0.000000000	2.772588722	3.465735903	0.000000000	1	0.693147181	left:1	left:qokaN
C+K+ey	Sedy	X001	9	6.238324625	0.000000000	3.465735903	2.772588722	0.000000000	1	0.693147181	left:1	left:qokaN
C+K+ey	qokaI	X001	11	7.624618986	0.000000000	4.158883083	3.465735903	0.000000000	0	0.000000000		<NA>
C+Ky	C+Ty	X001	16	17.087972343	3.970291914	6.761572769	6.356107661	0.000000000	4	5.170483995	internal:1;left:2;right:1	internal:1/2:C+*;left:daN;right:qok+y
C+Ky	C+al	X001	9	8.540909718	2.995732274	3.465735903	2.079441542	0.000000000	3	4.382026635	internal:1;left:2	internal:1/2:C+*;left:qokEy;left:qokaI
