family	label_default	carrier	component_id	unit_length	formal_shape	train_n	held_n	train_folios	held_folios	train_sections	held_sections	target_contrast	train_target_score	held_target_score	held_target_folios	section_null_p_train	section_null_p_held	single_section_null_observed_train	single_section_null_observed_held	held_family_shared_frames	held_frame_coverage	bootstrap_selection_rate	matched_control	member_family_gate	exact_lexeme_gate	status	named_alternatives	independent_observable
operation	REIBEN	qot+Cy	X001	2	entry=1;closure=1;k=0	50	11	31	6	B:4;C:0;H:45;P:0;S:1;T:0	B:0;C:0;H:4;P:1;S:6;T:0	FORMAL_ENTRY	4.245733	2.729026	6	NA	NA	NA	NA	0	0.509434	0.335000	qot+Edy	0	0	DEFAULT_ONLY__LABEL_PERMUTATION_IDENTICAL	REIBEN|KOCHEN_ERWAERMEN|TROCKNEN|EINWEICHEN	ABSENT__SECTION_CODE_DOES_NOT_OWN_WORD
operation	KOCHEN_ERWAERMEN	t+Cedy	X001	2	entry=0;closure=1;k=0	22	9	16	5	B:10;C:2;H:7;P:0;S:3;T:0	B:0;C:1;H:0;P:0;S:7;T:1	FORMAL_ENTRY	4.499541	4.439294	5	NA	NA	NA	NA	0	0.612903	0.640000	l+Sedy	0	0	DEFAULT_ONLY__LABEL_PERMUTATION_IDENTICAL	REIBEN|KOCHEN_ERWAERMEN|TROCKNEN|EINWEICHEN	ABSENT__SECTION_CODE_DOES_NOT_OWN_WORD
operation	TROCKNEN	qo+aN	X001	2	entry=1;closure=1;k=0	12	9	10	8	B:0;C:0;H:6;P:0;S:4;T:2	B:0;C:0;H:2;P:1;S:6;T:0	FORMAL_ENTRY	4.199723	2.862860	8	NA	NA	NA	NA	0	0.418605	0.500000	qot+Cdy	0	0	DEFAULT_ONLY__LABEL_PERMUTATION_IDENTICAL	REIBEN|KOCHEN_ERWAERMEN|TROCKNEN|EINWEICHEN	ABSENT__SECTION_CODE_DOES_NOT_OWN_WORD
operation	EINWEICHEN	y+CEy	X001	2	entry=0;closure=0;k=0	12	11	9	9	B:1;C:0;H:4;P:1;S:6;T:0	B:0;C:0;H:1;P:0;S:9;T:1	FORMAL_ENTRY	4.917807	5.309216	9	NA	NA	NA	NA	0	0.657143	0.705000	C+l	0	0	DEFAULT_ONLY__LABEL_PERMUTATION_IDENTICAL	REIBEN|KOCHEN_ERWAERMEN|TROCKNEN|EINWEICHEN	ABSENT__SECTION_CODE_DOES_NOT_OWN_WORD
plant_part	WURZEL	Cor	X001	1	entry=0;closure=0;k=0	137	40	46	17	B:0;C:0;H:123;P:7;S:5;T:2	B:0;C:0;H:18;P:5;S:12;T:5	H	2.459483	1.588001	8	0.022977	0.372627	2.394535	1.673954	5	0.198276	0.145000	qokal	0	0	DEFAULT_ONLY__LABEL_PERMUTATION_IDENTICAL	WURZEL|BLATT|BLUETE|SAMEN	ABSENT__SECTION_CODE_DOES_NOT_OWN_WORD
plant_part	BLATT	Ty	X001	1	entry=0;closure=1;k=0	75	16	29	8	B:0;C:0;H:74;P:0;S:0;T:1	B:0;C:0;H:12;P:0;S:1;T:3	H	4.218095	2.803293	6	0.000999	0.385614	5.111677	2.745893	3	0.136364	0.980000	oty	0	0	DEFAULT_ONLY__LABEL_PERMUTATION_IDENTICAL	WURZEL|BLATT|BLUETE|SAMEN	ABSENT__SECTION_CODE_DOES_NOT_OWN_WORD
plant_part	BLUETE	T+ol	X001	2	entry=0;closure=0;k=0	35	15	19	8	B:1;C:0;H:34;P:0;S:0;T:0	B:0;C:0;H:9;P:3;S:2;T:1	H	3.443593	2.158776	4	0.016983	0.614386	3.238395	2.101362	4	0.535211	0.780000	d+am	0	0	DEFAULT_ONLY__LABEL_PERMUTATION_IDENTICAL	WURZEL|BLATT|BLUETE|SAMEN	ABSENT__SECTION_CODE_DOES_NOT_OWN_WORD
plant_part	SAMEN	ot+Col	X001	2	entry=0;closure=0;k=0	17	8	12	8	B:0;C:0;H:17;P:0;S:0;T:0	B:0;C:0;H:5;P:1;S:0;T:2	H	3.861557	2.228812	5	0.000999	0.192807	3.656355	2.508018	0	0.425000	0.960000	S+ar	0	0	DEFAULT_ONLY__LABEL_PERMUTATION_IDENTICAL	WURZEL|BLATT|BLUETE|SAMEN	ABSENT__SECTION_CODE_DOES_NOT_OWN_WORD
liquid_material	WASSER	qokaI	X001	1	entry=0;closure=0;k=0	198	74	20	8	B:150;C:1;H:7;P:0;S:32;T:8	B:3;C:0;H:0;P:1;S:70;T:0	P|B	2.074749	-0.554311	2	0.002997	0.534466	2.192477	-0.609153	11	0.316038	0.180000	qokEdy	0	0	DEFAULT_ONLY__LABEL_PERMUTATION_IDENTICAL	WASSER|WEIN|OEL|SALZ	ABSENT__SECTION_CODE_DOES_NOT_OWN_WORD
liquid_material	WEIN	qol	X001	1	entry=1;closure=0;k=0	72	28	13	8	B:64;C:0;H:1;P:0;S:4;T:3	B:10;C:0;H:1;P:0;S:17;T:0	P|B	2.956592	1.642892	1	0.000999	0.406593	3.261933	1.588381	8	0.243243	0.965000	qo	0	0	DEFAULT_ONLY__LABEL_PERMUTATION_IDENTICAL	WASSER|WEIN|OEL|SALZ	ABSENT__SECTION_CODE_DOES_NOT_OWN_WORD
