family	label_default	carrier	counterexample_reasons	held_locus	held_section	held_chunk_index	held_line_eva	closest_exchange_carrier	closest_train_edge_weight	closest_held_reused_exact_frames	closest_held_examples
operation	REIBEN	qot+Cy	NO_HELD_WITHIN_FAMILY_FRAME;BOOTSTRAP_UNSTABLE;CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f103r.26	S	2	oteedy okeey qotchy shey olcheedar shey lotor	daN	20.219051272	2	right:daN;right:qok+Cy
operation	KOCHEN_ERWAERMEN	t+Cedy	NO_HELD_WITHIN_FAMILY_FRAME;BOOTSTRAP_UNSTABLE;CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f85r2.9	C	2	daiin qotaiin tchedy otedy qotchdy chckhey	Cedy	5.950642553	1	right:qokEdy
operation	TROCKNEN	qo+aN	NO_HELD_WITHIN_FAMILY_FRAME;BOOTSTRAP_UNSTABLE;CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f105v.36	S	3	laiin sheod okeeody qoaiin ytaiin otair chdal dy daim chdaiin oy	s+aN	5.743003188	1	internal:0/2:*+aN
operation	EINWEICHEN	y+CEy	NO_HELD_WITHIN_FAMILY_FRAME;BOOTSTRAP_UNSTABLE;CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f113v.2	S	3	teoar ain qotar ycheey otaiir otaiin okchy lkchdy oteol ar al ar aiin okal cheyor	daN	4.158883083	1	right:qokEy
plant_part	WURZEL	Cor	BOOTSTRAP_UNSTABLE;CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f105v.35	S	4	doee okcheeo l taiin otcheedy chor aiin odaiin chedy otaiin al kaishd	daN	61.226094884	10	left:Cor;left:daN;left:dal
plant_part	BLATT	Ty	CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f1r.14	T	8	dain oiin chol odaiin chodain chdy okain dn cthy kod	daN	35.757099830	3	left:S+or;left:daN;left:Sol
plant_part	BLUETE	T+ol	CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f88r.26	P	3	poeear sheoky olkeey cthol poldy s okoldy	daN	20.665338375	4	right:S+or;left:Cor;left:daN
plant_part	SAMEN	ot+Col	NO_HELD_WITHIN_FAMILY_FRAME;CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f1r.8	T	3	yshey shody okchoy otchol chocthy os chy dain chor kos	Cor	7.336936914	0	<NA>
liquid_material	WASSER	qokaI	HELD_TARGET_SIGN_REVERSAL;BOOTSTRAP_UNSTABLE;CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f103r.13	S	5	podar sheor qotedy okeey qokar checkhy qokain chedy pchdy tshdy dal kasol	qokaN	63.677234672	16	left:S+Ey;right:Cey;right:C+al
liquid_material	WEIN	qol	CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f103r.50	S	2	ssheey l shey qol cheey chey qokeey okeey qokain cheey qotain	qokaI	32.327731571	8	left:S+Ey;left:Cey;left:qok+ey
liquid_material	OEL	ol+Cedy	NO_HELD_WITHIN_FAMILY_FRAME;BOOTSTRAP_UNSTABLE;CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f108v.53	S	1	olchar ol chedy lshy otedy	Sedy	17.851927658	2	right:qokaN;right:qokEdy
liquid_material	SALZ	Se+Ky	CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f103r.23	S	1	daiin sheckhy lchedy chckhy shol	Sedy	14.961555900	3	right:qokaI;right:qok+ar;left:qokaI
record_entity	GEFAESS	s+ol	NO_HELD_WITHIN_FAMILY_FRAME;BOOTSTRAP_UNSTABLE;CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f23v.7	H	6	otor oiin sho shol qokol daiin sol daiin ylg	ol	15.367021008	2	right:Cey;right:Cedy
record_entity	BAD	ok+eol	BOOTSTRAP_UNSTABLE;CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f103r.10	S	3	daiin ol oain okeol chol okam chety shedy otaiin shedy teolshy oteedy sor ain	daN	12.476649250	0	<NA>
record_entity	KRANKHEIT	qok+eol	CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f103r.11	S	9	dar oteey otain lolshedy okain chey qorain shey otoy qokeol key dayky	daN	9.821843563	0	<NA>
record_entity	FRAU	Ce+Ty	NO_HELD_WITHIN_FAMILY_FRAME;BOOTSTRAP_UNSTABLE;CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f103r.18	S	3	polchedy qokeol okain checthy oteeylshedy okain qokain qokalshedy oteys	Sedy	8.946374826	0	<NA>
record_entity	HEILUNG	K+ey	NO_HELD_WITHIN_FAMILY_FRAME;BOOTSTRAP_UNSTABLE;CLOSE_ALTERNATIVE_SAME_FORMAL_GRAPH	f30r.12	H	1	dcheey ckhey ckhey daiin chkeaiin dar chor ychdain	daN	7.742402022	3	right:daN;left:Cey;left:K+ey
