family	label_default	carrier	selected_restarts	restarts	selection_rate	pass_075
record_entity	FRAU	Ce+Ty	15	200	0.075000	0
plant_part	WURZEL	Cor	29	200	0.145000	0
record_entity	HEILUNG	K+ey	107	200	0.535000	0
liquid_material	SALZ	Se+Ky	157	200	0.785000	1
plant_part	BLUETE	T+ol	156	200	0.780000	1
plant_part	BLATT	Ty	196	200	0.980000	1
record_entity	BAD	ok+eol	141	200	0.705000	0
liquid_material	OEL	ol+Cedy	95	200	0.475000	0
plant_part	SAMEN	ot+Col	192	200	0.960000	1
operation	TROCKNEN	qo+aN	100	200	0.500000	0
record_entity	KRANKHEIT	qok+eol	169	200	0.845000	1
liquid_material	WASSER	qokaI	36	200	0.180000	0
liquid_material	WEIN	qol	193	200	0.965000	1
operation	REIBEN	qot+Cy	67	200	0.335000	0
record_entity	GEFAESS	s+ol	29	200	0.145000	0
operation	KOCHEN_ERWAERMEN	t+Cedy	128	200	0.640000	0
operation	EINWEICHEN	y+CEy	141	200	0.705000	0
