split	carrier	family	target	observed_logodds	null_ge_count	replicates	p_one_sided	included_physical_folios	excluded_mixed_section_folios
train	qot+Cy	operation	FORMAL_ENTRY	NA	NA	0	NA	68	<NA>
train	t+Cedy	operation	FORMAL_ENTRY	NA	NA	0	NA	68	<NA>
train	qo+aN	operation	FORMAL_ENTRY	NA	NA	0	NA	68	<NA>
train	y+CEy	operation	FORMAL_ENTRY	NA	NA	0	NA	68	<NA>
train	Cor	plant_part	H	2.407036936	48	1000	0.048951049	68	<NA>
train	Ty	plant_part	H	4.240588052	3	1000	0.003996004	68	<NA>
train	T+ol	plant_part	H	3.466024855	25	1000	0.025974026	68	<NA>
train	ot+Col	plant_part	H	3.883962639	0	1000	0.000999001	68	<NA>
train	qokaI	liquid_material	P|B	2.142443370	0	1000	0.000999001	68	<NA>
train	qol	liquid_material	P|B	2.699803414	0	1000	0.000999001	68	<NA>
train	ol+Cedy	liquid_material	P|B	2.164449080	10	1000	0.010989011	68	<NA>
train	Se+Ky	liquid_material	P|B	2.314502935	28	1000	0.028971029	68	<NA>
train	s+ol	record_entity	B	1.707537911	6	1000	0.006993007	68	<NA>
train	ok+eol	record_entity	P	3.221917614	1	1000	0.001998002	68	<NA>
train	qok+eol	record_entity	P	3.189235016	0	1000	0.000999001	68	<NA>
train	Ce+Ty	record_entity	B	2.003873378	23	1000	0.023976024	68	<NA>
train	K+ey	record_entity	P	2.797054066	4	1000	0.004995005	68	<NA>
held	qot+Cy	operation	FORMAL_ENTRY	NA	NA	0	NA	23	<NA>
held	t+Cedy	operation	FORMAL_ENTRY	NA	NA	0	NA	23	<NA>
held	qo+aN	operation	FORMAL_ENTRY	NA	NA	0	NA	23	<NA>
held	y+CEy	operation	FORMAL_ENTRY	NA	NA	0	NA	23	<NA>
held	Cor	plant_part	H	1.588001315	300	1000	0.300699301	23	<NA>
held	Ty	plant_part	H	2.803292587	346	1000	0.346653347	23	<NA>
held	T+ol	plant_part	H	2.158775900	545	1000	0.545454545	23	<NA>
held	ot+Col	plant_part	H	2.228812336	256	1000	0.256743257	23	<NA>
held	qokaI	liquid_material	P|B	-0.554310736	436	1000	0.436563437	23	<NA>
held	qol	liquid_material	P|B	1.642891838	298	1000	0.298701299	23	<NA>
held	ol+Cedy	liquid_material	P|B	0.675813122	739	1000	0.739260739	23	<NA>
held	Se+Ky	liquid_material	P|B	0.255050846	564	1000	0.564435564	23	<NA>
held	s+ol	record_entity	B	1.774826452	379	1000	0.379620380	23	<NA>
held	ok+eol	record_entity	P	0.990406989	300	1000	0.300699301	23	<NA>
held	qok+eol	record_entity	P	1.952718042	41	1000	0.041958042	23	<NA>
held	Ce+Ty	record_entity	B	0.238277990	758	1000	0.758241758	23	<NA>
held	K+ey	record_entity	P	1.370219678	349	1000	0.349650350	23	<NA>
