index	edition	paragraph	leaf	writer	source_atoms	source_types	groups	characters	status	nodes	exhaustive	saved_codes	independent_meaning_capacity
0	ZL3b	f100r|f100r.12-f100r.15	100	PREFIX	192	96	35	231	UNKNOWN_SOURCE			0	0
1	ZL3b	f100r|f100r.12-f100r.15	100	POSTFIX	192	96	35	231	UNKNOWN_SOURCE			0	0
2	ZL3b	f100r|f100r.22-f100r.27	100	PREFIX	192	96	56	307	UNKNOWN_SOURCE			0	0
3	ZL3b	f100r|f100r.22-f100r.27	100	POSTFIX	192	96	56	307	UNKNOWN_SOURCE			0	0
4	ZL3b	f100v|f100v.14-f100v.22	100	PREFIX	192	96	79	421	UNKNOWN_SOURCE			0	0
5	ZL3b	f100v|f100v.14-f100v.22	100	POSTFIX	192	96	79	421	UNKNOWN_SOURCE			0	0
6	ZL3b	f102r1|f102r1.3-f102r1.6	102	PREFIX	192	96	28	179	UNKNOWN_SOURCE			0	0
7	ZL3b	f102r1|f102r1.3-f102r1.6	102	POSTFIX	192	96	28	179	UNKNOWN_SOURCE			0	0
8	ZL3b	f102r1|f102r1.8-f102r1.11	102	PREFIX	192	96	32	189	UNKNOWN_SOURCE			0	0
9	ZL3b	f102r1|f102r1.8-f102r1.11	102	POSTFIX	192	96	32	189	UNKNOWN_SOURCE			0	0
10	ZL3b	f102r1|f102r1.13-f102r1.17	102	PREFIX	192	96	43	214	UNKNOWN_SOURCE			0	0
11	ZL3b	f102r1|f102r1.13-f102r1.17	102	POSTFIX	192	96	43	214	UNKNOWN_SOURCE			0	0
12	ZL3b	f102v1|f102v1.7-f102v1.14	102	PREFIX	192	96	73	374	UNKNOWN_SOURCE			0	0
13	ZL3b	f102v1|f102v1.7-f102v1.14	102	POSTFIX	192	96	73	374	UNKNOWN_SOURCE			0	0
14	ZL3b	f102v1|f102v1.19-f102v1.24	102	PREFIX	192	96	45	267	UNKNOWN_SOURCE			0	0
15	ZL3b	f102v1|f102v1.19-f102v1.24	102	POSTFIX	192	96	45	267	UNKNOWN_SOURCE			0	0
