id	edition	paragraph	page	leaf	partition	groups	types	known_groups	unknown_groups	known_types	unknown_types	strict_anchor_eligible	status
ZL3b|f100r|f100r.12-f100r.15	ZL3b	f100r|f100r.12-f100r.15	f100r	100	OTHER_ADMITTED_EXPOSED_LEAF	35	35	5	30	5	30	False	MISSING_FIXED_VALUES
ZL3b|f100r|f100r.22-f100r.27	ZL3b	f100r|f100r.22-f100r.27	f100r	100	OTHER_ADMITTED_EXPOSED_LEAF	56	47	9	47	7	40	False	MISSING_FIXED_VALUES
ZL3b|f100v|f100v.14-f100v.22	ZL3b	f100v|f100v.14-f100v.22	f100v	100	OTHER_ADMITTED_EXPOSED_LEAF	79	67	17	62	10	57	False	MISSING_FIXED_VALUES
ZL3b|f102r1|f102r1.3-f102r1.6	ZL3b	f102r1|f102r1.3-f102r1.6	f102r1	102	OTHER_ADMITTED_EXPOSED_LEAF	28	28	5	23	5	23	False	MISSING_FIXED_VALUES
ZL3b|f102r1|f102r1.8-f102r1.11	ZL3b	f102r1|f102r1.8-f102r1.11	f102r1	102	OTHER_ADMITTED_EXPOSED_LEAF	32	30	6	26	5	25	False	MISSING_FIXED_VALUES
ZL3b|f102r1|f102r1.13-f102r1.17	ZL3b	f102r1|f102r1.13-f102r1.17	f102r1	102	OTHER_ADMITTED_EXPOSED_LEAF	43	40	8	35	6	34	False	MISSING_FIXED_VALUES
ZL3b|f102v1|f102v1.7-f102v1.14	ZL3b	f102v1|f102v1.7-f102v1.14	f102v1	102	OTHER_ADMITTED_EXPOSED_LEAF	73	60	23	50	13	47	False	MISSING_FIXED_VALUES
ZL3b|f102v1|f102v1.19-f102v1.24	ZL3b	f102v1|f102v1.19-f102v1.24	f102v1	102	OTHER_ADMITTED_EXPOSED_LEAF	45	43	9	36	8	35	False	MISSING_FIXED_VALUES
ZL3b|f102v2|f102v2.17-f102v2.23	ZL3b	f102v2|f102v2.17-f102v2.23	f102v2	102	OTHER_ADMITTED_EXPOSED_LEAF	75	62	20	55	14	48	False	MISSING_FIXED_VALUES
ZL3b|f102v2|f102v2.30-f102v2.39	ZL3b	f102v2|f102v2.30-f102v2.39	f102v2	102	OTHER_ADMITTED_EXPOSED_LEAF	93	76	18	75	15	61	False	MISSING_FIXED_VALUES
ZL3b|f103r|f103r.1-f103r.4	ZL3b	f103r|f103r.1-f103r.4	f103r	103	OTHER_ADMITTED_EXPOSED_LEAF	50	48	12	38	10	38	False	MISSING_FIXED_VALUES
ZL3b|f103r|f103r.5-f103r.7	ZL3b	f103r|f103r.5-f103r.7	f103r	103	OTHER_ADMITTED_EXPOSED_LEAF	36	33	12	24	9	24	False	MISSING_FIXED_VALUES
ZL3b|f103r|f103r.8-f103r.12	ZL3b	f103r|f103r.8-f103r.12	f103r	103	OTHER_ADMITTED_EXPOSED_LEAF	62	52	16	46	11	41	False	MISSING_FIXED_VALUES
ZL3b|f103r|f103r.13-f103r.15	ZL3b	f103r|f103r.13-f103r.15	f103r	103	OTHER_ADMITTED_EXPOSED_LEAF	30	28	12	18	11	17	False	MISSING_FIXED_VALUES
ZL3b|f103r|f103r.16-f103r.17	ZL3b	f103r|f103r.16-f103r.17	f103r	103	OTHER_ADMITTED_EXPOSED_LEAF	21	21	8	13	8	13	False	MISSING_FIXED_VALUES
ZL3b|f103r|f103r.18-f103r.20	ZL3b	f103r|f103r.18-f103r.20	f103r	103	OTHER_ADMITTED_EXPOSED_LEAF	28	23	12	16	7	16	True	MISSING_FIXED_VALUES
ZL3b|f103r|f103r.21-f103r.23	ZL3b	f103r|f103r.21-f103r.23	f103r	103	OTHER_ADMITTED_EXPOSED_LEAF	29	28	9	20	8	20	True	MISSING_FIXED_VALUES
ZL3b|f103r|f103r.24-f103r.26	ZL3b	f103r|f103r.24-f103r.26	f103r	103	OTHER_ADMITTED_EXPOSED_LEAF	31	29	10	21	8	21	False	MISSING_FIXED_VALUES
ZL3b|f103r|f103r.27-f103r.29	ZL3b	f103r|f103r.27-f103r.29	f103r	103	OTHER_ADMITTED_EXPOSED_LEAF	28	22	10	18	5	17	False	MISSING_FIXED_VALUES
ZL3b|f103r|f103r.30-f103r.32	ZL3b	f103r|f103r.30-f103r.32	f103r	103	OTHER_ADMITTED_EXPOSED_LEAF	28	24	4	24	3	21	True	MISSING_FIXED_VALUES
