semantic_family	component_recipe	pass723_reading_de	pass724_reading_de	original_pass721_reading_de	events	exact_card_ids	second_wave_revision	total_revision_from_pass721
SEM001	CH+E+Y	ENTNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · DIES	ABNEHMEN · KURZ · DIES	1	PROC001	NO	YES
SEM002	CTH+O+OR	BEREIT · GANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	BEREIT · GANG · ANSATZ	1	PROC002	YES	YES
SEM003	AR	QUELLE	QUELLE	QUELLE	5	PROC003	NO	NO
SEM004	T+Y	ANWENDEN · DIES	ANWENDEN · DIES	EINTRAGEN · DIES	2	PROC004	NO	YES
SEM005	OS	FACH	FACH	FACH	1	PROC005	NO	NO
SEM006	CH+AIR	ENTNEHMEN · LAUF	ENTNEHMEN · WASSER	ABNEHMEN · LAUF	1	PROC006	YES	YES
SEM007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN	DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	1	PROC007	NO	YES
SEM008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	ANSETZEN · DIES	13	PROC008|PROC011	NO	NO
SEM009	AIIN	MASS	MASS	MASS	20	PROC009	NO	NO
SEM010	E+T+Y	KURZ · ANWENDEN · DIES	KURZ · ANWENDEN · DIES	KURZ · EINTRAGEN · DIES	1	PROC010	NO	YES
SEM011	OT+CH+OL	DANACH · ENTNEHMEN · FORTSETZEN	DANACH · ENTNEHMEN · FORTSETZEN	DANACH · ABNEHMEN · FORTSETZEN	1	PROC012	NO	YES
SEM012	OL	FORTSETZEN	FORTSETZEN	FORTSETZEN	20	PROC013|PROC115	NO	NO
SEM013	CTH+Y	BEREIT · DIES	BEREITEN · DIES	BEREIT · DIES	7	PROC014	YES	YES
SEM014	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	DIES · ABNEHMEN · KURZ · ANSATZ	1	PROC015	NO	YES
SEM015	OR	ANSATZ	ANSATZ	ANSATZ	7	PROC016	NO	NO
SEM016	CTH+AIIN	BEREIT · MASS	BEREITEN · MASS	BEREIT · MASS	1	PROC017	YES	YES
SEM017	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	ARBEITSGANG · BEREITEN · FORTSETZEN · DIES	GANG · BEREIT · FORTSETZEN · DIES	1	PROC018	YES	YES
SEM018	Y	DIES	DIES	DIES	18	PROC019	NO	NO
SEM019	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	DANACH · ABNEHMEN · ANSATZ	2	PROC020	NO	YES
SEM020	OT+OL	DANACH · FORTSETZEN	DANACH · FORTSETZEN	DANACH · FORTSETZEN	1	PROC021	NO	NO
SEM021	OL+OR	FORTSETZEN · ANSATZ	FORTSETZEN · ANSATZ	FORTSETZEN · ANSATZ	2	PROC022	NO	NO
SEM022	O+Y+K+OR	GANG · DIES · ZUGEBEN · ANSATZ	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	GANG · DIES · ZUDOSIEREN · ANSATZ	1	PROC023	YES	YES
SEM023	K+IIN	ZUGEBEN · STUFE	ZUGEBEN · STUFE	ZUDOSIEREN · STUFE	1	PROC024	NO	YES
SEM024	CH+O+AIIN	ENTNEHMEN · GANG · MASS	ENTNEHMEN · ARBEITSGANG · MASS	ABNEHMEN · GANG · MASS	1	PROC025	YES	YES
SEM025	T+SH+OL	ANWENDEN · HALTEN · FORTSETZEN	ANWENDEN · HALTEN · FORTSETZEN	EINTRAGEN · HALTEN · FORTSETZEN	1	PROC026	NO	YES
SEM026	SH+O+AL	HALTEN · GANG · ZIEL	HALTEN · ARBEITSGANG · ZIEL	HALTEN · GANG · ZIEL	1	PROC027	YES	YES
SEM027	CFH+Y	AUSWRINGEN · DIES	AUSWRINGEN · DIES	AUSWRINGEN · DIES	1	PROC028	NO	NO
SEM028	SH+Y+AIIN	HALTEN · DIES · MASS	HALTEN · DIES · MASS	HALTEN · DIES · MASS	1	PROC029	NO	NO
SEM029	P+Y	EINFUELLEN · DIES	EINFUELLEN · DIES	EINFUELLEN · DIES	1	PROC030	NO	NO
SEM030	SH+EE+Y	HALTEN · LANG · DIES	HALTEN · LANG · DIES	HALTEN · LANG · DIES	5	PROC031|PROC157	NO	NO
SEM031	T+CH+O+DY	ANWENDEN · ENTNEHMEN · GANG · SCHLUSS	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	1	PROC032	YES	YES
SEM032	SH+O+Y+T+Y	HALTEN · GANG · DIES · ANWENDEN · DIES	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	HALTEN · GANG · DIES · EINTRAGEN · DIES	1	PROC033	YES	YES
SEM033	RESUME_CARD	WIEDERAUFNEHMEN	WIEDERAUFNEHMEN	WIEDERAUFNEHMEN	2	PROC034	NO	NO
SEM034	K+Y	ZUGEBEN · DIES	ZUGEBEN · DIES	ZUDOSIEREN · DIES	1	PROC035	NO	YES
SEM035	OT+Y	DANACH · DIES	DANACH · DIES	DANACH · DIES	3	PROC036|PROC065	NO	NO
SEM036	OK+OL	ANSETZEN · FORTSETZEN	ANSETZEN · FORTSETZEN	ANSETZEN · FORTSETZEN	2	PROC037|PROC160	NO	NO
SEM037	OK+AIIN	ANSETZEN · MASS	ANSETZEN · MASS	ANSETZEN · MASS	9	PROC038	NO	NO
SEM038	Y+K+AIN	DIES · ZUGEBEN · PORTION	DIES · ZUGEBEN · PORTION	DIES · ZUDOSIEREN · PORTION	1	PROC039	NO	YES
SEM039	Y+K+AN	DIES · ZUGEBEN · NACHGABE	DIES · ZUGEBEN · NACHGABE	DIES · ZUDOSIEREN · NACHGABE	1	PROC040	NO	YES
SEM040	O+DY	GANG · SCHLUSS	ARBEITSGANG · SCHLUSS	GANG · SCHLUSS	1	PROC041	YES	YES
SEM041	CHD+Y	UMSETZEN · DIES	UMSETZEN · DIES	UMSETZEN · DIES	12	PROC042|PROC133	NO	NO
SEM042	TALAM	VERWAHREN	VERWAHREN	VERWAHREN	1	PROC043	NO	NO
SEM043	Y+K+AIIN	DIES · ZUGEBEN · MASS	DIES · ZUGEBEN · MASS	DIES · ZUDOSIEREN · MASS	1	PROC044	NO	YES
SEM044	CH+E+O+AR	ENTNEHMEN · KURZ · GANG · QUELLE	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	ABNEHMEN · KURZ · GANG · QUELLE	1	PROC045	YES	YES
SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	WAERMEN · LANG · DIES	WAERMEN · LANG · DIES	3	PROC046|PROC107	NO	NO
SEM046	OL+DY	FORTSETZEN · SCHLUSS	FORTSETZEN · SCHLUSS	FORTSETZEN · SCHLUSS	2	PROC047	NO	NO
