component	pass722_value_de	pass723_value_de	pass724_value_de	revision_wave	diagnostic_fragments	entry_kind
OK	ANSETZEN	ANSETZEN	ANSETZEN	UNCHANGED	ok	COMPOSABLE_WORK_COMPONENT
CHD	UMSETZEN	UMSETZEN	UMSETZEN	UNCHANGED	ch	COMPOSABLE_WORK_COMPONENT
SH	HALTEN	HALTEN	HALTEN	UNCHANGED	sh|ch|sch	COMPOSABLE_WORK_COMPONENT
SHED	ABSETZEN	ABSETZEN	ABSETZEN	UNCHANGED	she|chee|te|shed	COMPOSABLE_WORK_COMPONENT
CHK	WAERMEN	WAERMEN	WAERMEN	UNCHANGED	chk|ch	COMPOSABLE_WORK_COMPONENT
CTH	BEREIT	BEREIT	BEREITEN	SECOND_WAVE	cth	COMPOSABLE_WORK_COMPONENT
SOLK	AUFFANGEN	AUFFANGEN	AUFFANGEN	UNCHANGED	olk	COMPOSABLE_WORK_COMPONENT
P	EINFUELLEN	EINFUELLEN	EINFUELLEN	UNCHANGED	p	COMPOSABLE_WORK_COMPONENT
LSH	WASCHEN	WASCHEN	WASCHEN	UNCHANGED	lsh	COMPOSABLE_WORK_COMPONENT
CFH	AUSWRINGEN	AUSWRINGEN	AUSWRINGEN	UNCHANGED	cfh	COMPOSABLE_WORK_COMPONENT
CH	ABNEHMEN	ENTNEHMEN	ENTNEHMEN	FIRST_WAVE	ch	COMPOSABLE_WORK_COMPONENT
T	EINTRAGEN	ANWENDEN	ANWENDEN	FIRST_WAVE	t	COMPOSABLE_WORK_COMPONENT
K	ZUDOSIEREN	ZUGEBEN	ZUGEBEN	FIRST_WAVE	k	COMPOSABLE_WORK_COMPONENT
S	TEILEN	TEILEN	TEIL	SECOND_WAVE	s	COMPOSABLE_WORK_COMPONENT
L	WEITERLEITEN	WEITERLEITEN	WEITERLEITEN	UNCHANGED	l	COMPOSABLE_WORK_COMPONENT
OL	FORTSETZEN	FORTSETZEN	FORTSETZEN	UNCHANGED	ol|l	COMPOSABLE_WORK_COMPONENT
OT	DANACH	DANACH	DANACH	UNCHANGED	ot	COMPOSABLE_WORK_COMPONENT
AL	ZIEL	ZIEL	ZIEL	UNCHANGED	al	COMPOSABLE_WORK_COMPONENT
AR	QUELLE	QUELLE	QUELLE	UNCHANGED	ar	COMPOSABLE_WORK_COMPONENT
AIR	LAUF	LAUF	WASSER	SECOND_WAVE	air	COMPOSABLE_WORK_COMPONENT
OR	ANSATZ	ANSATZ	ANSATZ	UNCHANGED	or	COMPOSABLE_WORK_COMPONENT
HO	ZUTAT	ZUTAT	ZUTAT	UNCHANGED	ho	COMPOSABLE_WORK_COMPONENT
CKH	DURCHLASS	DURCHLASS	DURCHLASS	UNCHANGED	ckh	COMPOSABLE_WORK_COMPONENT
O	GANG	GANG	ARBEITSGANG	SECOND_WAVE	o	COMPOSABLE_WORK_COMPONENT
Y	DIES	DIES	DIES	UNCHANGED	y	COMPOSABLE_WORK_COMPONENT
AIN	PORTION	PORTION	PORTION	UNCHANGED	ain|an	COMPOSABLE_WORK_COMPONENT
AIIN	MASS	MASS	MASS	UNCHANGED	aiin	COMPOSABLE_WORK_COMPONENT
IIN	STUFE	STUFE	STUFE	UNCHANGED	iin	COMPOSABLE_WORK_COMPONENT
E	KURZ	KURZ	KURZ	UNCHANGED	e	COMPOSABLE_WORK_COMPONENT
EE	LANG	LANG	LANG	UNCHANGED	ee|e	COMPOSABLE_WORK_COMPONENT
EEE	VOLL	VOLL	VOLL	UNCHANGED	eee	COMPOSABLE_WORK_COMPONENT
R	KUEHLEN	KUEHLEN	KUEHLEN	UNCHANGED	r	COMPOSABLE_WORK_COMPONENT
AN	NACHGABE	NACHGABE	NACHGABE	UNCHANGED	an	COMPOSABLE_WORK_COMPONENT
DA	ZWEIT	ZWEIT	ZWEIT	UNCHANGED	da	COMPOSABLE_WORK_COMPONENT
LD	BEFESTIGEN	BEFESTIGEN	BEFESTIGEN	UNCHANGED	ld	COMPOSABLE_WORK_COMPONENT
DY	SCHLUSS	SCHLUSS	SCHLUSS	UNCHANGED	dy	COMPOSABLE_WORK_COMPONENT
OS	FACH	FACH	FACH	UNCHANGED	os	MEMORIZED_WHOLE_COMMAND
RESUME_CARD	WIEDERAUFNEHMEN	WIEDERAUFNEHMEN	WIEDERAUFNEHMEN	UNCHANGED	chol	MEMORIZED_WHOLE_COMMAND
TALAM	VERWAHREN	VERWAHREN	VERWAHREN	UNCHANGED	talam	MEMORIZED_WHOLE_COMMAND
