record	page	statements	second_wave_statements	continuous_pass724_reading_de	continuous_atomic_trace_de	form_status
H1	f10r	2	2	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Mass ansetzen und kurz anwenden. Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	ENTNEHMEN · KURZ · DIES | BEREITEN · ARBEITSGANG · ANSATZ | QUELLE | ANWENDEN · DIES | FACH | ENTNEHMEN · WASSER | DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN | ANSETZEN · DIES | MASS | KURZ · ANWENDEN · DIES || ANSETZEN · DIES | DANACH · ENTNEHMEN · FORTSETZEN | FORTSETZEN | BEREITEN · DIES	UNCHANGED
H2	f10r	3	2	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Mass weiterbearbeiten und als aktuellen Posten verfuegbar lassen. Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Mass aus der Quelle weiterfuehren. Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Mass entnehmen.	DIES · ENTNEHMEN · KURZ · ANSATZ | BEREITEN · DIES | ANSATZ | BEREITEN · MASS | ARBEITSGANG · BEREITEN · FORTSETZEN · DIES | DIES | DIES | MASS | DIES || DANACH · ENTNEHMEN · ANSATZ | ANSATZ | DANACH · FORTSETZEN | FORTSETZEN | FORTSETZEN · ANSATZ | FORTSETZEN | MASS | QUELLE || ARBEITSGANG · DIES · ZUGEBEN · ANSATZ | ANSATZ | ANSATZ | DIES | ZUGEBEN · STUFE | DIES | ENTNEHMEN · ARBEITSGANG · MASS	UNCHANGED
H3	f11r	4	3	Bei der dicht bluehenden Kronenpflanze: Den Ansatz am Ziel weiter halten; auswringen, bis zum Mass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen. Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und anwenden. Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Mass weiterfuehren. Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	ANWENDEN · HALTEN · FORTSETZEN | HALTEN · ARBEITSGANG · ZIEL | AUSWRINGEN · DIES | HALTEN · DIES · MASS | EINFUELLEN · DIES | HALTEN · LANG · DIES | ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS || HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES || WIEDERAUFNEHMEN | DIES | ZUGEBEN · DIES | DIES | MASS || DANACH · DIES | ANSETZEN · FORTSETZEN | BEREITEN · DIES | DIES	UNCHANGED
H4	f55v	4	2	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen. Bei der breitblaettrigen rispigen Pflanze: Nach Mass den laufenden Posten umsetzen und anschliessend verwahren. Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Mass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann fortsetzen; den Schritt schliessen. Bei der breitblaettrigen rispigen Pflanze: Nach Mass am Ziel ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.	ANSETZEN · MASS | MASS | DIES · ZUGEBEN · PORTION | DIES · ZUGEBEN · NACHGABE | ARBEITSGANG · SCHLUSS || MASS | UMSETZEN · DIES | VERWAHREN || DIES · ZUGEBEN · MASS | ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE | WAERMEN · LANG · DIES | FORTSETZEN · SCHLUSS || MASS | ANSETZEN · ZIEL | FORTSETZEN · ANWENDEN · DIES | ANSATZ | DIES | ANSATZ · PORTION	UNCHANGED
H5	f56r	6	3	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zum Ziel bringen und nach Mass weiter zugeben; danach vom Ansatz entnehmen und den Posten am Ziel ansetzen. Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen. Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen. Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zum Ziel zugeben. Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen. Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Mass erreicht ist.	ZUTAT · ENTNEHMEN · ANSATZ | ZUTAT | ZUTAT · ZIEL · DIES | MASS | ZUTAT | ZUGEBEN · FORTSETZEN | DANACH · ENTNEHMEN · ANSATZ | ANSETZEN · DIES | ZIEL || WIEDERAUFNEHMEN | ZUTAT · DIES | ANSETZEN · DIES | ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS || HALTEN | ZUTAT | ZUGEBEN · KURZ · DIES | ANSETZEN · ANSETZEN · DIES || ANSETZEN · DIES | ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG | ZUGEBEN · ZIEL || ZUTAT | ANSETZEN · DIES | ZUGEBEN · ZUTAT · QUELLE | DANACH · ARBEITSGANG · PORTION || DANACH · DIES | ZUGEBEN · KURZ · FORTSETZEN | MASS	UNCHANGED
B1	f81v	21	3	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zugeben. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen. Am gemeinsamen zweireihigen Becken: Fortsetzen; dann halten, zugeben und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann weiterleiten; dann zum Ziel kuehlen. Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen. Am gemeinsamen zweireihigen Becken: Den Arbeitsgang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und auffangen; zum Ziel weiterleiten und umsetzen, dort fortsetzen und danach zum Quelle wechseln. Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten anwenden; dann ansetzen und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Zum Ziel ansetzen; dann laenger den laufenden Posten ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Am Ziel kurz fortsetzen, umsetzen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten weiterleiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger auffangen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Das Ziel festlegen.	ANSETZEN · KURZ · SCHLUSS || ANSETZEN · MASS | ZUGEBEN · WASSER | ANSETZEN · ZIEL | QUELLE | FORTSETZEN | ZUGEBEN · PORTION | FORTSETZEN · ZUGEBEN · PORTION | ZIEL | FORTSETZEN | KUEHLEN · FORTSETZEN | WEITERLEITEN | FORTSETZEN · ANSATZ | FORTSETZEN | HALTEN · KURZ · DURCHLASS · ZIEL | MASS | ANSETZEN · LANG · ZIEL | MASS | DURCHLASS · DIES | UMSETZEN · SCHLUSS || FORTSETZEN | HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS || UMSETZEN · DIES | FORTSETZEN | ABSETZEN · SCHLUSS || FORTSETZEN · UMSETZEN · SCHLUSS || ANSETZEN · PORTION | DURCHLASS · DIES | WEITERLEITEN | KUEHLEN · ZIEL || ANSETZEN · UMSETZEN · SCHLUSS || DIES | FORTSETZEN | WAERMEN · KURZ · DIES | FORTSETZEN | ABSETZEN · SCHLUSS || ANSETZEN · KURZ · SCHLUSS || ANSETZEN · KURZ · SCHLUSS || DURCHLASS · DIES | ANSETZEN · DIES || WASCHEN · ARBEITSGANG | ANSETZEN · KURZ · DIES | WASCHEN · KURZ · SCHLUSS || WASCHEN · KURZ · SCHLUSS || UMSETZEN · DIES | AUFFANGEN · DIES | WEITERLEITEN · UMSETZEN · ZIEL | FORTSETZEN | DANACH · QUELLE || ANWENDEN · KURZ · DIES | ANSETZEN · UMSETZEN · SCHLUSS || ANSETZEN · ZIEL | ANSETZEN · LANG · DIES | FORTSETZEN | ABSETZEN · SCHLUSS || ZIEL | KURZ · FORTSETZEN | UMSETZEN · SCHLUSS || WEITERLEITEN · DIES | HALTEN · KURZ · FORTSETZEN | ARBEITSGANG · STUFE | AUFFANGEN · LANG · SCHLUSS || ABSETZEN · SCHLUSS || WAERMEN · KURZ · DIES | HALTEN · DURCHLASS · KURZ · SCHLUSS || ZIEL	UNCHANGED
B2	f82r	22	4	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen. An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen. An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen. An den oberen Paarbecken mit Zylinder: Am Ziel ansetzen; den Posten durch den Durchlass weiterleiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass weiterleiten und schliessen. An den oberen Paarbecken mit Zylinder: Den Posten am Ziel ansetzen und nach Mass auffangen. Ihn durch den Durchlass fuehren, zweimal nach Mass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen. An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zum Ziel ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen. An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Danach nach Mass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann fortsetzen; dann ihn laenger halten. An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen. An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten weiterleiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger weiterleiten; nach Mass beibehalten, vollstaendig ansetzen und schliessen. Am unteren gruenen Figurenbecken: Weiterleiten und umsetzen; den Schritt schliessen. Am unteren gruenen Figurenbecken: Aus der Quelle weiterleiten. An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: Am Ziel aus der Quelle weiterleiten und umsetzen. Kurz entnehmen und teilen; nach Mass den naechsten Posten laenger fuehren, nach Mass und kurz ansetzen, einfuellen, umsetzen und schliessen. An den Randstationen des unteren Beckens: Am Ziel kurz kuehlen und halten, dann den Zielschritt schliessen. An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen. An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen. An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: Im Arbeitsgang weiterleiten und umsetzen; den Schritt schliessen.	UMSETZEN · SCHLUSS || FORTSETZEN · UMSETZEN · SCHLUSS || ANSETZEN · PORTION | DIES | ANSETZEN · LANG · SCHLUSS || ANSETZEN · ZIEL | WEITERLEITEN · DURCHLASS · DIES | WEITERLEITEN · UMSETZEN | ANSETZEN · LANG · DIES | WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS || ANSETZEN · ZIEL · DIES | AUFFANGEN · MASS | DURCHLASS · DIES | ANSETZEN · MASS | ANSETZEN · MASS | ARBEITSGANG · BEREITEN · KURZ · FORTSETZEN | WAERMEN · LANG · DIES | WEITERLEITEN · SCHLUSS || DANACH · LANG · DIES | ANSETZEN · ZIEL | HALTEN · KURZ · DURCHLASS · DIES | ANSETZEN · DIES || HALTEN · KURZ · SCHLUSS || DANACH · MASS | ANSETZEN · QUELLE | ABSETZEN · SCHLUSS || FORTSETZEN · HALTEN · KURZ · SCHLUSS || ANSETZEN · LANG · DIES | ANSETZEN · DIES | FORTSETZEN | HALTEN · LANG · DIES || ANSETZEN · PORTION | QUELLE | ANSETZEN · PORTION | ANSETZEN · LANG · SCHLUSS || WEITERLEITEN · ENTNEHMEN · DIES | HALTEN · LANG · DIES | BEREITEN · KURZ · DIES | ANSETZEN · LANG · DIES | WEITERLEITEN · LANG · DIES | MASS | DIES | ANSETZEN · VOLL · SCHLUSS || WEITERLEITEN · UMSETZEN · SCHLUSS || WEITERLEITEN · QUELLE || HALTEN · KURZ · DIES | ANSETZEN · LANG · SCHLUSS || ZIEL | WEITERLEITEN · UMSETZEN · QUELLE | ENTNEHMEN · KURZ · TEIL | MASS | DANACH · LANG · DIES | ANSETZEN · MASS | ANSETZEN · KURZ · DIES | EINFUELLEN · UMSETZEN · SCHLUSS || KUEHLEN · HALTEN · KURZ · ZIEL | ZIEL · SCHLUSS || ANSETZEN · LANG · SCHLUSS || KUEHLEN · ABSETZEN · SCHLUSS || DANACH · LANG · SCHLUSS || ANSETZEN · LANG · SCHLUSS || WEITERLEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	UNCHANGED
B3	f83r	34	8	An der oberen offenen Faecherstation: Laenger auffangen und den Schritt schliessen. An der oberen offenen Faecherstation: Danach zum Ziel; dann laenger erwaermen; den Schritt schliessen. An der oberen offenen Faecherstation: Den laufenden Posten nach Mass beibehalten, anschliessend weiterleiten und umsetzen, dann schliessen. An der oberen offenen Faecherstation: Nach Mass ansetzen; danach zum Ziel wechseln und aus der Quelle weiterarbeiten. Am runden Mittelgefaess: Umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zum Ziel ansetzen; dann weiter umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Nach Mass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen. Am runden Mittelgefaess: Weiterleiten und umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Den laufenden Posten ansetzen. Am unteren Korbgefaess: Am Ziel einfuellen und umsetzen; danach den kurzen Folgeschritt schliessen. Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle. Am unteren Korbgefaess: Den Ansatz absetzen lassen und den Schritt schliessen. Am unteren Korbgefaess: Nach Mass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen. Am unteren Korbgefaess: Die laufende Fluessigkeit ansetzen; dann laenger halten; den Schritt schliessen. Am unteren Korbgefaess: Weiterleiten und umsetzen; den Schritt schliessen. Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang weiterleiten; dann ansetzen und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Absetzen lassen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Am Ziel weiterleiten, umsetzen und den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Nach Mass ansetzen und den Posten bereitet halten. Am Ziel nach Mass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, am Ziel erneut bereitet halten, umsetzen und schliessen. Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Weiterleiten und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Mass weiterleiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz am Ziel kuehlen, laenger auffangen und schliessen. Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Fortsetzen; dann vollstaendig den laufenden Posten anwenden; dann kurz ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Mass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen. Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Mass, anschliessend nochmals nach Mass und den folgenden Kurzschritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Weiterleiten; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und anwenden; danach nach Mass am Ziel weiterfuehren, absetzen und schliessen.	AUFFANGEN · LANG · SCHLUSS || DANACH · ZIEL | WAERMEN · LANG · SCHLUSS || DIES | MASS | DIES | WEITERLEITEN · UMSETZEN · SCHLUSS || ANSETZEN · MASS | DANACH · ZIEL | QUELLE || UMSETZEN · SCHLUSS || UMSETZEN · DIES | ANSETZEN · ZIEL | FORTSETZEN · UMSETZEN · SCHLUSS || ANSETZEN · MASS | UMSETZEN · DIES | ANSETZEN · LANG · SCHLUSS || WEITERLEITEN · UMSETZEN · SCHLUSS || ANSETZEN · DIES || EINFUELLEN · UMSETZEN · ZIEL | DANACH · KURZ · SCHLUSS || HALTEN · KURZ · BEREITEN · UMSETZEN · DIES | ANSETZEN · DIES | UMSETZEN · DIES | QUELLE · DIES || ANSATZ | ABSETZEN · SCHLUSS || ANSETZEN · MASS | ZUGEBEN · PORTION | BEREITEN · KURZ · DIES | ANSETZEN · KURZ · SCHLUSS || ANSETZEN · WASSER | HALTEN · LANG · SCHLUSS || WEITERLEITEN · UMSETZEN · SCHLUSS || WEITERLEITEN · ARBEITSGANG | ANSETZEN · UMSETZEN · SCHLUSS || ANSETZEN · LANG · SCHLUSS || ABSETZEN · SCHLUSS || ANSETZEN · HALTEN · KURZ · SCHLUSS || ZIEL | WEITERLEITEN · UMSETZEN · SCHLUSS || ANSETZEN · MASS | BEREITEN · DIES | ZIEL | DIES | MASS | ABSETZEN · ZIEL | HALTEN · KURZ · BEREITEN · DIES | DIES | ZIEL | BEREITEN · DIES | ZIEL · UMSETZEN · SCHLUSS || DANACH · UMSETZEN · SCHLUSS || WEITERLEITEN · UMSETZEN · SCHLUSS || UMSETZEN · SCHLUSS || ANSETZEN · UMSETZEN · SCHLUSS || LANG · QUELLE | WEITERLEITEN · MASS | UMSETZEN · DIES | ANSETZEN · PORTION | BEREITEN · DIES | ZIEL · KUEHLEN · ANSATZ | AUFFANGEN · LANG · SCHLUSS || DANACH · LANG · SCHLUSS || ANSETZEN · LANG · DIES | ANSETZEN · KURZ · SCHLUSS || FORTSETZEN | VOLL · ANWENDEN · DIES | ANSETZEN · KURZ · SCHLUSS || ANSETZEN · DIES | MASS | UMSETZEN · WASSER | DANACH · UMSETZEN · SCHLUSS || ANSETZEN · LANG · SCHLUSS || UMSETZEN · PORTION | UMSETZEN · DIES | DANACH · KURZ · MASS | DANACH · MASS | DANACH · KURZ · SCHLUSS || WEITERLEITEN · SCHLUSS || ARBEITSGANG · STUFE | BEREITEN · DIES | ANWENDEN · DIES | DANACH · MASS | FORTSETZEN · ZIEL · DIES | ABSETZEN · SCHLUSS	UNCHANGED
B4	f83r	16	1	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten fortsetzen; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zum Ziel und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, fortsetzen, absetzen und schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Mass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Absetzen lassen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Fortsetzen; den Schritt schliessen. An der linken offenen Randstation: Nach Mass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, fortsetzen, kurz weiterleiten und zugeben, dann schliessen. An der linken offenen Randstation: Weiterleiten und umsetzen; den Schritt schliessen. An der linken offenen Randstation: Weiter ansetzen; dann absetzen lassen; den Schritt schliessen. An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen. An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass am Ziel entnehmen, kurz auffangen, weiterleiten, umsetzen und schliessen. An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, am Ziel aus der Quelle nachzugeben, absetzen lassen und schliessen.	ANSETZEN · LANG · SCHLUSS || FORTSETZEN · DIES | ANSETZEN · LANG · DIES | ANSETZEN · KURZ · SCHLUSS || UMSETZEN · DIES | DANACH · ZIEL | DANACH · DIES | ANSETZEN · LANG · DIES | ANSETZEN · DIES | FORTSETZEN | ABSETZEN · SCHLUSS || ANSETZEN · DIES · BEFESTIGEN · SCHLUSS || PORTION | UMSETZEN · DIES | ANSETZEN · LANG · SCHLUSS || HALTEN · DURCHLASS · KURZ · SCHLUSS || HALTEN · DURCHLASS · KURZ · SCHLUSS || MASS | WAERMEN · LANG · DIES | HALTEN · LANG · DIES | ANSETZEN · KURZ · SCHLUSS || ABSETZEN · SCHLUSS || FORTSETZEN · SCHLUSS || MASS | WAERMEN · KURZ · DIES | ANSETZEN · LANG · FORTSETZEN | ANSETZEN · PORTION | UMSETZEN · DIES | FORTSETZEN | WEITERLEITEN · ZUGEBEN · KURZ · SCHLUSS || WEITERLEITEN · UMSETZEN · SCHLUSS || ANSETZEN · FORTSETZEN | ABSETZEN · SCHLUSS || ANSATZ | DIES | ARBEITSGANG · DURCHLASS · KURZ · DIES | WASSER · DIES · SCHLUSS || ANSETZEN · PORTION | HALTEN · LANG · DIES | ZUGEBEN · PORTION | ENTNEHMEN · DURCHLASS · ZIEL | AUFFANGEN · KURZ · DIES | WEITERLEITEN · UMSETZEN · SCHLUSS || FORTSETZEN · ZUGEBEN · PORTION | ZIEL | ZUGEBEN · QUELLE | ABSETZEN · SCHLUSS	UNCHANGED
B5	f83r	3	0	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen. An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen. An der linken offenen Nebenstation: Am Ziel absetzen und dort weiterarbeiten; weiterleiten und fortsetzen, am Ziel umsetzen, nach Mass fortsetzen, fuer den zweiten Durchgang bis zur Stufe fuehren und den Posten umsetzen.	DANACH · UMSETZEN · SCHLUSS || ANSETZEN · UMSETZEN · SCHLUSS || ABSETZEN · ZIEL | ZIEL | FORTSETZEN | WEITERLEITEN · FORTSETZEN | UMSETZEN · ZIEL | MASS | FORTSETZEN | ZWEIT · STUFE | UMSETZEN · DIES	UNCHANGED
