exact_card_id	semantic_family	component_recipe	pass723_reading_de	pass724_reading_de	registered_surfaces	events	second_wave_revision
PROC001	SEM001	CH+E+Y	ENTNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · DIES	dchey	1	NO
PROC002	SEM002	CTH+O+OR	BEREIT · GANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	cthoor	1	YES
PROC003	SEM003	AR	QUELLE	QUELLE	char|dar|sar	5	NO
PROC004	SEM004	T+Y	ANWENDEN · DIES	ANWENDEN · DIES	chety|chty	2	NO
PROC005	SEM005	OS	FACH	FACH	os	1	NO
PROC006	SEM006	CH+AIR	ENTNEHMEN · LAUF	ENTNEHMEN · WASSER	chair	1	YES
PROC007	SEM007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN	DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN	otytchol	1	NO
PROC008	SEM008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	choky|oky|qoky	10	NO
PROC011	SEM008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	chokchy|okchy|qokchy	3	NO
PROC009	SEM009	AIIN	MASS	MASS	aiin|chaiin|daiin|saiin|taiin	20	NO
PROC010	SEM010	E+T+Y	KURZ · ANWENDEN · DIES	KURZ · ANWENDEN · DIES	etyd	1	NO
PROC012	SEM011	OT+CH+OL	DANACH · ENTNEHMEN · FORTSETZEN	DANACH · ENTNEHMEN · FORTSETZEN	qotchol	1	NO
PROC013	SEM012	OL	FORTSETZEN	FORTSETZEN	cheol|chol|ol|qol|sol|tol	19	NO
PROC115	SEM012	OL	FORTSETZEN	FORTSETZEN	ls	1	NO
PROC014	SEM013	CTH+Y	BEREIT · DIES	BEREITEN · DIES	checthy|cthy|shcthy	7	YES
PROC015	SEM014	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	ycheor	1	NO
PROC016	SEM015	OR	ANSATZ	ANSATZ	chor|or|shor|sor	7	NO
PROC017	SEM016	CTH+AIIN	BEREIT · MASS	BEREITEN · MASS	cthaiin	1	YES
PROC018	SEM017	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	ARBEITSGANG · BEREITEN · FORTSETZEN · DIES	qoctholy	1	YES
PROC019	SEM018	Y	DIES	DIES	chey|chy|dy|shy|sy|y	18	NO
PROC020	SEM019	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	DANACH · ENTNEHMEN · ANSATZ	otchor|qotchor	2	NO
PROC021	SEM020	OT+OL	DANACH · FORTSETZEN	DANACH · FORTSETZEN	otol	1	NO
PROC022	SEM021	OL+OR	FORTSETZEN · ANSATZ	FORTSETZEN · ANSATZ	cholor|olor	2	NO
PROC023	SEM022	O+Y+K+OR	GANG · DIES · ZUGEBEN · ANSATZ	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	oykchor	1	YES
PROC024	SEM023	K+IIN	ZUGEBEN · STUFE	ZUGEBEN · STUFE	kaiiin	1	NO
PROC025	SEM024	CH+O+AIIN	ENTNEHMEN · GANG · MASS	ENTNEHMEN · ARBEITSGANG · MASS	chodaiin	1	YES
PROC026	SEM025	T+SH+OL	ANWENDEN · HALTEN · FORTSETZEN	ANWENDEN · HALTEN · FORTSETZEN	tshol	1	NO
PROC027	SEM026	SH+O+AL	HALTEN · GANG · ZIEL	HALTEN · ARBEITSGANG · ZIEL	schoal	1	YES
PROC028	SEM027	CFH+Y	AUSWRINGEN · DIES	AUSWRINGEN · DIES	cfhy	1	NO
PROC029	SEM028	SH+Y+AIIN	HALTEN · DIES · MASS	HALTEN · DIES · MASS	shfydaiin	1	NO
PROC030	SEM029	P+Y	EINFUELLEN · DIES	EINFUELLEN · DIES	cphy	1	NO
PROC031	SEM030	SH+EE+Y	HALTEN · LANG · DIES	HALTEN · LANG · DIES	cheey|shey	4	NO
PROC157	SEM030	SH+EE+Y	HALTEN · LANG · DIES	HALTEN · LANG · DIES	sheey	1	NO
PROC032	SEM031	T+CH+O+DY	ANWENDEN · ENTNEHMEN · GANG · SCHLUSS	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	tchody	1	YES
PROC033	SEM032	SH+O+Y+T+Y	HALTEN · GANG · DIES · ANWENDEN · DIES	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	shoyty	1	YES
PROC034	SEM033	RESUME_CARD	WIEDERAUFNEHMEN	WIEDERAUFNEHMEN	dchol|schol	2	NO
PROC035	SEM034	K+Y	ZUGEBEN · DIES	ZUGEBEN · DIES	kchy	1	NO
PROC036	SEM035	OT+Y	DANACH · DIES	DANACH · DIES	qotchy	1	NO
PROC065	SEM035	OT+Y	DANACH · DIES	DANACH · DIES	otchey	2	NO
PROC037	SEM036	OK+OL	ANSETZEN · FORTSETZEN	ANSETZEN · FORTSETZEN	okchol	1	NO
PROC160	SEM036	OK+OL	ANSETZEN · FORTSETZEN	ANSETZEN · FORTSETZEN	qokol	1	NO
PROC038	SEM037	OK+AIIN	ANSETZEN · MASS	ANSETZEN · MASS	okaiin|qokaiin	9	NO
PROC039	SEM038	Y+K+AIN	DIES · ZUGEBEN · PORTION	DIES · ZUGEBEN · PORTION	ykain	1	NO
PROC040	SEM039	Y+K+AN	DIES · ZUGEBEN · NACHGABE	DIES · ZUGEBEN · NACHGABE	ykan	1	NO
PROC041	SEM040	O+DY	GANG · SCHLUSS	ARBEITSGANG · SCHLUSS	ody	1	YES
PROC042	SEM041	CHD+Y	UMSETZEN · DIES	UMSETZEN · DIES	chdy|chedy	11	NO
PROC133	SEM041	CHD+Y	UMSETZEN · DIES	UMSETZEN · DIES	chedchy	1	NO
PROC043	SEM042	TALAM	VERWAHREN	VERWAHREN	talam	1	NO
PROC044	SEM043	Y+K+AIIN	DIES · ZUGEBEN · MASS	DIES · ZUGEBEN · MASS	ykaiin	1	NO
PROC045	SEM044	CH+E+O+AR	ENTNEHMEN · KURZ · GANG · QUELLE	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	cheoar	1	YES
PROC046	SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	WAERMEN · LANG · DIES	cheeky	2	NO
PROC107	SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	WAERMEN · LANG · DIES	chkeey	1	NO
PROC047	SEM046	OL+DY	FORTSETZEN · SCHLUSS	FORTSETZEN · SCHLUSS	oldy	2	NO
PROC048	SEM047	OK+AL	ANSETZEN · ZIEL	ANSETZEN · ZIEL	okal|qokal	6	NO
PROC049	SEM048	OL+T+Y	FORTSETZEN · ANWENDEN · DIES	FORTSETZEN · ANWENDEN · DIES	oltchy	1	NO
PROC050	SEM049	OR+AIN	ANSATZ · PORTION	ANSATZ · PORTION	orain	1	NO
PROC051	SEM050	HO+CH+OR	ZUTAT · ENTNEHMEN · ANSATZ	ZUTAT · ENTNEHMEN · ANSATZ	chochor	1	NO
PROC052	SEM051	HO	ZUTAT	ZUTAT	cho|sho	4	NO
PROC053	SEM052	HO+AL+Y	ZUTAT · ZIEL · DIES	ZUTAT · ZIEL · DIES	chodaly	1	NO
PROC054	SEM053	K+OL	ZUGEBEN · FORTSETZEN	ZUGEBEN · FORTSETZEN	kchol	1	NO
PROC055	SEM054	AL	ZIEL	ZIEL	al|chal|cheal|dal|sal|tal	10	NO
PROC056	SEM055	HO+Y	ZUTAT · DIES	ZUTAT · DIES	choy	1	NO
PROC057	SEM056	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	cheeckhody	1	YES
PROC058	SEM057	SH	HALTEN	HALTEN	sh	1	NO
PROC059	SEM058	K+E+Y	ZUGEBEN · KURZ · DIES	ZUGEBEN · KURZ · DIES	kchey	1	NO
PROC060	SEM059	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	ANSETZEN · ANSETZEN · DIES	qokokchy	1	NO
PROC061	SEM060	OK+CH+E+O	ANSETZEN · ENTNEHMEN · KURZ · GANG	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	chokcheo	1	YES
PROC062	SEM061	K+AL	ZUGEBEN · ZIEL	ZUGEBEN · ZIEL	kchal	1	NO
PROC063	SEM062	K+HO+AR	ZUGEBEN · ZUTAT · QUELLE	ZUGEBEN · ZUTAT · QUELLE	kchoar	1	NO
PROC064	SEM063	OT+O+AIN	DANACH · GANG · PORTION	DANACH · ARBEITSGANG · PORTION	sotodan	1	YES
PROC066	SEM064	K+E+OL	ZUGEBEN · KURZ · FORTSETZEN	ZUGEBEN · KURZ · FORTSETZEN	keol	1	NO
PROC067	SEM065	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	ANSETZEN · KURZ · SCHLUSS	qokedy	8	NO
PROC068	SEM066	K+AIR	ZUGEBEN · LAUF	ZUGEBEN · WASSER	kair	1	YES
PROC069	SEM067	K+AIN	ZUGEBEN · PORTION	ZUGEBEN · PORTION	chkain|kain	3	NO
PROC070	SEM068	OL+K+AIN	FORTSETZEN · ZUGEBEN · PORTION	FORTSETZEN · ZUGEBEN · PORTION	olkain|qolkain	2	NO
PROC071	SEM069	R+OL	KUEHLEN · FORTSETZEN	KUEHLEN · FORTSETZEN	rol	1	NO
PROC072	SEM070	L	WEITERLEITEN	WEITERLEITEN	dl	2	NO
PROC073	SEM071	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	HALTEN · KURZ · DURCHLASS · ZIEL	sheckhal	1	NO
PROC074	SEM072	OK+EE+AL	ANSETZEN · LANG · ZIEL	ANSETZEN · LANG · ZIEL	qokeedal	1	NO
PROC075	SEM073	CKH+Y	DURCHLASS · DIES	DURCHLASS · DIES	chckhy|shckhy	4	NO
PROC076	SEM074	CHD+DY	UMSETZEN · SCHLUSS	UMSETZEN · SCHLUSS	dchedy|schedy|tchedy	4	NO
PROC094	SEM074	CHD+DY	UMSETZEN · SCHLUSS	UMSETZEN · SCHLUSS	dchdy	1	NO
PROC077	SEM075	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	sshkchdy	1	NO
PROC078	SEM076	SHED+DY	ABSETZEN · SCHLUSS	ABSETZEN · SCHLUSS	cheedy|shedy|tedy	12	NO
PROC079	SEM077	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	FORTSETZEN · UMSETZEN · SCHLUSS	olchedy|qolchedy	3	NO
PROC080	SEM078	OK+AIN	ANSETZEN · PORTION	ANSETZEN · PORTION	okain|qokain	7	NO
PROC081	SEM079	R+AL	KUEHLEN · ZIEL	KUEHLEN · ZIEL	ral	1	NO
PROC082	SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ANSETZEN · UMSETZEN · SCHLUSS	qokchdy	3	NO
PROC091	SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ANSETZEN · UMSETZEN · SCHLUSS	okchedy|qokchedy	2	NO
PROC083	SEM081	CHK+E+Y	WAERMEN · KURZ · DIES	WAERMEN · KURZ · DIES	cheky	3	NO
PROC084	SEM082	LSH+O	WASCHEN · GANG	WASCHEN · ARBEITSGANG	lsho	1	YES
PROC085	SEM083	OK+E+Y	ANSETZEN · KURZ · DIES	ANSETZEN · KURZ · DIES	okey|qokey	2	NO
PROC086	SEM084	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	WASCHEN · KURZ · SCHLUSS	lshedy	2	NO
PROC087	SEM085	SOLK+Y	AUFFANGEN · DIES	AUFFANGEN · DIES	qolky	1	NO
PROC088	SEM086	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	WEITERLEITEN · UMSETZEN · ZIEL	lchedal	1	NO
PROC089	SEM087	OT+AR	DANACH · QUELLE	DANACH · QUELLE	otar	1	NO
PROC090	SEM088	T+E+Y	ANWENDEN · KURZ · DIES	ANWENDEN · KURZ · DIES	ytey	1	NO
PROC092	SEM089	OK+EE+Y	ANSETZEN · LANG · DIES	ANSETZEN · LANG · DIES	okeey|qokeey	7	NO
PROC093	SEM090	E+OL	KURZ · FORTSETZEN	KURZ · FORTSETZEN	teol	1	NO
PROC095	SEM091	L+Y	WEITERLEITEN · DIES	WEITERLEITEN · DIES	ly	1	NO
PROC096	SEM092	SH+E+OL	HALTEN · KURZ · FORTSETZEN	HALTEN · KURZ · FORTSETZEN	dsheol	1	NO
PROC097	SEM093	O+IIN	GANG · STUFE	ARBEITSGANG · STUFE	oiiin|soiiin	2	YES
PROC098	SEM094	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	AUFFANGEN · LANG · SCHLUSS	olkeedy|solkeedy	3	NO
PROC099	SEM095	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	HALTEN · DURCHLASS · KURZ · SCHLUSS	shckhedy	3	NO
PROC100	SEM096	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	ANSETZEN · LANG · SCHLUSS	qokeedy	10	NO
PROC101	SEM097	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	WEITERLEITEN · DURCHLASS · DIES	lcheckhy	1	NO
PROC102	SEM098	L+CHD	WEITERLEITEN · UMSETZEN	WEITERLEITEN · UMSETZEN	lched	1	NO
PROC103	SEM099	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	lcheckhedy	1	NO
PROC104	SEM100	OK+AL+Y	ANSETZEN · ZIEL · DIES	ANSETZEN · ZIEL · DIES	qokaly	1	NO
PROC105	SEM101	SOLK+AIIN	AUFFANGEN · MASS	AUFFANGEN · MASS	solkaiin	1	NO
PROC106	SEM102	O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	ARBEITSGANG · BEREITEN · KURZ · FORTSETZEN	octheol	1	YES
PROC108	SEM103	L+DY	WEITERLEITEN · SCHLUSS	WEITERLEITEN · SCHLUSS	ldy	2	NO
PROC109	SEM104	OT+EE+Y	DANACH · LANG · DIES	DANACH · LANG · DIES	oteey	2	NO
PROC110	SEM105	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	HALTEN · KURZ · DURCHLASS · DIES	sheckhy	1	NO
PROC111	SEM106	SH+E+DY	HALTEN · KURZ · SCHLUSS	HALTEN · KURZ · SCHLUSS	dshedy	1	NO
PROC112	SEM107	OT+AIIN	DANACH · MASS	DANACH · MASS	otaiin|sotaiin	3	NO
PROC113	SEM108	OK+AR	ANSETZEN · QUELLE	ANSETZEN · QUELLE	qokar	1	NO
PROC114	SEM109	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	FORTSETZEN · HALTEN · KURZ · SCHLUSS	solshedy	1	NO
PROC116	SEM110	L+CH+Y	WEITERLEITEN · ENTNEHMEN · DIES	WEITERLEITEN · ENTNEHMEN · DIES	lchy	1	NO
PROC117	SEM111	CTH+E+Y	BEREIT · KURZ · DIES	BEREITEN · KURZ · DIES	qcthey|shcthey	2	YES
PROC118	SEM112	L+EE+Y	WEITERLEITEN · LANG · DIES	WEITERLEITEN · LANG · DIES	lcheey	1	NO
PROC119	SEM113	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	ANSETZEN · VOLL · SCHLUSS	qokeeedy	1	NO
PROC120	SEM114	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	WEITERLEITEN · UMSETZEN · SCHLUSS	lchedy	8	NO
PROC121	SEM115	L+AR	WEITERLEITEN · QUELLE	WEITERLEITEN · QUELLE	lar	1	NO
PROC122	SEM116	SH+E+Y	HALTEN · KURZ · DIES	HALTEN · KURZ · DIES	tshey	1	NO
PROC123	SEM117	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	WEITERLEITEN · UMSETZEN · QUELLE	lchedar	1	NO
PROC124	SEM118	CH+E+S	ENTNEHMEN · KURZ · TEILEN	ENTNEHMEN · KURZ · TEIL	ches	1	YES
PROC125	SEM119	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	EINFUELLEN · UMSETZEN · SCHLUSS	pchedy	1	NO
PROC126	SEM120	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	KUEHLEN · HALTEN · KURZ · ZIEL	rsheal	1	NO
PROC127	SEM121	AL+DY	ZIEL · SCHLUSS	ZIEL · SCHLUSS	daldy	1	NO
PROC128	SEM122	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	KUEHLEN · ABSETZEN · SCHLUSS	rshedy	1	NO
PROC129	SEM123	OT+EE+DY	DANACH · LANG · SCHLUSS	DANACH · LANG · SCHLUSS	qoteedy	2	NO
PROC130	SEM124	L+O+CHD+DY	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	WEITERLEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	lochedy	1	YES
PROC131	SEM125	OT+AL	DANACH · ZIEL	DANACH · ZIEL	otal|qotal	3	NO
PROC132	SEM126	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	WAERMEN · LANG · SCHLUSS	chkeedy	1	NO
PROC134	SEM127	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	EINFUELLEN · UMSETZEN · ZIEL	pchedal	1	NO
PROC135	SEM128	OT+E+DY	DANACH · KURZ · SCHLUSS	DANACH · KURZ · SCHLUSS	otedy	2	NO
PROC136	SEM129	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES	shecthedchy	1	YES
PROC137	SEM130	AR+Y	QUELLE · DIES	QUELLE · DIES	chary	1	NO
PROC138	SEM131	OK+AIR	ANSETZEN · LAUF	ANSETZEN · WASSER	okair	1	YES
PROC139	SEM132	SH+EE+DY	HALTEN · LANG · SCHLUSS	HALTEN · LANG · SCHLUSS	sheedy	1	NO
PROC140	SEM133	L+O	WEITERLEITEN · GANG	WEITERLEITEN · ARBEITSGANG	lo	1	YES
PROC141	SEM134	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	ANSETZEN · HALTEN · KURZ · SCHLUSS	qokshedy	1	NO
PROC142	SEM135	SHED+AL	ABSETZEN · ZIEL	ABSETZEN · ZIEL	shedal	2	NO
PROC143	SEM136	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	HALTEN · KURZ · BEREITEN · DIES	shecthy	1	YES
PROC144	SEM137	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	ZIEL · UMSETZEN · SCHLUSS	dalchdy	1	NO
PROC145	SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	DANACH · UMSETZEN · SCHLUSS	otchedy|qotchedy	2	NO
PROC166	SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	DANACH · UMSETZEN · SCHLUSS	otchdy	1	NO
PROC146	SEM139	EE+AR	LANG · QUELLE	LANG · QUELLE	cheedar	1	NO
PROC147	SEM140	L+AIIN	WEITERLEITEN · MASS	WEITERLEITEN · MASS	chldaiin	1	NO
PROC148	SEM141	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	ZIEL · KUEHLEN · ANSATZ	chealror	1	NO
PROC149	SEM142	EEE+T+Y	VOLL · ANWENDEN · DIES	VOLL · ANWENDEN · DIES	cheeety	1	NO
PROC150	SEM143	CHD+AIR	UMSETZEN · LAUF	UMSETZEN · WASSER	schedair	1	YES
PROC151	SEM144	CHD+AIN	UMSETZEN · PORTION	UMSETZEN · PORTION	chedain	1	NO
PROC152	SEM145	OT+E+AIIN	DANACH · KURZ · MASS	DANACH · KURZ · MASS	qotedaiin	1	NO
PROC153	SEM146	OL+AL+Y	FORTSETZEN · ZIEL · DIES	FORTSETZEN · ZIEL · DIES	olsaly	1	NO
PROC154	SEM147	OL+Y	FORTSETZEN · DIES	FORTSETZEN · DIES	qolchey	1	NO
PROC155	SEM148	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	qokylddy	1	NO
PROC156	SEM149	AIN	PORTION	PORTION	dain	2	NO
PROC158	SEM150	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	ANSETZEN · LANG · FORTSETZEN	okeeol	1	NO
PROC159	SEM151	L+K+E+DY	WEITERLEITEN · ZUGEBEN · KURZ · SCHLUSS	WEITERLEITEN · ZUGEBEN · KURZ · SCHLUSS	lkedy	1	NO
PROC161	SEM152	O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	ARBEITSGANG · DURCHLASS · KURZ · DIES	qockhey	1	YES
PROC162	SEM153	AIR+Y+DY	LAUF · DIES · SCHLUSS	WASSER · DIES · SCHLUSS	dairydy	1	YES
PROC163	SEM154	CH+CKH+AL	ENTNEHMEN · DURCHLASS · ZIEL	ENTNEHMEN · DURCHLASS · ZIEL	chckhal	1	NO
PROC164	SEM155	SOLK+E+Y	AUFFANGEN · KURZ · DIES	AUFFANGEN · KURZ · DIES	solkey	1	NO
PROC165	SEM156	K+AR	ZUGEBEN · QUELLE	ZUGEBEN · QUELLE	skar	1	NO
PROC167	SEM157	L+OL	WEITERLEITEN · FORTSETZEN	WEITERLEITEN · FORTSETZEN	lol	1	NO
PROC168	SEM158	CHD+AL	UMSETZEN · ZIEL	UMSETZEN · ZIEL	chdal	1	NO
PROC169	SEM159	DA+IIN	ZWEIT · STUFE	ZWEIT · STUFE	daiiin	1	NO
PROC170	SEM160	SOLK+EE+Y	AUFFANGEN · LANG · DIES	AUFFANGEN · LANG · DIES	solkeey	1	NO
PROC171	SEM161	E+K+E+Y	KURZ · ZUGEBEN · KURZ · DIES	KURZ · ZUGEBEN · KURZ · DIES	qekey	1	NO
PROC172	SEM162	R+AL+Y	KUEHLEN · ZIEL · DIES	KUEHLEN · ZIEL · DIES	raly	1	NO
PROC173	SEM163	L+AL+OR	WEITERLEITEN · ZIEL · ANSATZ	WEITERLEITEN · ZIEL · ANSATZ	ldalor	1	NO
