event_id	page	record	statement_id	locus	owner_de	card_no	component_recipe	pass723_semantic_de	pass724_semantic_de	observed_surface	second_wave_revision	surface_unchanged	owner_unchanged	boundary_unchanged
E001	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC001	CH+E+Y	ENTNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · DIES	dchey	NO	YES	YES	YES
E002	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC002	CTH+O+OR	BEREIT · GANG · ANSATZ	BEREITEN · ARBEITSGANG · ANSATZ	cthoor	YES	YES	YES	YES
E003	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC003	AR	QUELLE	QUELLE	char	NO	YES	YES	YES
E004	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC004	T+Y	ANWENDEN · DIES	ANWENDEN · DIES	chty	NO	YES	YES	YES
E005	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC005	OS	FACH	FACH	os	NO	YES	YES	YES
E006	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC006	CH+AIR	ENTNEHMEN · LAUF	ENTNEHMEN · WASSER	chair	YES	YES	YES	YES
E007	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN	DANACH · DIES · ANWENDEN · ENTNEHMEN · FORTSETZEN	otytchol	NO	YES	YES	YES
E008	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC008	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	oky	NO	YES	YES	YES
E009	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC009	AIIN	MASS	MASS	daiin	NO	YES	YES	YES
E010	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	PROC010	E+T+Y	KURZ · ANWENDEN · DIES	KURZ · ANWENDEN · DIES	etyd	NO	YES	YES	YES
E011	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	PROC011	OK+Y	ANSETZEN · DIES	ANSETZEN · DIES	qokchy	NO	YES	YES	YES
E012	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	PROC012	OT+CH+OL	DANACH · ENTNEHMEN · FORTSETZEN	DANACH · ENTNEHMEN · FORTSETZEN	qotchol	NO	YES	YES	YES
E013	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	PROC013	OL	FORTSETZEN	FORTSETZEN	chol	NO	YES	YES	YES
E014	f10r	H1	H1-S002	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	PROC014	CTH+Y	BEREIT · DIES	BEREITEN · DIES	cthy	YES	YES	YES	YES
E015	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC015	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	DIES · ENTNEHMEN · KURZ · ANSATZ	ycheor	NO	YES	YES	YES
E016	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC014	CTH+Y	BEREIT · DIES	BEREITEN · DIES	cthy	YES	YES	YES	YES
E017	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC016	OR	ANSATZ	ANSATZ	chor	NO	YES	YES	YES
E018	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC017	CTH+AIIN	BEREIT · MASS	BEREITEN · MASS	cthaiin	YES	YES	YES	YES
E019	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC018	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	ARBEITSGANG · BEREITEN · FORTSETZEN · DIES	qoctholy	YES	YES	YES	YES
E020	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC019	Y	DIES	DIES	dy	NO	YES	YES	YES
E021	f10r	H2	H2-S001	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	PROC019	Y	DIES	DIES	chy	NO	YES	YES	YES
