event_id	page	record	statement_id	surface	card_no	component_parse	spoken_component_sequence_de	compact_statement_de	silent_owner_de	owner_is_separate_from_spoken_dictionary	complete	synonym_revision
E001	f10r	H1	H1-S001	dchey	PROC001	CH+E+Y	ziehe ab · kurz · dies	dies kurz abnehmen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E002	f10r	H1	H1-S001	cthoor	PROC002	CTH+O+OR	bereit · Gang · Ansatz	dies kurz abnehmen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E003	f10r	H1	H1-S001	char	PROC003	AR	davon	dies kurz abnehmen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E004	f10r	H1	H1-S001	chty	PROC004	T+Y	trage ein · dies	dies kurz abnehmen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E005	f10r	H1	H1-S001	os	PROC005	OS	Fach	dies kurz abnehmen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E006	f10r	H1	H1-S001	chair	PROC006	CH+AIR	ziehe ab · Lauf	dies kurz abnehmen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E007	f10r	H1	H1-S001	otytchol	PROC007	OT+Y+T+CH+OL	danach · dies · trage ein · ziehe ab · fort	dies kurz abnehmen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	LS_AND_OL_SHARE_FORT
E008	f10r	H1	H1-S001	oky	PROC008	OK+Y	setze an · dies	dies kurz abnehmen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E009	f10r	H1	H1-S001	daiin	PROC009	AIIN	Maß	dies kurz abnehmen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E010	f10r	H1	H1-S001	etyd	PROC010	E+T+Y	kurz · trage ein · dies	dies kurz abnehmen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E011	f10r	H1	H1-S002	qokchy	PROC011	OK+Y	setze an · dies	dies einsetzen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E012	f10r	H1	H1-S002	qotchol	PROC012	OT+CH+OL	danach · ziehe ab · fort	dies einsetzen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	LS_AND_OL_SHARE_FORT
E013	f10r	H1	H1-S002	chol	PROC013	OL	fort	dies einsetzen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	LS_AND_OL_SHARE_FORT
E014	f10r	H1	H1-S002	cthy	PROC014	CTH+Y	bereit · dies	dies einsetzen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E015	f10r	H2	H2-S001	ycheor	PROC015	Y+CH+E+OR	dies · ziehe ab · kurz · Ansatz	dies kurz abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E016	f10r	H2	H2-S001	cthy	PROC014	CTH+Y	bereit · dies	dies kurz abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E017	f10r	H2	H2-S001	chor	PROC016	OR	Ansatz	dies kurz abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E018	f10r	H2	H2-S001	cthaiin	PROC017	CTH+AIIN	bereit · Maß	dies kurz abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E019	f10r	H2	H2-S001	qoctholy	PROC018	O+CTH+OL+Y	Gang · bereit · fort · dies	dies kurz abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	LS_AND_OL_SHARE_FORT
E020	f10r	H2	H2-S001	dy	PROC019	Y	dies	dies kurz abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E021	f10r	H2	H2-S001	chy	PROC019	Y	dies	dies kurz abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E022	f10r	H2	H2-S001	taiin	PROC009	AIIN	Maß	dies kurz abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
E023	f10r	H2	H2-S001	shy	PROC019	Y	dies	dies kurz abziehen	abgebildete breit gezähnte radialblütige Pflanze	YES	YES	NONE
