component	workshop_class	short_spoken_value_de	expanded_meaning_de	grammar_contribution_de	card_types	events	learning_status	visible_owner_spoken_here	observed_component_tokens_in_381_events
AIIN	ADDRESS_OR_CONTENT	Maß	vorgeschriebenes Maß	liefert das Sollmaß	10	39	RECURRENT_CORE	NO	39
AIN	ADDRESS_OR_CONTENT	Teil	Portion	liefert eine abgeteilte Menge	9	19	RECURRENT_CORE	NO	19
AIR	ADDRESS_OR_CONTENT	Lauf	laufender Bestand	liefert Lauf oder strömendes Medium	5	5	RECURRENT_CORE	NO	5
AL	ADDRESS_OR_CONTENT	dorthin	bezeichnete Stelle	liefert das Ziel	22	39	RECURRENT_CORE	NO	39
AR	ADDRESS_OR_CONTENT	davon	von dort	liefert die Quelle	10	14	RECURRENT_CORE	NO	14
CFH	ACTION	wringe aus	auswringen	führt Auswringen aus	1	1	RARE_SPECIALIST	NO	1
CH	ACTION	ziehe ab	abziehen	führt Abziehen aus	15	16	RECURRENT_CORE	NO	16
CHD	ACTION	setze um	umsetzen	führt Umsetzen aus	22	48	RECURRENT_CORE	NO	48
CHK	ACTION	wärme	wärmen	führt Erwärmen aus	4	7	RECURRENT_CORE	NO	7
CKH	ADDRESS_OR_CONTENT	Durchlass	Durchlass	liefert Durchlass oder Gang	9	14	RECURRENT_CORE	NO	14
CTH	ADDRESS_OR_CONTENT	bereit	bereit	fordert den Bereitschaftszustand	8	15	RECURRENT_CORE	NO	15
DA	GRAMMAR_SIGNAL	zweiter	zweite	markiert die zweite Stufe	1	1	RARE_SPECIALIST	NO	1
DY	GRAMMAR_SIGNAL	schließe	Schluss	schließt nur in der lizenzierten Kartenkonstruktion	37	89	RECURRENT_CORE	NO	89
E	GRAMMAR_SIGNAL	kurz	kurz	markiert kurze oder direkte Ausführung	34	49	RECURRENT_CORE	NO	50
EE	GRAMMAR_SIGNAL	länger	länger	markiert anhaltende Ausführung	17	40	RECURRENT_CORE	NO	40
EEE	GRAMMAR_SIGNAL	voll	vollständig	markiert vollständige Ausführung	2	2	RECURRENT_CORE	NO	2
HO	ADDRESS_OR_CONTENT	Gabe	Gabe	liefert die einzusetzende Gabe	5	8	RECURRENT_CORE	NO	8
IIN	ADDRESS_OR_CONTENT	Grad	Sollstufe	liefert eine Zielstufe	3	4	RECURRENT_CORE	NO	4
K	ACTION	gib zu	zuführen	führt Zuführung aus	18	21	RECURRENT_CORE	NO	21
L	ACTION	führe	führen	führt entlang eines Wegs	18	27	RECURRENT_CORE	NO	27
LD	ACTION	binde fest	befestigen	führt Befestigung aus	1	1	RARE_SPECIALIST	NO	1
LS	GRAMMAR_SIGNAL	fort	weiter	setzt die laufende Folge fort	1	1	RARE_SPECIALIST	NO	1
LSH	ACTION	wasche	waschen	führt einen Waschgang aus	2	3	RECURRENT_CORE	NO	3
O	ADDRESS_OR_CONTENT	Gang	Arbeitsgang	liefert den bezeichneten Vorgang	18	19	RECURRENT_CORE	NO	19
OK	ACTION	setze an	ansetzen	setzt Posten oder Vorgang an	23	79	RECURRENT_CORE	NO	80
OL	GRAMMAR_SIGNAL	fort	fortsetzen	setzt Posten oder Ansatz fort	25	49	RECURRENT_CORE	NO	49
OR	ADDRESS_OR_CONTENT	Ansatz	Ansatz	liefert die aktuelle Zubereitung	10	18	RECURRENT_CORE	NO	18
OS	ADDRESS_OR_CONTENT	Fach	Arbeitsfach	liefert das ausgewählte Arbeitsfach	1	1	RARE_SPECIALIST	NO	1
OT	GRAMMAR_SIGNAL	danach	danach	ordnet die folgende Einheit an	16	26	RECURRENT_CORE	NO	26
P	ACTION	gib hinein	hineingeben	führt in einen Empfänger hinein	3	3	RECURRENT_CORE	NO	3
R	ACTION	kühle	abkühlen	führt Abkühlung aus	6	6	RECURRENT_CORE	NO	6
S	ACTION	teile	teilen	teilt den laufenden Posten	1	1	RARE_SPECIALIST	NO	1
SH	ACTION	halte	halten	hält den laufenden Posten	20	25	RECURRENT_CORE	NO	25
SHED	ACTION	setze ab	absetzen	lässt den Posten absetzen	3	15	RECURRENT_CORE	NO	15
SOLK	ACTION	fange auf	auffangen	fängt den laufenden Bestand auf	5	7	RECURRENT_CORE	NO	7
T	ACTION	trage ein	eintragen	trägt den Posten in einen Platz ein	9	10	RECURRENT_CORE	NO	10
TALAM	ACTION	verwahre	verwahren	verwahrt den laufenden Posten	1	1	RARE_SPECIALIST	NO	1
Y	GRAMMAR_SIGNAL	dies	dieser Posten	bindet den aktuell gemeinten Arbeitsgegenstand	60	124	RECURRENT_CORE	NO	125
