pair	event_id	page	record	statement_id	surface	component_parse	contains	compact_statement_de
LS/OL	E007	f10r	H1	H1-S001	otytchol	OT+Y+T+CH+OL	OL	dies kurz abnehmen
LS/OL	E012	f10r	H1	H1-S002	qotchol	OT+CH+OL	OL	dies einsetzen
LS/OL	E013	f10r	H1	H1-S002	chol	OL	OL	dies einsetzen
LS/OL	E019	f10r	H2	H2-S001	qoctholy	O+CTH+OL+Y	OL	dies kurz abziehen
LS/OL	E026	f10r	H2	H2-S002	otol	OT+OL	OL	danach dies weiter nach Maß im Gang bis bereit abziehen
LS/OL	E027	f10r	H2	H2-S002	chol	OL	OL	danach dies weiter nach Maß im Gang bis bereit abziehen
LS/OL	E028	f10r	H2	H2-S002	cholor	OL+OR	OL	danach dies weiter nach Maß im Gang bis bereit abziehen
LS/OL	E029	f10r	H2	H2-S002	chol	OL	OL	danach dies weiter nach Maß im Gang bis bereit abziehen
LS/OL	E039	f11r	H3	H3-S001	tshol	T+SH+OL	OL	dies weiter eintragen und halten
LS/OL	E047	f11r	H3	H3-S003	dchol	OL	OL	dies weiter zugeben
LS/OL	E053	f11r	H3	H3-S004	okchol	OK+OL	OL	danach dies weiter nach Maß bis bereit einsetzen
LS/OL	E067	f55v	H4	H4-S003	oldy	OL+DY	OL	dies nach Maß dosiert zugeben
LS/OL	E070	f55v	H4	H4-S004	oltchy	OL+T+Y	OL	dies nach Maß dorthin anlegen
LS/OL	E079	f56r	H5	H5-S001	kchol	K+OL	OL	den Ansatz abziehen
LS/OL	E083	f56r	H5	H5-S002	schol	OL	OL	dies weiter dorthin anlegen
LS/OL	E099	f56r	H5	H5-S006	keol	K+E+OL	OL	danach dies weiter nach Maß als Portion im Gang kurz zugeben
LS/OL	E106	f81v	B1	B1-S002	ol	OL	OL	dies nach Maß einsetzen
LS/OL	E108	f81v	B1	B1-S002	olkain	OL+K+AIN	OL	dies nach Maß einsetzen
LS/OL	E110	f81v	B1	B1-S002	ol	OL	OL	dies nach Maß einsetzen
LS/OL	E111	f81v	B1	B1-S002	rol	R+OL	OL	dies nach Maß einsetzen
LS/OL	E113	f81v	B1	B1-S002	olor	OL+OR	OL	dies nach Maß einsetzen
LS/OL	E114	f81v	B1	B1-S002	ol	OL	OL	dies nach Maß einsetzen
LS/OL	E121	f81v	B1	B1-S003	qol	OL	OL	dies weiter halten und zugeben und überführen; schließe
LS/OL	E124	f81v	B1	B1-S004	ol	OL	OL	dies umsetzen
LS/OL	E126	f81v	B1	B1-S005	qolchedy	OL+CHD+DY	OL	dies weiter überführen; schließe
LS/OL	E133	f81v	B1	B1-S008	ol	OL	OL	dies weiter kurz warm halten
LS/OL	E135	f81v	B1	B1-S008	ol	OL	OL	dies weiter kurz warm halten
LS/OL	E148	f81v	B1	B1-S014	qol	OL	OL	dies umsetzen
LS/OL	E154	f81v	B1	B1-S016	qol	OL	OL	dies dorthin anlegen
LS/OL	E157	f81v	B1	B1-S017	teol	E+OL	OL	dies weiter dorthin kurz umfüllen; schließe
LS/OL	E160	f81v	B1	B1-S018	dsheol	SH+E+OL	OL	dies führen
LS/OL	E168	f82r	B2	B2-S002	qolchedy	OL+CHD+DY	OL	dies weiter überführen; schließe
LS/OL	E182	f82r	B2	B2-S005	octheol	O+CTH+E+OL	OL	dies dorthin anlegen
LS/OL	E193	f82r	B2	B2-S009	solshedy	OL+SH+E+DY	OL	dies weiter kurz ruhen lassen; schließe
LS/OL	E196	f82r	B2	B2-S010	ls	LS	LS	dies länger wirken lassen
