page	physical_folio	canvas_id	page_outcome	connector_candidate_count	exact_endpoint_pair_count	directed_pair_count	reviewer	review_confidence	review_note
f101v	f101	1006250	NO_CONNECTOR_CANDIDATE	0	0	0	PRIMARY_AI_DIRECT_VISUAL	HIGH	Plant and container labels occur by proximity; no author-visible inscription-to-inscription connector.
f116v	f116	1006277	NO_CONNECTOR_CANDIDATE	0	0	0	PRIMARY_AI_DIRECT_VISUAL	HIGH	Back-page writing and later marks show no connector between two manuscript inscriptions.
f11v	f11	1006097	NO_CONNECTOR_CANDIDATE	0	0	0	PRIMARY_AI_DIRECT_VISUAL	HIGH	Herbal drawing and prose contain no inscription-to-inscription connector.
f17r	f17	1006106	NO_CONNECTOR_CANDIDATE	0	0	0	PRIMARY_AI_DIRECT_VISUAL	HIGH	Herbal drawing and prose contain no inscription-to-inscription connector.
f2r	f2	1006078	NO_CONNECTOR_CANDIDATE	0	0	0	PRIMARY_AI_DIRECT_VISUAL	HIGH	One short peripheral inscription and plant geometry do not form a connector between two exact loci.
f41v	f41	1006155	NO_CONNECTOR_CANDIDATE	0	0	0	PRIMARY_AI_DIRECT_VISUAL	HIGH	Herbal drawing and prose contain no inscription-to-inscription connector.
f49v	f49	1006171	NO_CONNECTOR_CANDIDATE	0	0	0	PRIMARY_AI_DIRECT_VISUAL	HIGH	Marginal enumeration-like marks and line layout have no author-visible connecting device.
f66r	f66	1006192	NO_CONNECTOR_CANDIDATE	0	0	0	PRIMARY_AI_DIRECT_VISUAL	HIGH	Text-list and marginal marks have no author-visible connecting device.
f68v1	f68	1006197	AMBIGUOUS_CONNECTOR	1	0	0	PRIMARY_AI_DIRECT_VISUAL	MEDIUM	Radial and curved geometry connects diagram regions, but no orientation or two singular exact inscription endpoints are visible.
f68v3	f68	1006197	AMBIGUOUS_CONNECTOR	1	0	0	PRIMARY_AI_DIRECT_VISUAL	MEDIUM	The multi-panel foldout has radial and curved paths near inscription bands, but no oriented edge between two singular loci.
f70r2	f70	1006199	AMBIGUOUS_CONNECTOR	1	0	0	PRIMARY_AI_DIRECT_VISUAL	MEDIUM	Spokes connect center and rings; radial geometry supplies neither direction nor two singular exact inscription endpoints.
f86v4	f86	1006229	AMBIGUOUS_CONNECTOR	1	0	0	PRIMARY_AI_DIRECT_VISUAL	MEDIUM	Four arm-like paths connect a central diagram to corner motifs; no oriented pair of singular exact inscription endpoints is visible.
