page	section	currier	hand	P_count	L_count	C_count	R_count	source_tags	review_scope	formal_access_state
f101v	P	A	1	10	18	0	0	SOURCE_PHARMACEUTICAL_PAGE;TEXT_PARAGRAPHS;TEXT_LABELS;TEXT_BETWEEN_GRAPHICS	VISIBLE_CONNECTOR_GEOMETRY_ONLY	FORBIDDEN_BEFORE_CAPACITY_GATE
f116v	T		3	0	1	0	0	TEXT_LABELS	VISIBLE_CONNECTOR_GEOMETRY_ONLY	FORBIDDEN_BEFORE_CAPACITY_GATE
f11v	H	A	1	6	1	0	0	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	VISIBLE_CONNECTOR_GEOMETRY_ONLY	FORBIDDEN_BEFORE_CAPACITY_GATE
f17r	H	A	1	12	1	0	0	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	VISIBLE_CONNECTOR_GEOMETRY_ONLY	FORBIDDEN_BEFORE_CAPACITY_GATE
f2r	H	A	1	13	2	0	0	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS;TEXT_LABELS	VISIBLE_CONNECTOR_GEOMETRY_ONLY	FORBIDDEN_BEFORE_CAPACITY_GATE
f41v	H	B	5	7	1	0	0	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS;TEXT_LABELS	VISIBLE_CONNECTOR_GEOMETRY_ONLY	FORBIDDEN_BEFORE_CAPACITY_GATE
f49v	H	A	1	26	26	0	0	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS;TEXT_LABELS;TEXT_LIST_OR_SEQUENCE	VISIBLE_CONNECTOR_GEOMETRY_ONLY	FORBIDDEN_BEFORE_CAPACITY_GATE
f66r	T	B	5	32	50	0	0	SOURCE_TEXT_ONLY_PAGE;TEXT_PARAGRAPHS;TEXT_LABELS	VISIBLE_CONNECTOR_GEOMETRY_ONLY	FORBIDDEN_BEFORE_CAPACITY_GATE
f68v1	A		4	0	0	2	8	SOURCE_COSMOLOGICAL_PAGE;TEXT_CIRCULAR;TEXT_RADIAL	VISIBLE_CONNECTOR_GEOMETRY_ONLY	FORBIDDEN_BEFORE_CAPACITY_GATE
f68v3	C		4	7	2	2	8	SOURCE_COSMOLOGICAL_PAGE;TEXT_PARAGRAPHS;TEXT_LABELS;TEXT_CIRCULAR;TEXT_BETWEEN_GRAPHICS	VISIBLE_CONNECTOR_GEOMETRY_ONLY	FORBIDDEN_BEFORE_CAPACITY_GATE
f70r2	C		4	14	0	5	0	SOURCE_COSMOLOGICAL_PAGE;TEXT_PARAGRAPHS;TEXT_CIRCULAR	VISIBLE_CONNECTOR_GEOMETRY_ONLY	FORBIDDEN_BEFORE_CAPACITY_GATE
f86v4	C	B	2	5	0	4	0	SOURCE_COSMOLOGICAL_PAGE;TEXT_PARAGRAPHS;TEXT_CIRCULAR	VISIBLE_CONNECTOR_GEOMETRY_ONLY	FORBIDDEN_BEFORE_CAPACITY_GATE
