pair_no	apprentice_question_de	component_a	value_a_de	component_b	value_b_de	diagnostic_a	diagnostic_b	teaching_rule_de
C01	Beginnen oder den Stoff umarbeiten?	OK	ANSETZEN	CHD	UMSETZEN	ok	ch	Frage zuerst: Beginnen oder den Stoff umarbeiten? Dann waehle genau OK oder CHD.
C02	In Lage halten oder zum Absetzen bringen?	SH	HALTEN	SHED	ABSETZEN	sh|ch|sch	she|chee|te|shed	Frage zuerst: In Lage halten oder zum Absetzen bringen? Dann waehle genau SH oder SHED.
C03	Waermer oder kuehler machen?	CHK	WAERMEN	R	KUEHLEN	chk|ch	r	Frage zuerst: Waermer oder kuehler machen? Dann waehle genau CHK oder R.
C04	In der Sammelstelle behalten oder hineingeben?	SOLK	AUFFANGEN	P	EINFUELLEN	olk	p	Frage zuerst: In der Sammelstelle behalten oder hineingeben? Dann waehle genau SOLK oder P.
C05	Waschen oder ausdruecken?	LSH	WASCHEN	CFH	AUSWRINGEN	lsh	cfh	Frage zuerst: Waschen oder ausdruecken? Dann waehle genau LSH oder CFH.
C06	Vom Posten abnehmen oder in die Liste eintragen?	CH	ABNEHMEN	T	EINTRAGEN	ch	t	Frage zuerst: Vom Posten abnehmen oder in die Liste eintragen? Dann waehle genau CH oder T.
C07	Eine Zugabe dosieren oder einen Bestand teilen?	K	ZUDOSIEREN	S	TEILEN	k	s	Frage zuerst: Eine Zugabe dosieren oder einen Bestand teilen? Dann waehle genau K oder S.
C08	Weiterleiten oder durch einen Durchlass fuehren?	L	WEITERLEITEN	CKH	DURCHLASS	l	ckh	Frage zuerst: Weiterleiten oder durch einen Durchlass fuehren? Dann waehle genau L oder CKH.
C09	Mit demselben Gang fortfahren oder zum folgenden gehen?	OL	FORTSETZEN	OT	DANACH	ol|l	ot	Frage zuerst: Mit demselben Gang fortfahren oder zum folgenden gehen? Dann waehle genau OL oder OT.
C10	Wohin oder woher?	AL	ZIEL	AR	QUELLE	al	ar	Frage zuerst: Wohin oder woher? Dann waehle genau AL oder AR.
C11	Laufender Strom oder bereiteter Ansatz?	AIR	LAUF	OR	ANSATZ	air	or	Frage zuerst: Laufender Strom oder bereiteter Ansatz? Dann waehle genau AIR oder OR.
C12	Neue Zutat oder bereits gemeinter Posten?	HO	ZUTAT	Y	DIES	ho	y	Frage zuerst: Neue Zutat oder bereits gemeinter Posten? Dann waehle genau HO oder Y.
C13	Eine Portion oder das vorgeschriebene Mass?	AIN	PORTION	AIIN	MASS	ain|an	aiin	Frage zuerst: Eine Portion oder das vorgeschriebene Mass? Dann waehle genau AIN oder AIIN.
C14	Arbeitsstufe oder zweite Wiederholung?	IIN	STUFE	DA	ZWEIT	iin	da	Frage zuerst: Arbeitsstufe oder zweite Wiederholung? Dann waehle genau IIN oder DA.
C15	Kurz oder laenger?	E	KURZ	EE	LANG	e	ee|e	Frage zuerst: Kurz oder laenger? Dann waehle genau E oder EE.
C16	Vollstaendig oder bloss bereit?	EEE	VOLL	CTH	BEREIT	eee	cth	Frage zuerst: Vollstaendig oder bloss bereit? Dann waehle genau EEE oder CTH.
C17	Nachgabe oder einzelner Gang?	AN	NACHGABE	O	GANG	an	o	Frage zuerst: Nachgabe oder einzelner Gang? Dann waehle genau AN oder O.
C18	Befestigen oder den Schritt schliessen?	LD	BEFESTIGEN	DY	SCHLUSS	ld	dy	Frage zuerst: Befestigen oder den Schritt schliessen? Dann waehle genau LD oder DY.
