prompt_id	fresh_prompt_de	requested_recipe	requested_components_known	encoding_status	exact_card_numbers	exact_surfaces	nearest_edit_distance	nearest_recipe_count	nearest_recipes	nearest_card_numbers	nearest_surfaces	master_approval	encoder_decision_de
P01	Diesen Posten ansetzen.	OK+Y	YES	EXACT_EXISTING_RECIPE	PROC008|PROC011	choky|oky|qoky|chokchy|okchy|qokchy	0	1	OK+Y	PROC008|PROC011	choky|oky|qoky|chokchy|okchy|qokchy	NO	Vorhandene Kartenfamilie waehlen; danach ihren belegten Renderer kopieren.
P02	Das vorgeschriebene Mass ansetzen.	OK+AIIN	YES	EXACT_EXISTING_RECIPE	PROC038	okaiin|qokaiin	0	1	OK+AIIN	PROC038	okaiin|qokaiin	NO	Vorhandene Kartenfamilie waehlen; danach ihren belegten Renderer kopieren.
P03	Eine Portion ansetzen.	OK+AIN	YES	EXACT_EXISTING_RECIPE	PROC080	okain|qokain	0	1	OK+AIN	PROC080	okain|qokain	NO	Vorhandene Kartenfamilie waehlen; danach ihren belegten Renderer kopieren.
P04	An der Zielstelle ansetzen.	OK+AL	YES	EXACT_EXISTING_RECIPE	PROC048	okal|qokal	0	1	OK+AL	PROC048	okal|qokal	NO	Vorhandene Kartenfamilie waehlen; danach ihren belegten Renderer kopieren.
P05	Aus der Quelle ansetzen.	OK+AR	YES	EXACT_EXISTING_RECIPE	PROC113	qokar	0	1	OK+AR	PROC113	qokar	NO	Vorhandene Kartenfamilie waehlen; danach ihren belegten Renderer kopieren.
P06	Den Lauf in Gang setzen.	OK+AIR	YES	EXACT_EXISTING_RECIPE	PROC138	okair	0	1	OK+AIR	PROC138	okair	NO	Vorhandene Kartenfamilie waehlen; danach ihren belegten Renderer kopieren.
P07	Kurz ansetzen und den Schritt schliessen.	OK+E+DY	YES	EXACT_EXISTING_RECIPE	PROC067	qokedy	0	1	OK+E+DY	PROC067	qokedy	NO	Vorhandene Kartenfamilie waehlen; danach ihren belegten Renderer kopieren.
P08	Laenger ansetzen und den Schritt schliessen.	OK+EE+DY	YES	EXACT_EXISTING_RECIPE	PROC100	qokeedy	0	1	OK+EE+DY	PROC100	qokeedy	NO	Vorhandene Kartenfamilie waehlen; danach ihren belegten Renderer kopieren.
P09	Vollstaendig ansetzen und den Schritt schliessen.	OK+EEE+DY	YES	EXACT_EXISTING_RECIPE	PROC119	qokeeedy	0	1	OK+EEE+DY	PROC119	qokeeedy	NO	Vorhandene Kartenfamilie waehlen; danach ihren belegten Renderer kopieren.
P10	Diesen Posten laenger halten.	SH+EE+Y	YES	EXACT_EXISTING_RECIPE	PROC031|PROC157	cheey|shey|sheey	0	1	SH+EE+Y	PROC031|PROC157	cheey|shey|sheey	NO	Vorhandene Kartenfamilie waehlen; danach ihren belegten Renderer kopieren.
P11	Kurz halten und den Schritt schliessen.	SH+E+DY	YES	EXACT_EXISTING_RECIPE	PROC111	dshedy	0	1	SH+E+DY	PROC111	dshedy	NO	Vorhandene Kartenfamilie waehlen; danach ihren belegten Renderer kopieren.
