event_id	statement_id	locus	surface	component_parse	card_reading	primitive	reverse_stage	source_function	minimum_source_clause_de	owner_source	owner_noun_de	content_license
E039	H3-S001	f11r.1	tshol	T+SH+OL	eintragen · halten · fortsetzen	HOLD_STATE	ST01_OWNER_TARGET	FORTSETZEN_UNTER_HALTEN	weiter unter Halten eintragen	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E040	H3-S001	f11r.1	schoal	SH+O+AL	halten · Arbeitsgang · Zielstelle	TARGET_HANDOFF	ST01_OWNER_TARGET	AM_ZIEL_HALten	an der Zielstelle in Arbeit halten	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E041	H3-S001	f11r.1	cfhy	CFHY	auswringen	SOURCE_DRAW	ST02_EXPRESS	AUSWRINGEN	auswringen	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E042	H3-S001	f11r.1	shfydaiin	SH+Y+AIIN	halten · dies · Maß	METER_CHECK	ST03_HOLD_MEASURE	POSTEN_NACH_MASS_HALten	diesen Posten nach Maß halten	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E043	H3-S001	f11r.1	cphy	P+Y	hinein · dies	MOVE_PASS	ST04_TRANSFER_RECEIVER	POSTEN_HINEINFUEHREN	diesen Posten hineinführen	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E044	H3-S001	f11r.1	shey	WHOLE[cheey|shey]	Empfangsbestand	HOLD_STATE	ST04_TRANSFER_RECEIVER	EMPFANGSBESTAND	den Empfangsbestand nehmen	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E045	H3-S001	f11r.1	tchody	T+CH+O+DY	eintragen · abziehen · Arbeitsgang · Schluss	SOURCE_DRAW>CLOSE	ST05_DRAW_CLOSE	ABZIEHEN_UND_SCHLIESSEN	abziehen und den Schritt schließen	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E046	H3-S002	f11r.1	shoyty	SH+O+Y+T+Y	halten · Arbeitsgang · dies · eintragen · dies	HOLD_STATE	ST06_RETAIN_PRODUCT	ARBEITSPOSTEN_HALten	diesen Arbeitsposten halten	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E047	H3-S003	f11r.4	dchol	OL	fortsetzen	CONTINUE_USE	ST07_METERED_REINTRODUCTION	FORTSETZEN	fortsetzen	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E048	H3-S003	f11r.4	chy	Y	dies	CONTINUE_USE	ST07_METERED_REINTRODUCTION	DIESER_POSTEN	diesen Posten	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E049	H3-S003	f11r.4	kchy	K+Y	zuführen · dies	ACTIVATE_CHARGE	ST07_METERED_REINTRODUCTION	POSTEN_ZUFUEHREN	diesen Posten zuführen	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E050	H3-S003	f11r.4	dy	Y	dies	CONTINUE_USE	ST07_METERED_REINTRODUCTION	DIESER_POSTEN	diesen Posten	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E051	H3-S003	f11r.4	daiin	AIIN	Maß	METER_CHECK	ST07_METERED_REINTRODUCTION	MASS	nach dem vorgeschriebenen Maß	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E052	H3-S004	f11r.7	qotchy	OT+Y	danach · dies	ACTIVATE_CHARGE	ST08_NEXT_READY	DANACH_DIESER_POSTEN	danach diesen Posten	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E053	H3-S004	f11r.7	okchol	OK+OL	ansetzen · fortsetzen	ACTIVATE_CHARGE	ST08_NEXT_READY	ARBEIT_FORTSETZEN	den Arbeitsgang weiter ansetzen	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E054	H3-S004	f11r.7	cthy	CTH+Y	bereit · dies	HOLD_STATE	ST08_NEXT_READY	POSTEN_BEREIT	diesen Posten bereit halten	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
E055	H3-S004	f11r.7	dy	Y	dies	CONTINUE_USE	ST08_NEXT_READY	DIESER_POSTEN	diesen Posten	IMAGE_H3_WHOLE_DENSE_CROWN_PLANT	die abgebildete dichtkronige Pflanze	CARD_PLUS_VISIBLE_OWNER
