statement_id	page	record	events	surface_sequence	component_sequence	compact_atomic_sequence_de	image_owner	owner_noun_de	owner_context_de	owner_kind	owner_break_inside_statement	owner_supplied_expansions_de	compact_owner_reading_de	closes
H1-S001	f10r	H1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	ABNEHMEN · KURZ · DIES | BEREIT · GANG · ANSATZ | QUELLE | EINTRAGEN · DIES | FACH | ABNEHMEN · LAUF | DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN | ANSETZEN · DIES | MASS | KURZ · EINTRAGEN · DIES	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	die breite gezahnte Bluetenpflanze	bei der breiten gezahnten Bluetenpflanze	VISIBLE_WHOLE_PLANT	NO	DIES=aktueller Posten bei der breiten gezahnten Bluetenpflanze | LAUF=lokaler Lauf bei der breiten gezahnten Bluetenpflanze | QUELLE=lokaler Ausgang bei der breiten gezahnten Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz abnehmen; den Ansatz im Gang bereitstellen und aus der Quelle eintragen; den Lauf abnehmen, danach den Posten weiterfuehren, nach Mass ansetzen und kurz eintragen.	NO
H1-S002	f10r	H1	4	qokchy qotchol chol cthy	OK+Y | OT+CH+OL | OL | CTH+Y	ANSETZEN · DIES | DANACH · ABNEHMEN · FORTSETZEN | FORTSETZEN | BEREIT · DIES	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	die breite gezahnte Bluetenpflanze	bei der breiten gezahnten Bluetenpflanze	VISIBLE_WHOLE_PLANT	NO	DIES=aktueller Posten bei der breiten gezahnten Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach abnehmen und weiterfuehren, weiterarbeiten und ihn bereithalten.	NO
H2-S001	f10r	H2	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	DIES · ABNEHMEN · KURZ · ANSATZ | BEREIT · DIES | ANSATZ | BEREIT · MASS | GANG · BEREIT · FORTSETZEN · DIES | DIES | DIES | MASS | DIES	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	die breite gezahnte Bluetenpflanze	bei der breiten gezahnten Bluetenpflanze	VISIBLE_WHOLE_PLANT	NO	DIES=aktueller Posten bei der breiten gezahnten Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz abnehmen; den Posten bereithalten, den Ansatz nach Mass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	NO
H2-S002	f10r	H2	8	qotchor chor otol chol cholor chol daiin dar	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	DANACH · ABNEHMEN · ANSATZ | ANSATZ | DANACH · FORTSETZEN | FORTSETZEN | FORTSETZEN · ANSATZ | FORTSETZEN | MASS | QUELLE	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	die breite gezahnte Bluetenpflanze	bei der breiten gezahnten Bluetenpflanze	VISIBLE_WHOLE_PLANT	NO	QUELLE=lokaler Ausgang bei der breiten gezahnten Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz abnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Mass aus der Quelle weiterfuehren.	NO
H2-S003	f10r	H2	7	oykchor shor chor chy kaiiin dy chodaiin	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	GANG · DIES · ZUDOSIEREN · ANSATZ | ANSATZ | ANSATZ | DIES | ZUDOSIEREN · STUFE | DIES | ABNEHMEN · GANG · MASS	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	die breite gezahnte Bluetenpflanze	bei der breiten gezahnten Bluetenpflanze	VISIBLE_WHOLE_PLANT	NO	DIES=aktueller Posten bei der breiten gezahnten Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Im Gang den aktuellen Ansatz zudosieren; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiterdosieren und anschliessend im Gang nach Mass abnehmen.	NO
H3-S001	f11r	H3	7	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	EINTRAGEN · HALTEN · FORTSETZEN | HALTEN · GANG · ZIEL | AUSWRINGEN · DIES | HALTEN · DIES · MASS | EINFUELLEN · DIES | HALTEN · LANG · DIES | EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	die dicht bluehende Kronenpflanze	bei der dicht bluehenden Kronenpflanze	VISIBLE_WHOLE_PLANT	NO	DIES=aktueller Posten bei der dicht bluehenden Kronenpflanze | ZIEL=bezeichnetes Ziel bei der dicht bluehenden Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Den Ansatz am Ziel weiter halten; auswringen, bis zum Mass halten, in den Empfaenger fuellen, laenger halten, abnehmen und den Schritt schliessen.	YES
H3-S002	f11r	H3	1	shoyty	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	die dicht bluehende Kronenpflanze	bei der dicht bluehenden Kronenpflanze	VISIBLE_WHOLE_PLANT	NO	DIES=aktueller Posten bei der dicht bluehenden Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Gang halten und eintragen.	NO
H3-S003	f11r	H3	5	dchol chy kchy dy daiin	RESUME_CARD | Y | K+Y | Y | AIIN	WIEDERAUFNEHMEN | DIES | ZUDOSIEREN · DIES | DIES | MASS	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	die dicht bluehende Kronenpflanze	bei der dicht bluehenden Kronenpflanze	VISIBLE_WHOLE_PLANT	NO	DIES=aktueller Posten bei der dicht bluehenden Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zudosieren und ihn bis zum Mass weiterfuehren.	NO
H3-S004	f11r	H3	4	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	DANACH · DIES | ANSETZEN · FORTSETZEN | BEREIT · DIES | DIES	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	die dicht bluehende Kronenpflanze	bei der dicht bluehenden Kronenpflanze	VISIBLE_WHOLE_PLANT	NO	DIES=aktueller Posten bei der dicht bluehenden Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereithalten; dann ihn beibehalten.	NO
H4-S001	f55v	H4	5	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	ANSETZEN · MASS | MASS | DIES · ZUDOSIEREN · PORTION | DIES · ZUDOSIEREN · NACHGABE | GANG · SCHLUSS	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	die breitblaettrige rispige Pflanze	bei der breitblaettrigen rispigen Pflanze	VISIBLE_WHOLE_PLANT	NO	DIES=aktueller Posten bei der breitblaettrigen rispigen Pflanze	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zudosieren; den Gang schliessen.	YES
