record	page	statements	events	owners_in_order	continuous_compact_owner_reading_de
H1	f10r	2	14	die breite gezahnte Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz abnehmen; den Ansatz im Gang bereitstellen und aus der Quelle eintragen; den Lauf abnehmen, danach den Posten weiterfuehren, nach Mass ansetzen und kurz eintragen. Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach abnehmen und weiterfuehren, weiterarbeiten und ihn bereithalten.
H2	f10r	3	24	die breite gezahnte Bluetenpflanze	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz abnehmen; den Posten bereithalten, den Ansatz nach Mass weiterbearbeiten und als aktuellen Posten verfuegbar lassen. Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz abnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Mass aus der Quelle weiterfuehren. Bei der breiten gezahnten Bluetenpflanze: Im Gang den aktuellen Ansatz zudosieren; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiterdosieren und anschliessend im Gang nach Mass abnehmen.
H3	f11r	4	17	die dicht bluehende Kronenpflanze	Bei der dicht bluehenden Kronenpflanze: Den Ansatz am Ziel weiter halten; auswringen, bis zum Mass halten, in den Empfaenger fuellen, laenger halten, abnehmen und den Schritt schliessen. Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Gang halten und eintragen. Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zudosieren und ihn bis zum Mass weiterfuehren. Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereithalten; dann ihn beibehalten.
H4	f55v	4	18	die breitblaettrige rispige Pflanze	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zudosieren; den Gang schliessen. Bei der breitblaettrigen rispigen Pflanze: Nach Mass den laufenden Posten umsetzen und anschliessend verwahren. Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Mass zudosieren; dann kurz im Gang aus der Quelle abnehmen; dann ihn laenger erwaermen; dann fortsetzen; den Schritt schliessen. Bei der breitblaettrigen rispigen Pflanze: Nach Mass am Ziel ansetzen, den laufenden Posten weiter eintragen, als Ansatz beibehalten und als Ansatzportion fuehren.
H5	f56r	6	27	die mehrkoepfige stachelige Pflanze	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz abnehmen, zum Ziel bringen und nach Mass weiter zudosieren; danach vom Ansatz abnehmen und den Posten am Ziel ansetzen. Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Gang durch den Durchlass abnehmen und schliessen. Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zudosieren und ihn zweimal ansetzen. Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Gang ansetzen und abnehmen; dann zum Ziel zudosieren. Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereitstellen, den laufenden Posten ansetzen und die Zutat aus der Quelle zudosieren; danach eine Portion in den Gang nehmen. Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiterdosieren, bis das Mass erreicht ist.
B1	f81v	21	66	das gemeinsame zweireihige Becken	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zudosieren. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zudosieren, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen. Am gemeinsamen zweireihigen Becken: Fortsetzen; dann halten, zudosieren und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann weiterleiten; dann zum Ziel kuehlen. Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen. Am gemeinsamen zweireihigen Becken: Den Gang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und auffangen; zum Ziel weiterleiten und umsetzen, dort fortsetzen und danach zum Quelle wechseln. Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten eintragen; dann ansetzen und umsetzen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Zum Ziel ansetzen; dann laenger den laufenden Posten ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Am Ziel kurz fortsetzen, umsetzen und den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Den laufenden Posten weiterleiten; dann kurz weiter halten; dann im Gang bis zur Stufe; dann laenger auffangen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen. Am gemeinsamen zweireihigen Becken: Das Ziel festlegen.
B2	f82r	22	62	die oberen Paarbecken mit Zylinder -> die linke Mittelstation mit Zwischenknoten -> die rechte unklare Mittelstation -> die rechte unklare Mittelstation und das untere gruene Figurenbecken -> das untere gruene Figurenbecken -> die Randstationen des unteren Beckens	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen. An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen. An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen. An den oberen Paarbecken mit Zylinder: Am Ziel ansetzen; den Posten durch den Durchlass weiterleiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass weiterleiten und schliessen. An den oberen Paarbecken mit Zylinder: Den Posten am Ziel ansetzen und nach Mass auffangen. Ihn durch den Durchlass fuehren, zweimal nach Mass ansetzen, im Gang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen. An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zum Ziel ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen. An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Danach nach Mass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen. An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann fortsetzen; dann ihn laenger halten. An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen. An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten weiterleiten und abnehmen; laenger halten, kurz bereithalten, laenger ansetzen und laenger weiterleiten; nach Mass beibehalten, vollstaendig ansetzen und schliessen. Am unteren gruenen Figurenbecken: Weiterleiten und umsetzen; den Schritt schliessen. Am unteren gruenen Figurenbecken: Aus der Quelle weiterleiten. An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: Am Ziel aus der Quelle weiterleiten und umsetzen. Kurz abnehmen und teilen; nach Mass den naechsten Posten laenger fuehren, nach Mass und kurz ansetzen, einfuellen, umsetzen und schliessen. An den Randstationen des unteren Beckens: Am Ziel kurz kuehlen und halten, dann den Zielschritt schliessen. An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen. An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen. An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen. An den Randstationen des unteren Beckens: Im Gang weiterleiten und umsetzen; den Schritt schliessen.
B3	f83r	34	86	die obere offene Faecherstation -> das runde Mittelgefaess -> das untere Korbgefaess -> das untere Korbgefaess und der bildlich unverbundene Zwischenabschnitt -> der bildlich unverbundene Zwischenabschnitt -> der bildlich unverbundene Zwischenabschnitt und das durch den Bogen verbundene Hauptpaar -> das durch den Bogen verbundene Hauptpaar	An der oberen offenen Faecherstation: Laenger auffangen und den Schritt schliessen. An der oberen offenen Faecherstation: Danach zum Ziel; dann laenger erwaermen; den Schritt schliessen. An der oberen offenen Faecherstation: Den laufenden Posten nach Mass beibehalten, anschliessend weiterleiten und umsetzen, dann schliessen. An der oberen offenen Faecherstation: Nach Mass ansetzen; danach zum Ziel wechseln und aus der Quelle weiterarbeiten. Am runden Mittelgefaess: Umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zum Ziel ansetzen; dann weiter umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Nach Mass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen. Am runden Mittelgefaess: Weiterleiten und umsetzen; den Schritt schliessen. Am runden Mittelgefaess: Den laufenden Posten ansetzen. Am unteren Korbgefaess: Am Ziel einfuellen und umsetzen; danach den kurzen Folgeschritt schliessen. Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle. Am unteren Korbgefaess: Den Ansatz absetzen lassen und den Schritt schliessen. Am unteren Korbgefaess: Nach Mass ansetzen; dann als Portion zudosieren; dann kurz den laufenden Posten bereithalten; dann kurz ansetzen; den Schritt schliessen. Am unteren Korbgefaess: Die laufende Fluessigkeit ansetzen; dann laenger halten; den Schritt schliessen. Am unteren Korbgefaess: Weiterleiten und umsetzen; den Schritt schliessen. Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Gang weiterleiten; dann ansetzen und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Absetzen lassen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Am Ziel weiterleiten, umsetzen und den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Nach Mass ansetzen und den Posten bereithalten. Am Ziel nach Mass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, am Ziel erneut bereithalten, umsetzen und schliessen. Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Weiterleiten und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen. Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Mass weiterleiten, den Posten umsetzen, eine Portion ansetzen und bereithalten; den Ansatz am Ziel kuehlen, laenger auffangen und schliessen. Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Fortsetzen; dann vollstaendig den laufenden Posten eintragen; dann kurz ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Mass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen. Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Mass, anschliessend nochmals nach Mass und den folgenden Kurzschritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Weiterleiten; den Schritt schliessen. Am durch den Bogen verbundenen Hauptpaar: Den Gang bis zur Stufe fuehren; den Posten bereithalten und eintragen; danach nach Mass am Ziel weiterfuehren, absetzen und schliessen.
B4	f83r	16	47	das zweite durch den Bogen verbundene Hauptpaar -> die linke offene Randstation -> die linke offene Randstation und die rechte S-Lauf-Mehrfachstation -> die rechte S-Lauf-Mehrfachstation	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten fortsetzen; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zum Ziel und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, fortsetzen, absetzen und schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Mass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Absetzen lassen; den Schritt schliessen. Am zweiten durch den Bogen verbundenen Hauptpaar: Fortsetzen; den Schritt schliessen. An der linken offenen Randstation: Nach Mass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, fortsetzen, kurz weiterleiten und zudosieren, dann schliessen. An der linken offenen Randstation: Weiterleiten und umsetzen; den Schritt schliessen. An der linken offenen Randstation: Weiter ansetzen; dann absetzen lassen; den Schritt schliessen. An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Gang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen. An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zudosieren, durch den Durchlass am Ziel abnehmen, kurz auffangen, weiterleiten, umsetzen und schliessen. An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zudosieren, am Ziel aus der Quelle nachdosieren, absetzen lassen und schliessen.
B5	f83r	3	11	die linke offene Nebenstation	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen. An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen. An der linken offenen Nebenstation: Am Ziel absetzen und dort weiterarbeiten; weiterleiten und fortsetzen, am Ziel umsetzen, nach Mass fortsetzen, fuer den zweiten Durchgang bis zur Stufe fuehren und den Posten umsetzen.
