image_owner	owner_noun_de	owner_context_de	statements
WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	die breite gezahnte Bluetenpflanze	bei der breiten gezahnten Bluetenpflanze	5
WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	die dicht bluehende Kronenpflanze	bei der dicht bluehenden Kronenpflanze	4
WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	die breitblaettrige rispige Pflanze	bei der breitblaettrigen rispigen Pflanze	4
WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	die mehrkoepfige stachelige Pflanze	bei der mehrkoepfigen stacheligen Pflanze	6
B1_SHARED_TWO_ROW_POOL	das gemeinsame zweireihige Becken	am gemeinsamen zweireihigen Becken	21
B2_UPPER_PAIRED_BASINS_AND_CYLINDER	die oberen Paarbecken mit Zylinder	an den oberen Paarbecken mit Zylinder	6
B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	die linke Mittelstation mit Zwischenknoten	an der linken Mittelstation mit Zwischenknoten	4
B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	die rechte unklare Mittelstation	an der rechten unklaren Mittelstation	2
B2_LOWER_POOL_EDGE_STATIONS	die Randstationen des unteren Beckens	an den Randstationen des unteren Beckens	8
B2_LOWER_GREEN_MULTI_FIGURE_POOL	das untere gruene Figurenbecken	am unteren gruenen Figurenbecken	3
B3_UPPER_MARGIN_OPEN_FAN_STATION	die obere offene Faecherstation	an der oberen offenen Faecherstation	4
B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	das runde Mittelgefaess	am runden Mittelgefaess	5
B3_LOWER_MARGIN_BASKET_VESSEL_STATION	das untere Korbgefaess	am unteren Korbgefaess	7
B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	der bildlich unverbundene Zwischenabschnitt	im bildlich unverbundenen Zwischenabschnitt	11
B3_MAIN_ARCH_LINKED_PAIR	das durch den Bogen verbundene Hauptpaar	am durch den Bogen verbundenen Hauptpaar	9
B4_MAIN_ARCH_LINKED_PAIR	das zweite durch den Bogen verbundene Hauptpaar	am zweiten durch den Bogen verbundenen Hauptpaar	10
B4_MAIN_LEFT_OPEN_FRINGE_STATION	die linke offene Randstation	an der linken offenen Randstation	5
B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	die rechte S-Lauf-Mehrfachstation	an der rechten S-Lauf-Mehrfachstation	2
B5_LEFT_OPEN_FRINGE_STATION	die linke offene Nebenstation	an der linken offenen Nebenstation	3
B6_RIGHT_S_RUN_MULTIPORT_STATION	die rechte S-Lauf-Nebenstation	an der rechten S-Lauf-Nebenstation	1
