pair_id	atomic_value_de	slot_code	joint_tuple_a	surface_palette_a	joint_tuple_b	surface_palette_b	teaching_rule_de
P01	Abführung	S3_PROZESS_TRANSFER	ba8142680851f24c9ff2	lched	f2af6326898fb5b490a4	lochedy	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
P02	Einsetzen	S5_ZIEL_ANWENDUNG	276a7c2d74d1143446f4	choky|oky|qoky	9ad66e67803a12e745de	chokchy|okchy|qokchy	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
P03	Folgefortsetzung	S1_BEZUG_FOLGE	497cbd9c7401810ff56b	otol	e8a6105b5c3a6220b440	qotchol	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
P04	Folgeposten	S1_BEZUG_FOLGE	a48efd6c4491a046ba78	qotchy	faf321940aed922846a9	otchey	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
P05	Kurzkontakt	S4_DAUER_ZUSTAND	08bd5ca0c2ad137a056d	okey|qokey	7db18b2f0fb7ed0fcfd3	qokedy	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
P06	Kurzvorbereitung	S4_DAUER_ZUSTAND	6b89d6dd70635bc60fe0	qcthey|shcthey	cb57b696b815fdef9cb7	shecthy	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
P07	Langkontakt	S4_DAUER_ZUSTAND	0275fbf14e07935b0a45	okeey|qokeey	7d25241b0e56c836372a	qokeedy	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
P08	Langsammlung	S3_PROZESS_TRANSFER	1bfd786e6b8b63734a59	solkeey	3b70942557b3a40e8030	olkeedy|solkeedy	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
P09	Langwärmen	S4_DAUER_ZUSTAND	a84fbe3ad380df345b97	chkeedy	f0db6d30cd34f4cb2a4d	chkeey	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
P10	Rücknahmeschluss	S3_PROZESS_TRANSFER	2e2027b1951d79911e24	tchody	97cc9ac109148723c472	ody	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
P11	Waschgang	S3_PROZESS_TRANSFER	2e7e89e0bd12b999c280	lshedy	be0974b366c981dc1eef	lsho	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
P12	Wiedereinsatz	S5_ZIEL_ANWENDUNG	1322bc176443fc2a8a86	qokokchy	232195d6ff2f326322f7	qokol	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
P13	Zieleinsatz	S5_ZIEL_ANWENDUNG	308e8ea2d5d190c498e8	okal|qokal	4a7a6326ac95a8809302	qokaly	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
P14	Zieltransfer	S3_PROZESS_TRANSFER	00d8ebe3c68294eeac39	chdal	2bc2ed2630dbdaaa6b59	dalchdy	Gleicher Werkstattwert und Slot; Besitzer oder rechte Folgekarte wählt die exakte Tafelkarte.
