tablet_no	joint_tuple_id	surface	work_value_de	pin_owner	board_address	mnemonic_de
T01	65f320e75510b2f38182	dchey	Wurzelteil	Wurzel und übrige Teile der abgebildeten Pflanze	M1_RAW_PART__S1_BEZUG_FOLGE	Beim Wurzelbild eröffnet dchey den tiefen Pflanzenteil.
T02	953ad19b79517fc8a211	tshol	Blütenkraut	Blütenkraut der abgebildeten Pflanze	M1_RAW_PART__S1_BEZUG_FOLGE	tshol eröffnet die Blütenkette vor Auswringen und Seihen.
T03	bdad9f9ea8b80f141496	cfhy	Auswringen	Blütenkraut der abgebildeten Pflanze	M1_RAW_PART__S3_PROZESS_TRANSFER	cfhy drückt zuerst aus; das ähnlich gebaute cphy seiht danach.
T04	deb377381ceaf55ea310	cphy	Nachseihen	Blütenkraut der abgebildeten Pflanze	M1_RAW_PART__S3_PROZESS_TRANSFER	cphy kommt nach dem Stehen: nicht drücken, sondern nochmals seihen.
T05	e026af581c99322fbd46	talam	Verwahren	Blattmaterial der abgebildeten Pflanze	M4_MEASURED_PORTION__S6_BEREIT_ABSCHLUSS	talam steht am Ende des Blattpostens: zur Ablage verwahren.
T06	95987d6f198d6d247511	cheeckhody	Auftragsschluss	Stängel-/Pflanzenteil der abgebildeten Pflanze	M1_RAW_PART__S6_BEREIT_ABSCHLUSS	Die lange cheeckhody-Karte beendet den ganzen Pflanzenauftrag.
T07	ad3581d3144f69a5912d	sh	Pflanzenteil	Stängel-/Pflanzenteil der abgebildeten Pflanze	M1_RAW_PART__S1_BEZUG_FOLGE	Das nackte sh zeigt hier den neuen sichtbaren Pflanzenteil.
T08	61a075bc54793c1c781f	sotodan	Gebrauchen	Stängel-/Pflanzenteil der abgebildeten Pflanze	M5_APPLICATION_ITEM__S5_ZIEL_ANWENDUNG	sotodan steht am Zielslot: das hergestellte Gut gebrauchen.
T09	b38d70daefd663d74625	ly	Auffanggefäß	B1_SHARED_TWO_ROW_POOL	M1_RAW_PART__S3_PROZESS_TRANSFER	ly sitzt am Beckenende und nennt das Auffanggefäß, nicht den Stoff.
T10	db729b598e89e11452e0	ches	teilen	B2_LOWER_POOL_EDGE_STATIONS	M3_CLEAR_EXTRACT__S2_MATERIAL_MASS	ches zerlegt die laufende Menge; chey verweist nur auf sie.
T11	eb2e4bc143f623ee03ac	qokylddy	befestigen	B4_MAIN_ARCH_LINKED_PAIR	M4_MEASURED_PORTION__S6_BEREIT_ABSCHLUSS	qokylddy schließt die Auflage: ansetzen, festhalten, Schluss.
T12	43eb9aa12959b4d5cdc9	qekey	Kurzbearbeitung	B6_RIGHT_S_RUN_MULTIPORT_STATION	M2_PREPARATION__S4_DAUER_ZUSTAND	qekey ist der kurze Arbeitsgang; qokey ist der kurze Kontakt.
