source_reading_id	surface	decision	occurrence_count	page_count	pages	positions	old_lexical_core_de	v87_lexical_core_de	v87_context_realization_de	old_score	v87_score	old_level	v87_level	family_ids	decomposition	repair_mode	resolved_debt_atom	evidence_class	evidence_de	counterevidence_de	open_semantic_slots	component_global_export_allowed	old_semantic_scope	v87_semantic_scope	old_global_export_scope	v87_global_export_scope	occurrence_bound_span_override	historical_confirmation
chedaiin#1	chedaiin	REVISE	1	1	f86v3	f86v3.13#7	abgemessene Trockendroge, Dosis III	abgemessene Trockenmenge III, Mittelstufe	eine abgemessene Trockenmenge III auf Mittelstufe	36	46	W1_WEAK_WORKING	W2_PROVISIONAL_WORKING	F_STATE|F_STAGE|F_N|F_D	CH_DRY+E_MIDDLE+D_MEASURE+A+IIN_III	IDENTITY_REMOVAL_AND_COMPOSITIONAL_COMPRESSION	UNSUPPORTED_DRUG_IDENTITY|UNSUPPORTED_DOSE_IDENTITY	EXACT_FAMILY_INTERSECTION	GDT663 belegt CH-E-D-A-IIN als exakte Ganzwortfamilie an 32 Stellen; GDT711 stuetzt trocken, Mittelstufe, Messkopf und Wert III als gebundene Felder.	Stoff, historische Einheit und die genaue III-Achse sind unbekannt; E und D bleiben gebunden und sind keine freien Woerter.	MATERIAL_IDENTITY|VALUE_III_AXIS_OR_UNIT|E_MIDDLE_ROLE|D_MEASURE_OR_VALUE	0	ACTIVE_EXACT_WHOLE_READING	ACTIVE_EXACT_WHOLE_READING	ACTIVE_WORKING_DEFAULT	ACTIVE_WORKING_DEFAULT	NONE	H0_NONE
chodaiin#1	chodaiin	REVISE	1	1	f114r	f114r.26#4	Trockenansatz, Dosis III	trockene Zubereitung; Mengenwert III	trockene Zubereitung, Menge III	36	49	W1_WEAK_WORKING	W2_PROVISIONAL_WORKING	F_STATE|F_O|F_N|F_D	CHO_DRY_PREP+D_MEASURE+A+IIN_III	UNSUPPORTED_DOSE_IDENTITY_REMOVAL	UNSUPPORTED_DOSE_IDENTITY	EXACT_FAMILY_INTERSECTION	GDT664 belegt die exakte CHO-D-A-IIN-Familie in 42 Kontexten; Trockenmerkmal, Zubereitungsrahmen, Messkopf und Wert III bilden den gemeinsamen Kern.	Inhalt, historische Einheit und D als Mass gegen abstrakten Wert bleiben offen; die innere CHO-Grenze wird nicht frei exportiert.	PREPARATION_CONTENT|VALUE_III_AXIS_OR_UNIT|D_MEASURE_OR_VALUE|CHO_INTERNAL_BOUNDARY	0	ACTIVE_EXACT_WHOLE_READING	ACTIVE_EXACT_WHOLE_READING	ACTIVE_WORKING_DEFAULT	ACTIVE_WORKING_DEFAULT	NONE	H0_NONE
cholkain#1	cholkain	REVISE	1	1	f86v3	f86v3.13#11	Trockengut, heiß auf Stufe II	trocken-heiß; Wert II	trocken-heiß, Stufe II	39	39	W1_WEAK_WORKING	W1_WEAK_WORKING	F_STATE|F_N|F_OL	CHOL_DRY_MATERIAL+K_HOT+AIN_II	STATE_CORE_NORMALIZATION_NO_SCORE_GAIN	OVERPACKED_GOOD_HEAD	READER_CONDITIONED_EXACT_WHOLE	GDT679 verbindet die exakte CHOL-K-AIN-Form und ihre Schwester mit Trockenmerkmal, Hitze und Wert II; der neue Kern macht diese drei Felder sichtbar, ohne einen Stoffkopf einzusetzen.	Nur eine aktive Zielstelle; CHOL benennt keinen konkreten Stoff und Hitze kann Zustand statt Handlung sein.	MATERIAL_IDENTITY|VALUE_II_AXIS|HOT_STATE_OR_PROCESS|CHOL_HEAD_SCOPE	0	ACTIVE_EXACT_WHOLE_READING	ACTIVE_EXACT_WHOLE_READING	ACTIVE_WORKING_DEFAULT	ACTIVE_WORKING_DEFAULT	NONE	H0_NONE
chos#1	chos	REVISE	1	1	f114r	f114r.24#7	eine Charge Trockenansatz	trockene Zubereitung	eine trockene Zubereitung	36	43	W1_WEAK_WORKING	W2_PROVISIONAL_WORKING	F_STATE|F_O	CH_DRY+O_PREP+S_BOUND_UNRESOLVED	BOUND_FORM_CORE_REPAIR	UNSUPPORTED_CHARGE_HEAD|UNSUPPORTED_S_SPECIES_IDENTITY|LEXICALIZED_ARTICLE	EXACT_FAMILY_INTERSECTION	GDT665 fuehrt 30 CH-O-S-Familienbelege; Trockenmerkmal und Zubereitungsrahmen sind stabil, waehrend terminales S gebunden und semantisch offen bleibt.	S ist kein freies Wort fuer Charge, Species oder Form; Inhalt und genaue S-Klasse bleiben offen.	PREPARATION_CONTENT|S_FORM_OR_SPECIES	0	ACTIVE_EXACT_WHOLE_READING	ACTIVE_EXACT_WHOLE_READING	ACTIVE_WORKING_DEFAULT	ACTIVE_WORKING_DEFAULT	NONE	H0_NONE
chs#1	chs	REVISE	1	1	f77v	f77v.7#8	Trockengut, Grundform	trockene Grundform	eine trockene Grundform	26	30	W1_WEAK_WORKING	W1_WEAK_WORKING	F_STATE	CH_DRY+S_BOUND_BASE	UNSUPPORTED_MATERIAL_HEAD_REMOVAL	UNSUPPORTED_GOOD_HEAD	EXACT_WHOLE_BOUND_BASE	GDT661 belegt 13 CH-S-Ganzformen; trocken und die gebundene Grundform sind der kleinste wiederkehrende Kern.	S besitzt keinen freien deutschen Wert, und weder Stoff noch Produkt der Grundform sind bestimmt.	FORM_CONTENT|S_BASE_ROLE	0	ACTIVE_EXACT_WHOLE_READING	ACTIVE_EXACT_WHOLE_READING	ACTIVE_WORKING_DEFAULT	ACTIVE_WORKING_DEFAULT	NONE	H0_NONE
dshees#1	dshees	REVISE	1	1	f105r	f105r.2#1	eine Dosis vollständig eingeweichte Arzneimischung	abgemessene feuchte Form, Endstufe	eine abgemessene feuchte Form auf Endstufe	36	36	W1_WEAK_WORKING	W1_WEAK_WORKING	NONE	DSHEES_EXACT_WHOLE__UNLICENSED_COMPOSITION_RIVAL[D_SH_EE_S]	EXPLORATORY_WHOLE_READING_WITH_IDENTITY_REMOVAL	UNSUPPORTED_DOSE_IDENTITY|UNSUPPORTED_DRUG_MIXTURE_IDENTITY	EXACT_WHOLE_WITH_EXPLORATORY_COMPOSITION	GDT690 sichert nur die lokale Ganzform ohne Upstream-Bindung; D-SH-EE-S bleibt eine ausdrücklich unlizenzierte Default-Hypothese zu Messung, Feuchte, Endstufe und gebundener Form.	Nur ein lokaler Ganzwortbeleg; keine interne Grenze ist unabhaengig zugelassen. Deshalb gibt die Kompositionshypothese null neue Confidence-Punkte.	ALL_INTERNAL_BOUNDARIES|MATERIAL_IDENTITY|MEASURE_UNIT|S_FORM_ROLE	0	ACTIVE_EXACT_WHOLE_READING	ACTIVE_EXACT_WHOLE_READING	ACTIVE_WORKING_DEFAULT	ACTIVE_WORKING_DEFAULT	NONE	H0_NONE
dshey#1	dshey	REVISE	1	1	f95v1	f95v1.7#1	eine Dosis bis zur Mittelstufe angefeuchtete Droge	abgemessene Feuchtmenge, Mittelstufe	eine abgemessene Feuchtmenge auf Mittelstufe	36	47	W1_WEAK_WORKING	W2_PROVISIONAL_WORKING	F_D|F_STATE|F_STAGE	D_MEASURE+SH_MOIST+E_MIDDLE+Y_CLOSE_OR_BASE	IDENTITY_REMOVAL_AND_STATE_NOMINALIZATION	UNSUPPORTED_DOSE_IDENTITY|UNSUPPORTED_DRUG_IDENTITY	EXACT_FAMILY_INTERSECTION	GDT665 belegt D-SH-E-Y an zehn Stellen; Messkopf, Feuchtzustand und Mittelstufe schneiden sich ohne Dosis- oder Drogenkopf.	Material, Einheit und Y als Abschluss gegen Grundform bleiben offen; Feuchte beweist keinen Einweichvorgang.	MATERIAL_IDENTITY|MEASURE_UNIT|Y_CLOSE_OR_BASE|MOIST_STATE_OR_SOAKING	0	ACTIVE_EXACT_WHOLE_READING	ACTIVE_EXACT_WHOLE_READING	ACTIVE_WORKING_DEFAULT	ACTIVE_WORKING_DEFAULT	NONE	H0_NONE
kc#1	kc	REVISE	1	1	f8r	f8r.15#5	Charge unter Wärme getrockneter Droge	heiß-trocken	heiß-trocken	39	39	W1_WEAK_WORKING	W1_WEAK_WORKING	F_STATE	KC_ZL3B__READER_CORRECTED[K_HOT+CH_DRY+S_BOUND_UNRESOLVED]	READER_REPAIRED_STATE_FORM_NO_SCORE_GAIN	UNSUPPORTED_CHARGE_HEAD|UNSUPPORTED_DRUG_IDENTITY|UNSUPPORTED_S_SPECIES_IDENTITY|ACTIVE_DRYING_PARAPHRASE	READER_CONDITIONED_EXACT_WHOLE	GDT679 zeigt an der Zielstelle ZL3b kc, waehrend IT2a und RF1b kchs schreiben; die gemeinsame Arbeitslesung bewahrt nur Hitze- und Trockenmerkmal, S bleibt gebunden und semantisch offen.	Ein einzelner reader-korrigierter Beleg; S-Rolle und die kurze ZL3b-Grenze bleiben offen. Keine Promotion.	FORM_CONTENT|S_ROLE|KC_KCHS_BOUNDARY|HOT_DRY_STATE_OR_PROCESS	0	ACTIVE_EXACT_WHOLE_READING	ACTIVE_EXACT_WHOLE_READING	ACTIVE_WORKING_DEFAULT	ACTIVE_WORKING_DEFAULT	NONE	H0_NONE
keo#1	keo	REVISE	1	1	f7r	f7r.2#2	Ansatz auf mittlerer Heizstufe	heiße Zubereitung, Mittelstufe	heiße Zubereitung auf Mittelstufe	31	31	W1_WEAK_WORKING	W1_WEAK_WORKING	F_STATE|F_STAGE|F_O	K_HOT+E_MIDDLE+O_PREP	CORE_COMPRESSION_PLUS_PREDECLARED_BOUNDARY_RENDERER	OVERLONG_GRADE_PROSE	EXACT_FAMILY_PLUS_READER_JOIN	GDT678 auditiert fuenf K-E-O-Kontexte: zwei behalten die heiße Zubereitung, drei keo-r-Stellen werden vom bekannten keor-Ganzwort gerendert. GDT711 stuetzt Zustand, Stufe und O-Rahmen. Die reine Kernkompression verdient keine neuen Punkte.	Die aktive f7r-Stelle ist gebunden; E und Inhalt der Zubereitung bleiben offen. Der lokale Join erlaubt kein globales keo+r-Gesetz.	PREPARATION_CONTENT|E_STAGE_VALUE|BOUNDARY_DEPENDENCE	0	ACTIVE_EXACT_WHOLE_READING	ACTIVE_EXACT_WHOLE_READING	ACTIVE_WORKING_DEFAULT	ACTIVE_WORKING_DEFAULT	NONE	H0_NONE
kor#1	kor	REVISE	1	1	f23r	f23r.6#3	heiße Drogenportion	heiße Portion	eine heiße Portion	26	36	W1_WEAK_WORKING	W1_WEAK_WORKING	F_STATE|F_OR	K_HOT+OR_PORTION	UNSUPPORTED_DRUG_IDENTITY_REMOVAL	UNSUPPORTED_DRUG_IDENTITY	EXACT_FAMILY_INTERSECTION	GDT654 belegt K+OR in 20 Kontexten, davon 13 all-reader-exakt; heiß und Portion sind der gemeinsame minimale Kern.	Inhalt und historische Einheit der Portion bleiben offen; K kann eine Zustandsklasse statt reale Erhitzung markieren.	PORTION_CONTENT|PORTION_UNIT|HOT_STATE_OR_PROCESS	0	ACTIVE_EXACT_WHOLE_READING	ACTIVE_EXACT_WHOLE_READING	ACTIVE_WORKING_DEFAULT	ACTIVE_WORKING_DEFAULT	NONE	H0_NONE
