event_id	page	record	statement_id	locus	silent_owner_de	observed_surface	card_no	component_parse	abstract_component_reading_de	context_selection	owner_slot_fill	contextual_card_reading_de	concrete_frame_verb_de	whole_card_gloss_lookup	complete
E001	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	dchey	PROC001	CH+E+Y	abziehen · kurz · dieser Posten [Rahmen: abnehmen]	PORTABLE_COMPONENT_READING	NOT_REQUIRED	diesen Posten kurz abziehen	abnehmen	NO	YES
E002	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	cthoor	PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	PORTABLE_COMPONENT_READING	NOT_REQUIRED	bereit · Arbeitsgang · Ansatz	NOT_AN_ACTION_CARD	NO	YES
E003	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	char	PROC003	AR	von dort	PORTABLE_COMPONENT_READING	NOT_REQUIRED	von dort	NOT_AN_ACTION_CARD	NO	YES
E004	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	chty	PROC004	T+Y	eintragen · dieser Posten [Rahmen: eintragen, übertragen]	OWNER_SLOT_FILL	SOURCE_COPY	diesen Posten in das aktive Fach übernehmen	übertragen	NO	YES
E005	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	os	PROC005	OS	Arbeitsfach	PORTABLE_COMPONENT_READING	NOT_REQUIRED	Arbeitsfach	NOT_AN_ACTION_CARD	NO	YES
E006	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	chair	PROC006	CH+AIR	abziehen · laufender Bestand [Rahmen: ablaufen lassen]	PORTABLE_COMPONENT_READING	NOT_REQUIRED	den laufenden Posten durch laufender Bestand abziehen	ablaufen lassen	NO	YES
E007	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	otytchol	PROC007	OT+Y+T+CH+OL	danach · dieser Posten · eintragen · abziehen · fortsetzen [Rahmen: abnehmen, eintragen]	PORTABLE_COMPONENT_READING	NOT_REQUIRED	danach fortsetzen diesen Posten eintragen und abziehen	eintragen + abnehmen	NO	YES
E008	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	oky	PROC008	OK+Y	ansetzen · dieser Posten [Rahmen: einsetzen, einleiten, anlegen]	OWNER_SLOT_FILL	BASE_OPERATION	diesen Posten in Einsatz bringen	einsetzen	NO	YES
E009	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	daiin	PROC009	AIIN	vorgeschriebenes Maß	PORTABLE_COMPONENT_READING	NOT_REQUIRED	vorgeschriebenes Maß	NOT_AN_ACTION_CARD	NO	YES
E010	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	etyd	PROC010	E+T+Y	kurz · eintragen · dieser Posten [Rahmen: eintragen]	PORTABLE_COMPONENT_READING	NOT_REQUIRED	diesen Posten kurz eintragen	eintragen	NO	YES
