statement_id	page	record	first_locus	silent_owner_de	event_count	card_sequence	abstract_composition_sequence_de	contextual_card_sequence_de	owner_filled_workshop_instruction_de	instruction_status	all_events_complete
H1-S001	f10r	H1	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	10	PROC001 > PROC002 > PROC003 > PROC004 > PROC005 > PROC006 > PROC007 > PROC008 > PROC009 > PROC010	abziehen · kurz · dieser Posten [Rahmen: abnehmen] | bereit · Arbeitsgang · Ansatz | von dort | eintragen · dieser Posten [Rahmen: eintragen, übertragen] | Arbeitsfach | abziehen · laufender Bestand [Rahmen: ablaufen lassen] | danach · dieser Posten · eintragen · abziehen · fortsetzen [Rahmen: abnehmen, eintragen] | ansetzen · dieser Posten [Rahmen: einsetzen, einleiten, anlegen] | vorgeschriebenes Maß | kurz · eintragen · dieser Posten [Rahmen: eintragen]	diesen Posten kurz abziehen | bereit · Arbeitsgang · Ansatz | von dort | diesen Posten in das aktive Fach übernehmen | Arbeitsfach | den laufenden Posten durch laufender Bestand abziehen | danach fortsetzen diesen Posten eintragen und abziehen | diesen Posten in Einsatz bringen | vorgeschriebenes Maß | diesen Posten kurz eintragen	den laufenden Posten kurz abnehmen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H1-S002	f10r	H1	f10r.5	abgebildete breit gezähnte radialblütige Pflanze	4	PROC011 > PROC012 > PROC013 > PROC014	ansetzen · dieser Posten [Rahmen: einsetzen, ansetzen] | danach · abziehen · fortsetzen [Rahmen: abnehmen] | fortsetzen | bereit · dieser Posten	diesen Posten neu ansetzen | danach fortsetzen den laufenden Posten abziehen | fortsetzen | bereit · dieser Posten	den laufenden Posten einsetzen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H2-S001	f10r	H2	f10r.6	abgebildete breit gezähnte radialblütige Pflanze	9	PROC015 > PROC014 > PROC016 > PROC017 > PROC018 > PROC019 > PROC019 > PROC009 > PROC019	dieser Posten · abziehen · kurz · Ansatz [Rahmen: abziehen] | bereit · dieser Posten | Ansatz | bereit · vorgeschriebenes Maß | Arbeitsgang · bereit · fortsetzen · dieser Posten | dieser Posten | dieser Posten | vorgeschriebenes Maß | dieser Posten	diesen Posten kurz abziehen | bereit · dieser Posten | Ansatz | bereit · vorgeschriebenes Maß | Arbeitsgang · bereit · fortsetzen · dieser Posten | dieser Posten | dieser Posten | vorgeschriebenes Maß | dieser Posten	den laufenden Posten kurz abziehen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H2-S002	f10r	H2	f10r.8	abgebildete breit gezähnte radialblütige Pflanze	8	PROC020 > PROC016 > PROC021 > PROC013 > PROC022 > PROC013 > PROC009 > PROC003	danach · abziehen · Ansatz [Rahmen: abziehen] | Ansatz | danach · fortsetzen | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | von dort	danach den Ansatz abziehen | Ansatz | danach · fortsetzen | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | von dort	danach den laufenden Posten weiter nach vorgeschriebenem Maß im Arbeitsgang bis bereit abziehen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H2-S003	f10r	H2	f10r.9	abgebildete breit gezähnte radialblütige Pflanze	7	PROC023 > PROC016 > PROC016 > PROC019 > PROC024 > PROC019 > PROC025	Arbeitsgang · dieser Posten · zuführen · Ansatz [Rahmen: zugeben] | Ansatz | Ansatz | dieser Posten | zuführen · Sollstufe [Rahmen: zugeben] | dieser Posten | abziehen · Arbeitsgang · vorgeschriebenes Maß [Rahmen: abziehen]	diesen Posten zuführen | Ansatz | Ansatz | dieser Posten | den laufenden Posten zuführen bis Sollstufe | dieser Posten | den Arbeitsgang nach vorgeschriebenes Maß abziehen	danach den laufenden Posten weiter von dort nach vorgeschriebenem Maß im Arbeitsgang zugeben	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H3-S001	f11r	H3	f11r.1	abgebildete dicht blau blühende Kronenpflanze	7	PROC026 > PROC027 > PROC028 > PROC029 > PROC030 > PROC031 > PROC032	eintragen · halten · fortsetzen [Rahmen: halten, eintragen] | halten · Arbeitsgang · bezeichnete Stelle [Rahmen: an Ort halten] | auswringen · dieser Posten [Rahmen: auswringen] | halten · dieser Posten · vorgeschriebenes Maß [Rahmen: halten] | hineingeben · dieser Posten [Rahmen: hineingeben] | halten · länger · dieser Posten [Rahmen: halten] | eintragen · abziehen · Arbeitsgang · Schluss [Rahmen: abziehen, abschließend eintragen]	fortsetzen den laufenden Posten eintragen und halten | den Arbeitsgang an bezeichnete Stelle halten | diesen Posten auswringen | diesen Posten nach vorgeschriebenes Maß halten | diesen Posten hineingeben | diesen Posten länger halten | den Arbeitsgang eintragen und abziehen; Schritt schließen	den laufenden Posten weiter eintragen und halten	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H3-S002	f11r	H3	f11r.1	abgebildete dicht blau blühende Kronenpflanze	1	PROC033	halten · Arbeitsgang · dieser Posten · eintragen · dieser Posten [Rahmen: halten, eintragen]	diesen Posten halten und eintragen	den laufenden Posten im Arbeitsgang halten und eintragen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H3-S003	f11r	H3	f11r.4	abgebildete dicht blau blühende Kronenpflanze	5	PROC034 > PROC019 > PROC035 > PROC019 > PROC009	fortsetzen | dieser Posten | zuführen · dieser Posten [Rahmen: zugeben] | dieser Posten | vorgeschriebenes Maß	fortsetzen | dieser Posten | diesen Posten zuführen | dieser Posten | vorgeschriebenes Maß	den laufenden Posten weiter zugeben	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H3-S004	f11r	H3	f11r.7	abgebildete dicht blau blühende Kronenpflanze	4	PROC036 > PROC037 > PROC014 > PROC019	danach · dieser Posten | ansetzen · fortsetzen [Rahmen: einsetzen] | bereit · dieser Posten | dieser Posten	danach · dieser Posten | fortsetzen den laufenden Posten ansetzen | bereit · dieser Posten | dieser Posten	danach den laufenden Posten weiter nach vorgeschriebenem Maß bis bereit einsetzen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
H4-S001	f55v	H4	f55v.5	abgebildete breitblättrige rispige Pflanze	5	PROC038 > PROC009 > PROC039 > PROC040 > PROC041	ansetzen · vorgeschriebenes Maß [Rahmen: einleiten, einsetzen] | vorgeschriebenes Maß | dieser Posten · zuführen · Portion [Rahmen: dosiert zugeben] | dieser Posten · zuführen · Portion [Rahmen: zugeben] | Arbeitsgang · Schluss	den laufenden Posten nach Sollmaß ansetzen | vorgeschriebenes Maß | diesen Posten nach Portion zuführen | diesen Posten nach Portion zuführen | Arbeitsgang; Schritt schließen	den laufenden Posten nach vorgeschriebenem Maß einsetzen	COMPOSITION_PLUS_VISIBLE_OWNER_PARAPHRASE	YES
