overlay_id	page	locus	token_ordinal	surface	reading_id	current_layer	dispatch_scope	active_position_id	old_v99r4_meaning_de	new_v99r5_spoken_render_de	formal_stage_sequence	workflow_closure	modality_class	renderer_mode	inherited_v48_gloss_de	working_model_score_0_100_not_probability	working_model_level	positive_evidence_de	counterevidence_de	semantic_scope	historical_confirmation	component_relation_credit	token_retained	ordinal_retained
G732-P0001	f100r	f100r.13	3	qokeey	qokeey#GLOBAL	GLOBAL_V48_DEFAULT	GLOBAL_SURFACE	NONE	heiß am Ende des Grades	vollständig erhitzt	END	OPEN	HEISS	SINGLE_DIRECT	heiß am Ende des Grades	71	W3_SOLID_WORKING_THEORY	V48-Quelle GDT647:FAMILY_MIGRATION mit Staerke EXACT_QUALITY_SUBDEGREE_FAMILY und Scope KNOWN_EXACT_WHOLE; 280 exakte ZL3b-Vorkommen auf 70 Seiten und 247 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0	1	1
G732-P0002	f100r	f100r.13	4	oteey	oteey#GLOBAL	GLOBAL_V48_DEFAULT	GLOBAL_SURFACE	NONE	kalter Ansatz am Ende des Grades	vollständig abgekühlter Ansatz	END	OPEN	KALT	SINGLE_DIRECT	kalter Ansatz am Ende des Grades	71	W3_SOLID_WORKING_THEORY	V48-Quelle GDT647:FAMILY_MIGRATION mit Staerke EXACT_QUALITY_SUBDEGREE_FAMILY und Scope KNOWN_EXACT_WHOLE; 100 exakte ZL3b-Vorkommen auf 42 Seiten und 93 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0	1	1
G732-P0003	f100r	f100r.14	3	qoteey	qoteey#GLOBAL	GLOBAL_V48_DEFAULT	GLOBAL_SURFACE	NONE	kalt am Ende des Grades	vollständig abgekühlt	END	OPEN	KALT	SINGLE_DIRECT	kalt am Ende des Grades	71	W3_SOLID_WORKING_THEORY	V48-Quelle GDT647:FAMILY_MIGRATION mit Staerke EXACT_QUALITY_SUBDEGREE_FAMILY und Scope KNOWN_EXACT_WHOLE; 40 exakte ZL3b-Vorkommen auf 28 Seiten und 38 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0	1	1
G732-P0004	f100r	f100r.17	1	shockhey	shockhey#GLOBAL	GLOBAL_V48_DEFAULT	GLOBAL_SURFACE	NONE	Arzneikompositum im Feuchtansatz in der Gradmitte	Arzneikompositum im Feuchtansatz, Mittelstufe	MIDDLE	OPEN	FEUCHT	SINGLE_COMPOSITE_NEUTRAL_STAGE	Arzneikompositum im Feuchtansatz in der Gradmitte	61	W3_SOLID_WORKING_THEORY	V48-Quelle GDT652:STRONG_COMPONENT_GRID mit Staerke EXACT_WHOLE_FAMILY_EXTENSION und Scope KNOWN_EXACT_WHOLE; 3 exakte ZL3b-Vorkommen auf 3 Seiten und 3 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0	1	1
G732-P0005	f100v	f100v.14	7	oteey	oteey#GLOBAL	GLOBAL_V48_DEFAULT	GLOBAL_SURFACE	NONE	kalter Ansatz am Ende des Grades	vollständig abgekühlter Ansatz	END	OPEN	KALT	SINGLE_DIRECT	kalter Ansatz am Ende des Grades	71	W3_SOLID_WORKING_THEORY	V48-Quelle GDT647:FAMILY_MIGRATION mit Staerke EXACT_QUALITY_SUBDEGREE_FAMILY und Scope KNOWN_EXACT_WHOLE; 100 exakte ZL3b-Vorkommen auf 42 Seiten und 93 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0	1	1
G732-P0006	f100v	f100v.17	1	chockhey	chockhey#GLOBAL	GLOBAL_V48_DEFAULT	GLOBAL_SURFACE	NONE	Arzneikompositum im Trockenansatz in der Gradmitte	Arzneikompositum im Trockenansatz, Mittelstufe	MIDDLE	OPEN	TROCKEN	SINGLE_COMPOSITE_NEUTRAL_STAGE	Arzneikompositum im Trockenansatz in der Gradmitte	61	W3_SOLID_WORKING_THEORY	V48-Quelle GDT652:STRONG_COMPONENT_GRID mit Staerke EXACT_WHOLE_FAMILY_EXTENSION und Scope KNOWN_EXACT_WHOLE; 4 exakte ZL3b-Vorkommen auf 4 Seiten und 4 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0	1	1
G732-P0007	f100v	f100v.19	7	chckhey	chckhey#GLOBAL	GLOBAL_V48_DEFAULT	GLOBAL_SURFACE	NONE	Arzneikompositum: trocken, Gradmitte	Arzneikompositum: bis zur Mittelstufe getrocknet	MIDDLE	OPEN	TROCKEN	SINGLE_DIRECT	Arzneikompositum: trocken, Gradmitte	71	W3_SOLID_WORKING_THEORY	V48-Quelle GDT651:REVISED_FOUR_SHELL_CKH_GRID mit Staerke EXACT_WHOLE_FAMILY_REVISION und Scope KNOWN_EXACT_WHOLE; 29 exakte ZL3b-Vorkommen auf 26 Seiten und 29 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0	1	1
G732-P0008	f100v	f100v.20	3	qokeey	qokeey#GLOBAL	GLOBAL_V48_DEFAULT	GLOBAL_SURFACE	NONE	heiß am Ende des Grades	vollständig erhitzt	END	OPEN	HEISS	SINGLE_DIRECT	heiß am Ende des Grades	71	W3_SOLID_WORKING_THEORY	V48-Quelle GDT647:FAMILY_MIGRATION mit Staerke EXACT_QUALITY_SUBDEGREE_FAMILY und Scope KNOWN_EXACT_WHOLE; 280 exakte ZL3b-Vorkommen auf 70 Seiten und 247 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0	1	1
G732-P0009	f102r1	f102r1.11	7	shockhey	shockhey#GLOBAL	GLOBAL_V48_DEFAULT	GLOBAL_SURFACE	NONE	Arzneikompositum im Feuchtansatz in der Gradmitte	Arzneikompositum im Feuchtansatz, Mittelstufe	MIDDLE	OPEN	FEUCHT	SINGLE_COMPOSITE_NEUTRAL_STAGE	Arzneikompositum im Feuchtansatz in der Gradmitte	61	W3_SOLID_WORKING_THEORY	V48-Quelle GDT652:STRONG_COMPONENT_GRID mit Staerke EXACT_WHOLE_FAMILY_EXTENSION und Scope KNOWN_EXACT_WHOLE; 3 exakte ZL3b-Vorkommen auf 3 Seiten und 3 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0	1	1
G732-P0010	f102r1	f102r1.13	4	qokey	qokey#GLOBAL	GLOBAL_V48_DEFAULT	GLOBAL_SURFACE	NONE	heiß in der Mitte des Grades	bis zur Mittelstufe erhitzt	MIDDLE	OPEN	HEISS	SINGLE_DIRECT	heiß in der Mitte des Grades	71	W3_SOLID_WORKING_THEORY	V48-Quelle GDT647:FAMILY_MIGRATION mit Staerke EXACT_QUALITY_SUBDEGREE_FAMILY und Scope KNOWN_EXACT_WHOLE; 96 exakte ZL3b-Vorkommen auf 44 Seiten und 95 Zeilen	keine unabhaengige Klartextzuordnung; Bedeutung bleibt Arbeitstheorie	KNOWN_EXACT_WHOLE	H0_NONE	0	1	1
