grouping	class	reading_rows	licensed_positions	surfaces
RENDERER_MODE	CLAUSE_LOCAL_MULTI_STAGE	4	38	cheeky|cheeytal|chekal|shekal
RENDERER_MODE	MIXED_NEUTRAL_STAGE	82	604	chakal|cheokal|cheokedy|cheokeey|cheokey|cheoky|cheoty|chkal|chokal|chokedy|chokeedy|chokeey|chokey|chotal|chtal|chty|kchal|kchedy|kcheedy|kcheey|kchy|kshdy|kshedy|ksheey|kshey|kshy|okchal|okchdy|okcheey|okchey|okchy|okshal|okshdy|okshedy|okshey|okshy|otchal|otchedy|otcheedy|otcheey|otshal|otshdy|otshedy|otshy|qokchal|qokcheedy|qokcheey|qokchey|qokshdy|qokshedy|qoksheedy|qokshey|qokshy|qotchdy|qotcheedy|qotcheey|qotchey|qotchy|qotshdy|qotshedy|qotshey|qotshy|schokey|sheokeedy|sheokey|sheoky|sheotal|shokal|shokeey|shokey|shoky|shtal|solkchy|tchal|tcheey|tchey|tchy|tshdy|tshedy|tsheey|tshy|ykchy
RENDERER_MODE	NO_MODALITY_NEUTRAL_STAGE	9	58	ckhdy|ckhedy|ckheey|ckhey|ockhedy|ockhey|ockhy|oeeal|yckhey
RENDERER_MODE	SINGLE_COMPOSITE_NEUTRAL_STAGE	9	21	cheockhey|chockhedy|chockhey|sheockhey|sheockhy|sheoy|shockhey|shockhy|ychoy
RENDERER_MODE	SINGLE_DIRECT	71	1710	alchey|chckhedy|chckheey|chckhey|chdal|chdaly|cheal|checkhdy|checkhey|chedal|cheeal|cheedy|cheey|chey|chy|dalchedy|kedy|keedy|keey|key|ky|lkeedy|lkeey|ochedar|okal|okdy|okeal|okeedy|okeey|okey|oky|olteedy|otdy|oteal|oteeal|oteedy|oteey|otey|qokdy|qokeal|qokeeal|qokeedy|qokeey|qokey|qoky|qotal|qotdy|qoteal|qotedy|qoteedy|qoteey|qotey|qoty|shckhdy|shckhedy|shckhey|sheal|sheckhedy|sheckhey|sheeal|sheedy|shey|sokeedy|tedy|teedy|teey|tey|ty|ykeedy|ysheey|ytal
CURRENT_LAYER	ACTIVE_V99_LEXICAL_CORE	13	30	cheey|chey|chty|chy|keey|okal|okeey|oky|oteedy|qokeedy|qoty|sheedy|shey
CURRENT_LAYER	GLOBAL_V48_DEFAULT	162	2401	alchey|chakal|chckhedy|chckheey|chckhey|chdal|chdaly|cheal|checkhdy|checkhey|chedal|cheeal|cheedy|cheeky|cheeytal|chekal|cheockhey|cheokal|cheokedy|cheokeey|cheokey|cheoky|cheoty|chkal|chockhedy|chockhey|chokal|chokedy|chokeedy|chokeey|chokey|chotal|chtal|ckhdy|ckhedy|ckheey|ckhey|dalchedy|kchal|kchedy|kcheedy|kcheey|kchy|kedy|keedy|key|kshdy|kshedy|ksheey|kshey|kshy|ky|lkeedy|lkeey|ochedar|ockhedy|ockhey|ockhy|oeeal|okchal|okchdy|okcheey|okchey|okchy|okdy|okeal|okeedy|okey|okshal|okshdy|okshedy|okshey|okshy|olteedy|otchal|otchedy|otcheedy|otcheey|otdy|oteal|oteeal|oteey|otey|otshal|otshdy|otshedy|otshy|qokchal|qokcheedy|qokcheey|qokchey|qokdy|qokeal|qokeeal|qokeey|qokey|qokshdy|qokshedy|qoksheedy|qokshey|qokshy|qoky|qotal|qotchdy|qotcheedy|qotcheey|qotchey|qotchy|qotdy|qoteal|qotedy|qoteedy|qoteey|qotey|qotshdy|qotshedy|qotshey|qotshy|schokey|shckhdy|shckhedy|shckhey|sheal|sheckhedy|sheckhey|sheeal|shekal|sheockhey|sheockhy|sheokeedy|sheokey|sheoky|sheotal|sheoy|shockhey|shockhy|shokal|shokeey|shokey|shoky|shtal|sokeedy|solkchy|tchal|tcheey|tchey|tchy|tedy|teedy|teey|tey|tshdy|tshedy|tsheey|tshy|ty|ychoy|yckhey|ykchy|ykeedy|ysheey|ytal
MODALITY_CLASS	FEUCHT	15	65	shckhdy|shckhedy|shckhey|sheal|sheckhedy|sheckhey|sheeal|sheedy|sheockhey|sheockhy|sheoy|shey|shockhey|shockhy|ysheey
MODALITY_CLASS	FEUCHT>HEISS	5	16	shekal|sheokeedy|sheokey|sheoky|shokal
MODALITY_CLASS	FEUCHT>KALT	2	3	sheotal|shtal
MODALITY_CLASS	HEISS	23	926	kedy|keedy|keey|key|ky|lkeedy|lkeey|okal|okdy|okeal|okeedy|okeey|okey|oky|qokdy|qokeal|qokeeal|qokeedy|qokeey|qokey|qoky|sokeedy|ykeedy
MODALITY_CLASS	HEISS>FEUCHT	18	90	kshdy|kshedy|ksheey|kshey|kshy|okshal|okshdy|okshedy|okshey|okshy|qokshdy|qokshedy|qoksheedy|qokshey|qokshy|shokeey|shokey|shoky
MODALITY_CLASS	HEISS>TROCKEN	21	208	chokedy|chokeedy|chokeey|chokey|kchal|kchedy|kcheedy|kcheey|kchy|okchal|okchdy|okcheey|okchey|okchy|qokchal|qokcheedy|qokcheey|qokchey|schokey|solkchy|ykchy
MODALITY_CLASS	KALT	21	533	olteedy|otdy|oteal|oteeal|oteedy|oteey|otey|qotal|qotdy|qoteal|qotedy|qoteedy|qoteey|qotey|qoty|tedy|teedy|teey|tey|ty|ytal
MODALITY_CLASS	KALT>FEUCHT	12	47	otshal|otshdy|otshedy|otshy|qotshdy|qotshedy|qotshey|qotshy|tshdy|tshedy|tsheey|tshy
MODALITY_CLASS	KALT>TROCKEN	13	197	otchal|otchedy|otcheedy|otcheey|qotchdy|qotcheedy|qotcheey|qotchey|qotchy|tchal|tcheey|tchey|tchy
MODALITY_CLASS	NONE	9	58	ckhdy|ckhedy|ckheey|ckhey|ockhedy|ockhey|ockhy|oeeal|yckhey
MODALITY_CLASS	TROCKEN	21	207	alchey|chckhedy|chckheey|chckhey|chdal|chdaly|cheal|checkhdy|checkhey|chedal|cheeal|cheedy|cheey|cheockhey|chey|chockhedy|chockhey|chy|dalchedy|ochedar|ychoy
MODALITY_CLASS	TROCKEN>HEISS	10	64	chakal|cheeky|chekal|cheokal|cheokedy|cheokeey|cheokey|cheoky|chkal|chokal
MODALITY_CLASS	TROCKEN>KALT	5	17	cheeytal|cheoty|chotal|chtal|chty
STAGE_SEQUENCE	BEGIN	64	644	chakal|chdal|chdaly|checkhdy|cheokal|cheoky|cheoty|chkal|chokal|chotal|chtal|chty|chy|ckhdy|kchal|kchy|kshdy|kshy|ky|ockhy|okal|okchal|okchdy|okchy|okdy|okshal|okshdy|okshy|oky|otchal|otdy|otshal|otshdy|otshy|qokchal|qokdy|qokshdy|qokshy|qoky|qotal|qotchdy|qotchy|qotdy|qotshdy|qotshy|qoty|shckhdy|sheockhy|sheoky|sheotal|sheoy|shockhy|shokal|shoky|shtal|solkchy|tchal|tchy|tshdy|tshy|ty|ychoy|ykchy|ytal
STAGE_SEQUENCE	END	46	928	chckheey|cheeal|cheedy|cheey|cheokeey|chokeedy|chokeey|ckheey|kcheedy|kcheey|keedy|keey|ksheey|lkeedy|lkeey|oeeal|okcheey|okeedy|okeey|olteedy|otcheedy|otcheey|oteeal|oteedy|oteey|qokcheedy|qokcheey|qokeeal|qokeedy|qokeey|qoksheedy|qotcheedy|qotcheey|qoteedy|qoteey|sheeal|sheedy|sheokeedy|shokeey|sokeedy|tcheey|teedy|teey|tsheey|ykeedy|ysheey
STAGE_SEQUENCE	END>BEGIN	2	24	cheeky|cheeytal
STAGE_SEQUENCE	MIDDLE	61	821	alchey|chckhedy|chckhey|cheal|checkhey|chedal|cheockhey|cheokedy|cheokey|chey|chockhedy|chockhey|chokedy|chokey|ckhedy|ckhey|dalchedy|kchedy|kedy|key|kshedy|kshey|ochedar|ockhedy|ockhey|okchey|okeal|okey|okshedy|okshey|otchedy|oteal|otey|otshedy|qokchey|qokeal|qokey|qokshedy|qokshey|qotchey|qoteal|qotedy|qotey|qotshedy|qotshey|schokey|shckhedy|shckhey|sheal|sheckhedy|sheckhey|sheockhey|sheokey|shey|shockhey|shokey|tchey|tedy|tey|tshedy|yckhey
STAGE_SEQUENCE	MIDDLE>BEGIN	2	14	chekal|shekal
WORKFLOW_CLOSURE	CLOSED	49	723	chckhedy|checkhdy|cheedy|cheokedy|chockhedy|chokedy|chokeedy|ckhdy|ckhedy|dalchedy|kchedy|kcheedy|kedy|keedy|kshdy|kshedy|lkeedy|ockhedy|okchdy|okdy|okeedy|okshdy|okshedy|otchedy|otcheedy|otdy|otshdy|otshedy|qokcheedy|qokdy|qokshdy|qokshedy|qoksheedy|qotchdy|qotcheedy|qotdy|qotedy|qoteedy|qotshdy|qotshedy|shckhdy|shckhedy|sheckhedy|sheokeedy|tedy|teedy|tshdy|tshedy|ykeedy
WORKFLOW_CLOSURE	FINISHED	2	5	olteedy|sokeedy
WORKFLOW_CLOSURE	OPEN	124	1703	alchey|chakal|chckheey|chckhey|chdal|chdaly|cheal|checkhey|chedal|cheeal|cheeky|cheey|cheeytal|chekal|cheockhey|cheokal|cheokeey|cheokey|cheoky|cheoty|chey|chkal|chockhey|chokal|chokeey|chokey|chotal|chtal|chty|chy|ckheey|ckhey|kchal|kcheey|kchy|keey|key|ksheey|kshey|kshy|ky|lkeey|ochedar|ockhey|ockhy|oeeal|okal|okchal|okcheey|okchey|okchy|okeal|okeey|okey|okshal|okshey|okshy|oky|otchal|otcheey|oteal|oteeal|oteedy|oteey|otey|otshal|otshy|qokchal|qokcheey|qokchey|qokeal|qokeeal|qokeedy|qokeey|qokey|qokshey|qokshy|qoky|qotal|qotcheey|qotchey|qotchy|qoteal|qoteey|qotey|qotshey|qotshy|qoty|schokey|shckhey|sheal|sheckhey|sheeal|sheedy|shekal|sheockhey|sheockhy|sheokey|sheoky|sheotal|sheoy|shey|shockhey|shockhy|shokal|shokeey|shokey|shoky|shtal|solkchy|tchal|tcheey|tchey|tchy|teey|tey|tsheey|tshy|ty|ychoy|yckhey|ykchy|ysheey|ytal
