page	locus	section	language	hand	token_count	unknown_tokens	complete_v48	target_count	global_target_count	active_target_count	target_ordinals	target_surfaces	target_reading_ids	formal_grade_tags	zl3b_line	v99r4_projected_token_glosses_de	v99r5_spoken_token_glosses_de	v99r4_target_glosses_de	v99r5_spoken_target_glosses_de	v99r4_render_de	v99r5_spoken_render_de	non_target_cells_unchanged	exact_tokens_and_ordinals_retained
f100r	f100r.13	P	A	1	8	4	0	2	2	0	3|4	qokeey|oteey	qokeey#GLOBAL|oteey#GLOBAL	END|OPEN | END|OPEN	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol	[dsheor:?] | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | heiß am Ende des Grades | kalter Ansatz am Ende des Grades | [ykeeodain:?] | [rorarydaiin:?] | Grad-/Maßwert III | [deeomchol:?]	[dsheor:?] | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | vollständig erhitzt | vollständig abgekühlter Ansatz | [ykeeodain:?] | [rorarydaiin:?] | Grad-/Maßwert III | [deeomchol:?]	heiß am Ende des Grades | kalter Ansatz am Ende des Grades	vollständig erhitzt | vollständig abgekühlter Ansatz	[dsheor:?]; CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I; heiß am Ende des Grades; kalter Ansatz am Ende des Grades; [ykeeodain:?]; [rorarydaiin:?]; Grad-/Maßwert III; [deeomchol:?]	[dsheor:?]; CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I; vollständig erhitzt; vollständig abgekühlter Ansatz; [ykeeodain:?]; [rorarydaiin:?]; Grad-/Maßwert III; [deeomchol:?]	6	1
f100r	f100r.14	P	A	1	10	5	0	1	1	0	3	qoteey	qoteey#GLOBAL	END|OPEN	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	Blüten-/Fruchtstand; reproduktiver Teil | [chkeey:?] | kalt am Ende des Grades | [qokeody:?] | [qoteold:?] | erhitze den Drogenstoff bis zur Mittelstufe | [so:?] | Wurzel, Typ/Charge III | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [ykeeeo:?]	Blüten-/Fruchtstand; reproduktiver Teil | [chkeey:?] | vollständig abgekühlt | [qokeody:?] | [qoteold:?] | erhitze den Drogenstoff bis zur Mittelstufe | [so:?] | Wurzel, Typ/Charge III | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [ykeeeo:?]	kalt am Ende des Grades	vollständig abgekühlt	Blüten-/Fruchtstand; reproduktiver Teil; [chkeey:?]; kalt am Ende des Grades; [qokeody:?]; [qoteold:?]; erhitze den Drogenstoff bis zur Mittelstufe; [so:?]; Wurzel, Typ/Charge III; Rohstoffklasse I im Ansatz, kalt am Gradanfang; [ykeeeo:?]	Blüten-/Fruchtstand; reproduktiver Teil; [chkeey:?]; vollständig abgekühlt; [qokeody:?]; [qoteold:?]; erhitze den Drogenstoff bis zur Mittelstufe; [so:?]; Wurzel, Typ/Charge III; Rohstoffklasse I im Ansatz, kalt am Gradanfang; [ykeeeo:?]	9	1
f100r	f100r.17	P	A	1	1	0	1	1	1	0	1	shockhey	shockhey#GLOBAL	MIDDLE|OPEN	shockhey	Arzneikompositum im Feuchtansatz in der Gradmitte	Arzneikompositum im Feuchtansatz, Mittelstufe	Arzneikompositum im Feuchtansatz in der Gradmitte	Arzneikompositum im Feuchtansatz, Mittelstufe	Arzneikompositum im Feuchtansatz in der Gradmitte	Arzneikompositum im Feuchtansatz, Mittelstufe	0	1
f100v	f100v.14	P	A	1	9	4	0	1	1	0	7	oteey	oteey#GLOBAL	END|OPEN	deey sheocphy qoteody ckhoor ar chor oteey daiin qokomo	die Enddosis abmessen | [sheocphy:?] | [qoteody:?] | [ckhoor:?] | Drogenfraktion I | Pflanzen-/Reproduktionsteil | kalter Ansatz am Ende des Grades | Grad-/Maßwert III | [qokomo:?]	die Enddosis abmessen | [sheocphy:?] | [qoteody:?] | [ckhoor:?] | Drogenfraktion I | Pflanzen-/Reproduktionsteil | vollständig abgekühlter Ansatz | Grad-/Maßwert III | [qokomo:?]	kalter Ansatz am Ende des Grades	vollständig abgekühlter Ansatz	die Enddosis abmessen; [sheocphy:?]; [qoteody:?]; [ckhoor:?]; Drogenfraktion I; Pflanzen-/Reproduktionsteil; kalter Ansatz am Ende des Grades; Grad-/Maßwert III; [qokomo:?]	die Enddosis abmessen; [sheocphy:?]; [qoteody:?]; [ckhoor:?]; Drogenfraktion I; Pflanzen-/Reproduktionsteil; vollständig abgekühlter Ansatz; Grad-/Maßwert III; [qokomo:?]	8	1
f100v	f100v.17	P	A	1	8	3	0	1	1	0	1	chockhey	chockhey#GLOBAL	MIDDLE|OPEN	chockhey sholkcheol qokeol okol chol chotor chso solcthy	Arzneikompositum im Trockenansatz in der Gradmitte | [sholkcheol:?] | erhitze den Drogenstoff bis zur Mittelstufe | heißer Ansatzstoff | trocken; nominal trockenes Gut/Material | eine Portion abgekühlten Trockenansatzes | [chso:?] | [solcthy:?]	Arzneikompositum im Trockenansatz, Mittelstufe | [sholkcheol:?] | erhitze den Drogenstoff bis zur Mittelstufe | heißer Ansatzstoff | trocken; nominal trockenes Gut/Material | eine Portion abgekühlten Trockenansatzes | [chso:?] | [solcthy:?]	Arzneikompositum im Trockenansatz in der Gradmitte	Arzneikompositum im Trockenansatz, Mittelstufe	Arzneikompositum im Trockenansatz in der Gradmitte; [sholkcheol:?]; erhitze den Drogenstoff bis zur Mittelstufe; heißer Ansatzstoff; trocken; nominal trockenes Gut/Material; eine Portion abgekühlten Trockenansatzes; [chso:?]; [solcthy:?]	Arzneikompositum im Trockenansatz, Mittelstufe; [sholkcheol:?]; erhitze den Drogenstoff bis zur Mittelstufe; heißer Ansatzstoff; trocken; nominal trockenes Gut/Material; eine Portion abgekühlten Trockenansatzes; [chso:?]; [solcthy:?]	7	1
f100v	f100v.19	P	A	1	8	5	0	1	1	0	7	chckhey	chckhey#GLOBAL	MIDDLE|OPEN	sain cheokeos chockhy chocthey keody choor chckhey du	Saatgut, Typ/Charge II | [cheokeos:?] | Arzneikompositum im Trockenansatz am Gradanfang | [chocthey:?] | [keody:?] | [choor:?] | Arzneikompositum: trocken, Gradmitte | [du:?]	Saatgut, Typ/Charge II | [cheokeos:?] | Arzneikompositum im Trockenansatz am Gradanfang | [chocthey:?] | [keody:?] | [choor:?] | Arzneikompositum: bis zur Mittelstufe getrocknet | [du:?]	Arzneikompositum: trocken, Gradmitte	Arzneikompositum: bis zur Mittelstufe getrocknet	Saatgut, Typ/Charge II; [cheokeos:?]; Arzneikompositum im Trockenansatz am Gradanfang; [chocthey:?]; [keody:?]; [choor:?]; Arzneikompositum: trocken, Gradmitte; [du:?]	Saatgut, Typ/Charge II; [cheokeos:?]; Arzneikompositum im Trockenansatz am Gradanfang; [chocthey:?]; [keody:?]; [choor:?]; Arzneikompositum: bis zur Mittelstufe getrocknet; [du:?]	7	1
f100v	f100v.20	P	A	1	8	4	0	1	1	0	3	qokeey	qokeey#GLOBAL	END|OPEN	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	trockne hiervon den Ansatz bis zur Mittelstufe und erwärme ihn leicht | [shokeesy:?] | heiß am Ende des Grades | [chokeol:?] | [saraloaly:?] | trockener Drogenteil | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [chockhar:?]	trockne hiervon den Ansatz bis zur Mittelstufe und erwärme ihn leicht | [shokeesy:?] | vollständig erhitzt | [chokeol:?] | [saraloaly:?] | trockener Drogenteil | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [chockhar:?]	heiß am Ende des Grades	vollständig erhitzt	trockne hiervon den Ansatz bis zur Mittelstufe und erwärme ihn leicht; [shokeesy:?]; heiß am Ende des Grades; [chokeol:?]; [saraloaly:?]; trockener Drogenteil; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [chockhar:?]	trockne hiervon den Ansatz bis zur Mittelstufe und erwärme ihn leicht; [shokeesy:?]; vollständig erhitzt; [chokeol:?]; [saraloaly:?]; trockener Drogenteil; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [chockhar:?]	7	1
f102r1	f102r1.11	P	A	1	8	4	0	1	1	0	7	shockhey	shockhey#GLOBAL	MIDDLE|OPEN	dcheo qockhy sol sheey okeody qokeodol shockhey oleeol	[dcheo:?] | bereite einen Arzneikompositum-Ansatz in Grundstufe | Samenmaterial/Saatgut | feucht am Ende des Grades | [okeody:?] | [qokeodol:?] | Arzneikompositum im Feuchtansatz in der Gradmitte | [oleeol:?]	[dcheo:?] | bereite einen Arzneikompositum-Ansatz in Grundstufe | Samenmaterial/Saatgut | feucht am Ende des Grades | [okeody:?] | [qokeodol:?] | Arzneikompositum im Feuchtansatz, Mittelstufe | [oleeol:?]	Arzneikompositum im Feuchtansatz in der Gradmitte	Arzneikompositum im Feuchtansatz, Mittelstufe	[dcheo:?]; bereite einen Arzneikompositum-Ansatz in Grundstufe; Samenmaterial/Saatgut; feucht am Ende des Grades; [okeody:?]; [qokeodol:?]; Arzneikompositum im Feuchtansatz in der Gradmitte; [oleeol:?]	[dcheo:?]; bereite einen Arzneikompositum-Ansatz in Grundstufe; Samenmaterial/Saatgut; feucht am Ende des Grades; [okeody:?]; [qokeodol:?]; Arzneikompositum im Feuchtansatz, Mittelstufe; [oleeol:?]	7	1
f102r1	f102r1.13	P	A	1	7	4	0	2	2	0	4|5	qokey|okshey	qokey#GLOBAL|okshey#GLOBAL	MIDDLE|OPEN | MIDDLE|OPEN	teesody qoeol olcheor qokey okshey qokeol sheofoly	[teesody:?] | [qoeol:?] | [olcheor:?] | heiß in der Mitte des Grades | heiß-feuchter Ansatz in der Mitte des Grades | erhitze den Drogenstoff bis zur Mittelstufe | [sheofoly:?]	[teesody:?] | [qoeol:?] | [olcheor:?] | bis zur Mittelstufe erhitzt | heiß-feuchter Ansatz, Mittelstufe | erhitze den Drogenstoff bis zur Mittelstufe | [sheofoly:?]	heiß in der Mitte des Grades | heiß-feuchter Ansatz in der Mitte des Grades	bis zur Mittelstufe erhitzt | heiß-feuchter Ansatz, Mittelstufe	[teesody:?]; [qoeol:?]; [olcheor:?]; heiß in der Mitte des Grades; heiß-feuchter Ansatz in der Mitte des Grades; erhitze den Drogenstoff bis zur Mittelstufe; [sheofoly:?]	[teesody:?]; [qoeol:?]; [olcheor:?]; bis zur Mittelstufe erhitzt; heiß-feuchter Ansatz, Mittelstufe; erhitze den Drogenstoff bis zur Mittelstufe; [sheofoly:?]	5	1
f102r1	f102r1.9	P	A	1	7	3	0	1	1	0	6	qokshdy	qokshdy#GLOBAL	BEGIN|CLOSED	daiin orsheoldy qokeol oteeody lshodykeodal qokshdy sy	Grad-/Maßwert III | [orsheoldy:?] | erhitze den Drogenstoff bis zur Mittelstufe | [oteeody:?] | [lshodykeodal:?] | heiß und feucht am Anfang des Grades, abgeschlossen | Saatgut in Grundform	Grad-/Maßwert III | [orsheoldy:?] | erhitze den Drogenstoff bis zur Mittelstufe | [oteeody:?] | [lshodykeodal:?] | heiß und feucht, Anfangsstufe erreicht; abgeschlossen | Saatgut in Grundform	heiß und feucht am Anfang des Grades, abgeschlossen	heiß und feucht, Anfangsstufe erreicht; abgeschlossen	Grad-/Maßwert III; [orsheoldy:?]; erhitze den Drogenstoff bis zur Mittelstufe; [oteeody:?]; [lshodykeodal:?]; heiß und feucht am Anfang des Grades, abgeschlossen; Saatgut in Grundform	Grad-/Maßwert III; [orsheoldy:?]; erhitze den Drogenstoff bis zur Mittelstufe; [oteeody:?]; [lshodykeodal:?]; heiß und feucht, Anfangsstufe erreicht; abgeschlossen; Saatgut in Grundform	6	1
