rank	page	locus	section	language	hand	token_count	unknown_tokens	complete_v48	target_count	global_target_count	active_target_count	target_ordinals	target_surfaces	target_reading_ids	formal_grade_tags	zl3b_line	v99r4_projected_token_glosses_de	v99r5_spoken_token_glosses_de	v99r4_target_glosses_de	v99r5_spoken_target_glosses_de	v99r4_render_de	v99r5_spoken_render_de	non_target_cells_unchanged	exact_tokens_and_ordinals_retained	residual_grade_cell_count	residual_grade_cells_de
1	f108r	f108r.6	S	B	3	13	0	1	5	5	0	4|5|7|9|10	qokeey|qokeey|sheoky|qotey|qokchey	qokeey#GLOBAL|qokeey#GLOBAL|sheoky#GLOBAL|qotey#GLOBAL|qokchey#GLOBAL	END|OPEN | END|OPEN | BEGIN|OPEN | MIDDLE|OPEN | MIDDLE|OPEN	ol cheol qo qokeey qokeey qokeedy sheoky otedy qotey qokchey chdar aiin y	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenstoff | nehmen | heiß am Ende des Grades | heiß am Ende des Grades | heiß am Ende des Grades, abgeschlossen | feucht angesetzte heiße Zubereitung am Gradanfang | kalter Ansatz in der Mitte des Grades, abgeschlossen | kalt in der Mitte des Grades | heiß und trocken in der Mitte des Grades | abgemessene Trockenfraktion I, Anfangsstufe | Menge III | Eintrag abgeschlossen	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockener Drogenstoff | nehmen | vollständig erhitzt | vollständig erhitzt | heiß am Ende des Grades, abgeschlossen | feucht angesetzte heiße Zubereitung, Anfangsstufe | kalter Ansatz in der Mitte des Grades, abgeschlossen | bis zur Mittelstufe abgekühlt | heiß und trocken, Mittelstufe | abgemessene Trockenfraktion I, Anfangsstufe | Menge III | Eintrag abgeschlossen	heiß am Ende des Grades | heiß am Ende des Grades | feucht angesetzte heiße Zubereitung am Gradanfang | kalt in der Mitte des Grades | heiß und trocken in der Mitte des Grades	vollständig erhitzt | vollständig erhitzt | feucht angesetzte heiße Zubereitung, Anfangsstufe | bis zur Mittelstufe abgekühlt | heiß und trocken, Mittelstufe	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockener Drogenstoff; nehmen; heiß am Ende des Grades; heiß am Ende des Grades; heiß am Ende des Grades, abgeschlossen; feucht angesetzte heiße Zubereitung am Gradanfang; kalter Ansatz in der Mitte des Grades, abgeschlossen; kalt in der Mitte des Grades; heiß und trocken in der Mitte des Grades; abgemessene Trockenfraktion I, Anfangsstufe; Menge III; Eintrag abgeschlossen	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockener Drogenstoff; nehmen; vollständig erhitzt; vollständig erhitzt; heiß am Ende des Grades, abgeschlossen; feucht angesetzte heiße Zubereitung, Anfangsstufe; kalter Ansatz in der Mitte des Grades, abgeschlossen; bis zur Mittelstufe abgekühlt; heiß und trocken, Mittelstufe; abgemessene Trockenfraktion I, Anfangsstufe; Menge III; Eintrag abgeschlossen	8	1	2	6:heiß am Ende des Grades, abgeschlossen [TARGET_ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS] | 8:kalter Ansatz in der Mitte des Grades, abgeschlossen [OTHER_ACTIVE_SURFACE_OUTSIDE_EXACT_SCOPE]
2	f111r	f111r.8	S	B	3	12	0	1	5	5	0	5|6|9|11|12	cheedy|qokeey|otshedy|lkeey|qotchdy	cheedy#GLOBAL|qokeey#GLOBAL|otshedy#GLOBAL|lkeey#GLOBAL|qotchdy#GLOBAL	END|CLOSED | END|OPEN | MIDDLE|CLOSED | END|OPEN | BEGIN|CLOSED	daiin o chedain daiin cheedy qokeey qokedy chy otshedy lkeeol lkeey qotchdy	Grad-/Maßwert III | Ansatzwasser | zwei Dosen bis zur Mittelstufe getrockneter Droge | Grad-/Maßwert III | trocken am Ende des Grades, abgeschlossen | heiß am Ende des Grades | heiß in der Mitte des Grades, abgeschlossen | trocken am Anfang des Grades | kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen | Holzdrogenstoff vollständig erhitzen | Drogenholz, heiß am Gradende | kalt und trocken am Anfang des Grades, abgeschlossen	Grad-/Maßwert III | Ansatzwasser | zwei Dosen bis zur Mittelstufe getrockneter Droge | Grad-/Maßwert III | vollständig getrocknet, abgeschlossen | vollständig erhitzt | heiß in der Mitte des Grades, abgeschlossen | trocken am Anfang des Grades | kalt-feuchter Ansatz, Mittelstufe erreicht; abgeschlossen | Holzdrogenstoff vollständig erhitzen | Drogenholz, vollständig erhitzt | kalt und trocken, Anfangsstufe erreicht; abgeschlossen	trocken am Ende des Grades, abgeschlossen | heiß am Ende des Grades | kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen | Drogenholz, heiß am Gradende | kalt und trocken am Anfang des Grades, abgeschlossen	vollständig getrocknet, abgeschlossen | vollständig erhitzt | kalt-feuchter Ansatz, Mittelstufe erreicht; abgeschlossen | Drogenholz, vollständig erhitzt | kalt und trocken, Anfangsstufe erreicht; abgeschlossen	Grad-/Maßwert III; Ansatzwasser; zwei Dosen bis zur Mittelstufe getrockneter Droge; Grad-/Maßwert III; trocken am Ende des Grades, abgeschlossen; heiß am Ende des Grades; heiß in der Mitte des Grades, abgeschlossen; trocken am Anfang des Grades; kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen; Holzdrogenstoff vollständig erhitzen; Drogenholz, heiß am Gradende; kalt und trocken am Anfang des Grades, abgeschlossen	Grad-/Maßwert III; Ansatzwasser; zwei Dosen bis zur Mittelstufe getrockneter Droge; Grad-/Maßwert III; vollständig getrocknet, abgeschlossen; vollständig erhitzt; heiß in der Mitte des Grades, abgeschlossen; trocken am Anfang des Grades; kalt-feuchter Ansatz, Mittelstufe erreicht; abgeschlossen; Holzdrogenstoff vollständig erhitzen; Drogenholz, vollständig erhitzt; kalt und trocken, Anfangsstufe erreicht; abgeschlossen	7	1	2	7:heiß in der Mitte des Grades, abgeschlossen [OTHER_ACTIVE_SURFACE_OUTSIDE_EXACT_SCOPE] | 8:trocken am Anfang des Grades [TARGET_ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS]
3	f112v	f112v.16	S	B	3	9	0	1	5	5	0	4|5|7|8|9	qoteedy|qokey|qokeey|qokeey|chdaly	qoteedy#GLOBAL|qokey#GLOBAL|qokeey#GLOBAL|qokeey#GLOBAL|chdaly#GLOBAL	END|CLOSED | MIDDLE|OPEN | END|OPEN | END|OPEN | BEGIN|OPEN	saiin okeey sheey qoteedy qokey chedy qokeey qokeey chdaly	Samen/Saatgut, Typ/Charge III | heißer Ansatz am Ende des Grades | feucht am Ende des Grades | kalt am Ende des Grades, abgeschlossen | heiß in der Mitte des Grades | trocken in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | heiß am Ende des Grades | trockener abgewogener Rohstoffposten I am Gradanfang, Grundform	Samen/Saatgut, Typ/Charge III | heißer Ansatz am Ende des Grades | feucht am Ende des Grades | vollständig abgekühlt, abgeschlossen | bis zur Mittelstufe erhitzt | trocken in der Mitte des Grades, abgeschlossen | vollständig erhitzt | vollständig erhitzt | leicht getrockneter abgewogener Rohstoffposten I, Grundform	kalt am Ende des Grades, abgeschlossen | heiß in der Mitte des Grades | heiß am Ende des Grades | heiß am Ende des Grades | trockener abgewogener Rohstoffposten I am Gradanfang, Grundform	vollständig abgekühlt, abgeschlossen | bis zur Mittelstufe erhitzt | vollständig erhitzt | vollständig erhitzt | leicht getrockneter abgewogener Rohstoffposten I, Grundform	Samen/Saatgut, Typ/Charge III; heißer Ansatz am Ende des Grades; feucht am Ende des Grades; kalt am Ende des Grades, abgeschlossen; heiß in der Mitte des Grades; trocken in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades; heiß am Ende des Grades; trockener abgewogener Rohstoffposten I am Gradanfang, Grundform	Samen/Saatgut, Typ/Charge III; heißer Ansatz am Ende des Grades; feucht am Ende des Grades; vollständig abgekühlt, abgeschlossen; bis zur Mittelstufe erhitzt; trocken in der Mitte des Grades, abgeschlossen; vollständig erhitzt; vollständig erhitzt; leicht getrockneter abgewogener Rohstoffposten I, Grundform	4	1	3	2:heißer Ansatz am Ende des Grades [TARGET_ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS] | 3:feucht am Ende des Grades [OTHER_ACTIVE_SURFACE_OUTSIDE_EXACT_SCOPE] | 6:trocken in der Mitte des Grades, abgeschlossen [OTHER_ACTIVE_SURFACE_OUTSIDE_EXACT_SCOPE]
4	f75v	f75v.45	B	B	2	12	0	1	5	5	0	6|8|9|10|11	okeedy|qokeey|qokeey|otey|qoky	okeedy#GLOBAL|qokeey#GLOBAL|qokeey#GLOBAL|otey#GLOBAL|qoky#GLOBAL	END|CLOSED | END|OPEN | END|OPEN | MIDDLE|OPEN | BEGIN|OPEN	yshey qokar olchedy qor oiin okeedy qokeed qokeey qokeey otey qoky dy	weiche hiervon bis zur mittleren Stufe ein | heiße Drogenfraktion I | Holzdroge im Ansatz fertig getrocknet | nimm eine Drogenportion | Zubereitungsform III | heißer Ansatz am Ende des Grades, abgeschlossen | erhitze bis zur Endstufe und schließe ab | heiß am Ende des Grades | heiß am Ende des Grades | kalter Ansatz in der Mitte des Grades | heiß am Anfang des Grades | Qualitäts-/Wertfeld geschlossen	weiche hiervon bis zur mittleren Stufe ein | heiße Drogenfraktion I | Holzdroge im Ansatz fertig getrocknet | nimm eine Drogenportion | Zubereitungsform III | vollständig erhitzter Ansatz, abgeschlossen | erhitze bis zur Endstufe und schließe ab | vollständig erhitzt | vollständig erhitzt | bis zur Mittelstufe abgekühlter Ansatz | leicht erhitzt | Qualitäts-/Wertfeld geschlossen	heißer Ansatz am Ende des Grades, abgeschlossen | heiß am Ende des Grades | heiß am Ende des Grades | kalter Ansatz in der Mitte des Grades | heiß am Anfang des Grades	vollständig erhitzter Ansatz, abgeschlossen | vollständig erhitzt | vollständig erhitzt | bis zur Mittelstufe abgekühlter Ansatz | leicht erhitzt	weiche hiervon bis zur mittleren Stufe ein; heiße Drogenfraktion I; Holzdroge im Ansatz fertig getrocknet; nimm eine Drogenportion; Zubereitungsform III; heißer Ansatz am Ende des Grades, abgeschlossen; erhitze bis zur Endstufe und schließe ab; heiß am Ende des Grades; heiß am Ende des Grades; kalter Ansatz in der Mitte des Grades; heiß am Anfang des Grades; Qualitäts-/Wertfeld geschlossen	weiche hiervon bis zur mittleren Stufe ein; heiße Drogenfraktion I; Holzdroge im Ansatz fertig getrocknet; nimm eine Drogenportion; Zubereitungsform III; vollständig erhitzter Ansatz, abgeschlossen; erhitze bis zur Endstufe und schließe ab; vollständig erhitzt; vollständig erhitzt; bis zur Mittelstufe abgekühlter Ansatz; leicht erhitzt; Qualitäts-/Wertfeld geschlossen	7	1	0	NONE
5	f78r	f78r.11	B	B	2	8	0	1	5	5	0	1|2|4|5|6	qoky|okeedy|qoteedy|otey|shckhedy	qoky#GLOBAL|okeedy#GLOBAL|qoteedy#GLOBAL|otey#GLOBAL|shckhedy#GLOBAL	BEGIN|OPEN | END|CLOSED | END|CLOSED | MIDDLE|OPEN | MIDDLE|CLOSED	qoky okeedy sheety qoteedy otey shckhedy sokol or	heiß am Anfang des Grades | heißer Ansatz am Ende des Grades, abgeschlossen | vollständig angefeuchtet und gekühlt | kalt am Ende des Grades, abgeschlossen | kalter Ansatz in der Mitte des Grades | Arzneikompositum: feucht, Gradmitte, abgeschlossen | heißer Saatgutabsud | Drogenportion	leicht erhitzt | vollständig erhitzter Ansatz, abgeschlossen | vollständig angefeuchtet und gekühlt | vollständig abgekühlt, abgeschlossen | bis zur Mittelstufe abgekühlter Ansatz | Arzneikompositum: bis zur Mittelstufe angefeuchtet, abgeschlossen | heißer Saatgutabsud | Drogenportion	heiß am Anfang des Grades | heißer Ansatz am Ende des Grades, abgeschlossen | kalt am Ende des Grades, abgeschlossen | kalter Ansatz in der Mitte des Grades | Arzneikompositum: feucht, Gradmitte, abgeschlossen	leicht erhitzt | vollständig erhitzter Ansatz, abgeschlossen | vollständig abgekühlt, abgeschlossen | bis zur Mittelstufe abgekühlter Ansatz | Arzneikompositum: bis zur Mittelstufe angefeuchtet, abgeschlossen	heiß am Anfang des Grades; heißer Ansatz am Ende des Grades, abgeschlossen; vollständig angefeuchtet und gekühlt; kalt am Ende des Grades, abgeschlossen; kalter Ansatz in der Mitte des Grades; Arzneikompositum: feucht, Gradmitte, abgeschlossen; heißer Saatgutabsud; Drogenportion	leicht erhitzt; vollständig erhitzter Ansatz, abgeschlossen; vollständig angefeuchtet und gekühlt; vollständig abgekühlt, abgeschlossen; bis zur Mittelstufe abgekühlter Ansatz; Arzneikompositum: bis zur Mittelstufe angefeuchtet, abgeschlossen; heißer Saatgutabsud; Drogenportion	3	1	0	NONE
6	f103r	f103r.39	S	B	3	6	0	1	4	4	0	1|2|4|6	ykeedy|qokeey|qotal|oteey	ykeedy#GLOBAL|qokeey#GLOBAL|qotal#GLOBAL|oteey#GLOBAL	END|CLOSED | END|OPEN | BEGIN|OPEN | END|OPEN	ykeedy qokeey lsheey qotal shedy oteey	Eintrag: heiß am Gradende, abgeschlossen | heiß am Ende des Grades | eingeweichtes Drogenholz, Form II | Rohstoffklasse I, kalt am Gradanfang | feucht in der Mitte des Grades, abgeschlossen | kalter Ansatz am Ende des Grades	Eintrag: vollständig erhitzt, abgeschlossen | vollständig erhitzt | eingeweichtes Drogenholz, Form II | Rohstoffklasse I, leicht abgekühlt | feucht in der Mitte des Grades, abgeschlossen | vollständig abgekühlter Ansatz	Eintrag: heiß am Gradende, abgeschlossen | heiß am Ende des Grades | Rohstoffklasse I, kalt am Gradanfang | kalter Ansatz am Ende des Grades	Eintrag: vollständig erhitzt, abgeschlossen | vollständig erhitzt | Rohstoffklasse I, leicht abgekühlt | vollständig abgekühlter Ansatz	Eintrag: heiß am Gradende, abgeschlossen; heiß am Ende des Grades; eingeweichtes Drogenholz, Form II; Rohstoffklasse I, kalt am Gradanfang; feucht in der Mitte des Grades, abgeschlossen; kalter Ansatz am Ende des Grades	Eintrag: vollständig erhitzt, abgeschlossen; vollständig erhitzt; eingeweichtes Drogenholz, Form II; Rohstoffklasse I, leicht abgekühlt; feucht in der Mitte des Grades, abgeschlossen; vollständig abgekühlter Ansatz	2	1	1	5:feucht in der Mitte des Grades, abgeschlossen [OTHER_ACTIVE_SURFACE_OUTSIDE_EXACT_SCOPE]
7	f106v	f106v.35	S	B	3	12	0	1	4	4	0	2|3|6|8	shockhy|qokeey|kchedy|kchedy	shockhy#GLOBAL|qokeey#GLOBAL|kchedy#GLOBAL|kchedy#GLOBAL	BEGIN|OPEN | END|OPEN | MIDDLE|CLOSED | MIDDLE|CLOSED	shody shockhy qokeey qokcho l kchedy shdy kchedy chedy qockhey okaiin al	vollständig eingeweichter Ansatz | Arzneikompositum im Feuchtansatz am Gradanfang | heiß am Ende des Grades | erhitze, trockne und setze an | heiß-trockenes Drogenmaterial | heiß und trocken in der Mitte des Grades, abgeschlossen | feucht am Anfang des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten | heiß, Grad III, im Ansatzrahmen | Rohstoffklasse I	vollständig eingeweichter Ansatz | Arzneikompositum im Feuchtansatz, Anfangsstufe | vollständig erhitzt | erhitze, trockne und setze an | heiß-trockenes Drogenmaterial | heiß und trocken, Mittelstufe erreicht; abgeschlossen | feucht am Anfang des Grades, abgeschlossen | heiß und trocken, Mittelstufe erreicht; abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten | heiß, Grad III, im Ansatzrahmen | Rohstoffklasse I	Arzneikompositum im Feuchtansatz am Gradanfang | heiß am Ende des Grades | heiß und trocken in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades, abgeschlossen	Arzneikompositum im Feuchtansatz, Anfangsstufe | vollständig erhitzt | heiß und trocken, Mittelstufe erreicht; abgeschlossen | heiß und trocken, Mittelstufe erreicht; abgeschlossen	vollständig eingeweichter Ansatz; Arzneikompositum im Feuchtansatz am Gradanfang; heiß am Ende des Grades; erhitze, trockne und setze an; heiß-trockenes Drogenmaterial; heiß und trocken in der Mitte des Grades, abgeschlossen; feucht am Anfang des Grades, abgeschlossen; heiß und trocken in der Mitte des Grades, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten; heiß, Grad III, im Ansatzrahmen; Rohstoffklasse I	vollständig eingeweichter Ansatz; Arzneikompositum im Feuchtansatz, Anfangsstufe; vollständig erhitzt; erhitze, trockne und setze an; heiß-trockenes Drogenmaterial; heiß und trocken, Mittelstufe erreicht; abgeschlossen; feucht am Anfang des Grades, abgeschlossen; heiß und trocken, Mittelstufe erreicht; abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten; heiß, Grad III, im Ansatzrahmen; Rohstoffklasse I	8	1	2	7:feucht am Anfang des Grades, abgeschlossen [OTHER_ACTIVE_SURFACE_OUTSIDE_EXACT_SCOPE] | 9:trocken in der Mitte des Grades, abgeschlossen [OTHER_ACTIVE_SURFACE_OUTSIDE_EXACT_SCOPE]
8	f107v	f107v.11	S	B	3	10	0	1	4	4	0	1|4|6|9	tshedy|qokchey|qokeey|qoteedy	tshedy#GLOBAL|qokchey#GLOBAL|qokeey#GLOBAL|qoteedy#GLOBAL	MIDDLE|CLOSED | MIDDLE|OPEN | END|OPEN | END|CLOSED	tshedy okal shedy qokchey chky qokeey qotaiin otol qoteedy qopchcfhy	kalt und feucht in der Mitte des Grades, abgeschlossen | Rohstoffklasse I im Ansatz, heiß am Gradanfang | feucht in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades | getrocknete Droge leicht erhitzen | heiß am Ende des Grades | kalt, Grad III | kaltes Zubereitungsgut | kalt am Ende des Grades, abgeschlossen | nimm leicht getrocknetes Blütenpulver	kalt und feucht, Mittelstufe erreicht; abgeschlossen | Rohstoffklasse I im Ansatz, heiß am Gradanfang | feucht in der Mitte des Grades, abgeschlossen | heiß und trocken, Mittelstufe | getrocknete Droge leicht erhitzen | vollständig erhitzt | kalt, Grad III | kaltes Zubereitungsgut | vollständig abgekühlt, abgeschlossen | nimm leicht getrocknetes Blütenpulver	kalt und feucht in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades | heiß am Ende des Grades | kalt am Ende des Grades, abgeschlossen	kalt und feucht, Mittelstufe erreicht; abgeschlossen | heiß und trocken, Mittelstufe | vollständig erhitzt | vollständig abgekühlt, abgeschlossen	kalt und feucht in der Mitte des Grades, abgeschlossen; Rohstoffklasse I im Ansatz, heiß am Gradanfang; feucht in der Mitte des Grades, abgeschlossen; heiß und trocken in der Mitte des Grades; getrocknete Droge leicht erhitzen; heiß am Ende des Grades; kalt, Grad III; kaltes Zubereitungsgut; kalt am Ende des Grades, abgeschlossen; nimm leicht getrocknetes Blütenpulver	kalt und feucht, Mittelstufe erreicht; abgeschlossen; Rohstoffklasse I im Ansatz, heiß am Gradanfang; feucht in der Mitte des Grades, abgeschlossen; heiß und trocken, Mittelstufe; getrocknete Droge leicht erhitzen; vollständig erhitzt; kalt, Grad III; kaltes Zubereitungsgut; vollständig abgekühlt, abgeschlossen; nimm leicht getrocknetes Blütenpulver	6	1	2	2:Rohstoffklasse I im Ansatz, heiß am Gradanfang [TARGET_ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS] | 3:feucht in der Mitte des Grades, abgeschlossen [OTHER_ACTIVE_SURFACE_OUTSIDE_EXACT_SCOPE]
9	f107v	f107v.38	S	B	3	9	0	1	4	4	0	2|3|7|8	okchey|qokchey|oteey|oteey	okchey#GLOBAL|qokchey#GLOBAL|oteey#GLOBAL|oteey#GLOBAL	MIDDLE|OPEN | MIDDLE|OPEN | END|OPEN | END|OPEN	dain okchey qokchey qokaiin olkeey qokol oteey oteey lkain	Grad-/Maßwert II | heiß-trockener Ansatz in der Mitte des Grades | heiß und trocken in der Mitte des Grades | heiß, Grad III | Holzdrogenansatz vollständig erhitzt | erhitzen | kalter Ansatz am Ende des Grades | kalter Ansatz am Ende des Grades | Holzdroge, heiß auf Stufe II	Grad-/Maßwert II | heiß-trockener Ansatz, Mittelstufe | heiß und trocken, Mittelstufe | heiß, Grad III | Holzdrogenansatz vollständig erhitzt | erhitzen | vollständig abgekühlter Ansatz | vollständig abgekühlter Ansatz | Holzdroge, heiß auf Stufe II	heiß-trockener Ansatz in der Mitte des Grades | heiß und trocken in der Mitte des Grades | kalter Ansatz am Ende des Grades | kalter Ansatz am Ende des Grades	heiß-trockener Ansatz, Mittelstufe | heiß und trocken, Mittelstufe | vollständig abgekühlter Ansatz | vollständig abgekühlter Ansatz	Grad-/Maßwert II; heiß-trockener Ansatz in der Mitte des Grades; heiß und trocken in der Mitte des Grades; heiß, Grad III; Holzdrogenansatz vollständig erhitzt; erhitzen; kalter Ansatz am Ende des Grades; kalter Ansatz am Ende des Grades; Holzdroge, heiß auf Stufe II	Grad-/Maßwert II; heiß-trockener Ansatz, Mittelstufe; heiß und trocken, Mittelstufe; heiß, Grad III; Holzdrogenansatz vollständig erhitzt; erhitzen; vollständig abgekühlter Ansatz; vollständig abgekühlter Ansatz; Holzdroge, heiß auf Stufe II	5	1	0	NONE
10	f107v	f107v.47	S	B	3	11	0	1	4	4	0	3|5|6|7	qokeey|qokey|qokey|qokeey	qokeey#GLOBAL|qokey#GLOBAL|qokey#GLOBAL|qokeey#GLOBAL	END|OPEN | MIDDLE|OPEN | MIDDLE|OPEN | END|OPEN	y cheey qokeey okeoteey qokey qokey qokeey daiin y okeey odain	Eintrag: | trocken am Ende des Grades | heiß am Ende des Grades | erhitzten Ansatz bis zur Kühlendstufe bringen | heiß in der Mitte des Grades | heiß in der Mitte des Grades | heiß am Ende des Grades | Grad-/Maßwert III | ; hierzu: | heißer Ansatz am Ende des Grades | Zubereitungsdosis II	Eintrag: | trocken am Ende des Grades | vollständig erhitzt | erhitzten Ansatz bis zur Kühlendstufe bringen | bis zur Mittelstufe erhitzt | bis zur Mittelstufe erhitzt | vollständig erhitzt | Grad-/Maßwert III | ; hierzu: | heißer Ansatz am Ende des Grades | Zubereitungsdosis II	heiß am Ende des Grades | heiß in der Mitte des Grades | heiß in der Mitte des Grades | heiß am Ende des Grades	vollständig erhitzt | bis zur Mittelstufe erhitzt | bis zur Mittelstufe erhitzt | vollständig erhitzt	Eintrag: trocken am Ende des Grades; heiß am Ende des Grades; erhitzten Ansatz bis zur Kühlendstufe bringen; heiß in der Mitte des Grades; heiß in der Mitte des Grades; heiß am Ende des Grades; Grad-/Maßwert III; hierzu: heißer Ansatz am Ende des Grades; Zubereitungsdosis II	Eintrag: trocken am Ende des Grades; vollständig erhitzt; erhitzten Ansatz bis zur Kühlendstufe bringen; bis zur Mittelstufe erhitzt; bis zur Mittelstufe erhitzt; vollständig erhitzt; Grad-/Maßwert III; hierzu: heißer Ansatz am Ende des Grades; Zubereitungsdosis II	7	1	2	2:trocken am Ende des Grades [TARGET_ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS] | 10:heißer Ansatz am Ende des Grades [TARGET_ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS]
