control_id	page	locus	token_ordinal	surface	inherited_v48_gloss_de	licensed_target	control_reason	unchanged_in_overlay
G732-C0001	f100r	f100r.22	7	shey	feucht in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0002	f100r	f100r.23	10	keey	heiß am Ende des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0003	f100v	f100v.15	2	cheey	trocken am Ende des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0004	f100v	f100v.15	8	cheey	trocken am Ende des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0005	f100v	f100v.16	3	chey	trocken in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0006	f102r1	f102r1.14	5	shey	feucht in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0007	f102v1	f102v1.10	8	shey	feucht in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0008	f102v1	f102v1.11	6	chey	trocken in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0009	f102v1	f102v1.13	9	cheey	trocken am Ende des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0010	f102v1	f102v1.20	2	shey	feucht in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0011	f102v1	f102v1.20	8	okeey	heißer Ansatz am Ende des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0012	f102v1	f102v1.7	5	shey	feucht in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0013	f102v1	f102v1.8	3	chey	trocken in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0014	f102v2	f102v2.21	11	chey	trocken in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0015	f102v2	f102v2.21	12	keey	heiß am Ende des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0016	f102v2	f102v2.23	3	shey	feucht in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0017	f102v2	f102v2.32	8	oky	heißer Ansatz am Anfang des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0018	f102v2	f102v2.36	2	cheey	trocken am Ende des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0019	f102v2	f102v2.36	3	okeey	heißer Ansatz am Ende des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0020	f102v2	f102v2.36	8	okeey	heißer Ansatz am Ende des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0021	f102v2	f102v2.37	3	chey	trocken in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0022	f102v2	f102v2.38	2	cheey	trocken am Ende des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0023	f103r	f103r.1	11	okal	Rohstoffklasse I im Ansatz, heiß am Gradanfang	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0024	f103r	f103r.10	12	oteedy	kalter Ansatz am Ende des Grades, abgeschlossen	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0025	f103r	f103r.11	6	chey	trocken in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0026	f103r	f103r.11	8	shey	feucht in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0027	f103r	f103r.12	2	shey	feucht in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0028	f103r	f103r.13	4	okeey	heißer Ansatz am Ende des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0029	f103r	f103r.14	6	shey	feucht in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0030	f103r	f103r.14	10	chey	trocken in der Mitte des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0031	f103r	f103r.16	4	cheey	trocken am Ende des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
G732-C0032	f103r	f103r.16	6	okeey	heißer Ansatz am Ende des Grades	0	ACTIVE_SURFACE_OUTSIDE_30_EXACT_POSITIONS	1
