root	fixed_value_de	composition_role	running_mentions	event_count	statement_count	page_count	registers	token_position_counts	left_neighbors	right_neighbors	top_component_recipes	surface_examples	forward_rule_de	repair_policy_de
Y	DIES	REFERENT_TAIL	1390	1338	367	20	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:284|MIDDLE:31|LAST:1075	EE:202|E:172|CHD:138|D_ADDR:108|K:102|T:62|OK:62|OL:39	K:58|T:32|D_ADDR:12|CH:10|SH:8|P:7|DY:4|L:3	Y:166|CHD+Y:95|OK+EE+Y:68|OK+Y:56|SH+EE+Y:45|SH+E+Y:40|OT+Y:31|CH+K+Y:30	chedy|chey|dy|qokeey|shey|y|qoky|cheey|chckhy|qokey	Schließe die lokale Form mit dem aktuell gemeinten Posten; Y ist kein Schlusszeichen.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
OK	SETZEN	ACTION_HEAD	690	689	372	20	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:671|MIDDLE:19|LAST:0	SH:4|E:3|S:3|T:2|Y:2|OK:1|D_ADDR:1|O:1	EE:165|E:148|Y:62|AIIN:61|AIN:57|AL:56|AR:35|OL:27	OK+EE+DY:76|OK+EE+Y:68|OK+E+DY:60|OK+AIIN:59|OK+Y:56|OK+AIN:55|OK+AL:47|OK+AR:33	qokeedy|qokedy|qokeey|qokain|qokaiin|qoky|qokal|okaiin|qokey|okar	Setze den rechts folgenden Posten, Grad, die Menge oder Adresse in Gang.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
OL	FORTSETZEN	CONTINUATION_FRAME	573	563	268	20	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:302|MIDDLE:61|LAST:210	E:57|OK:27|K:24|D_ADDR:21|T:18|SH:17|EE:17|L:14	Y:39|K:35|DY:26|CHD:20|D_ADDR:17|AIIN:17|CH:14|SH:14	OL:143|OL+Y:28|OK+OL:25|OL+DY:19|SH+E+OL:16|OK+E+OL:15|SH+OL:13|OL+AIIN:13	ol|chol|qol|oldy|shol|qokol|sheol|sol|oly|dol	Führe die rechts folgende Handlung oder den allein stehenden aktiven Gang fort.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
OT	DANACH	NEXT_FRAME	306	306	185	20	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:288|MIDDLE:18|LAST:0	CH:11|S:5|O:1|P:1	E:66|EE:64|Y:36|AR:22|CH:21|AIIN:20|AL:16|OL:11	OT+Y:31|OT+E+DY:29|OT+EE+DY:26|OT+EE+Y:23|OT+AR:21|OT+AIIN:18|OT+AL:14|OT+E+Y:12	qoteedy|otar|qotedy|qoty|otedy|oteey|otaiin|otey|qotal|qotaiin	Lies die rechts folgende Handlung, Adresse oder den Grad als nächsten Schritt.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
AL	ZIELORT	TARGET_TAIL	315	312	186	20	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:109|MIDDLE:53|LAST:153	OK:56|S:21|CH:18|K:18|OT:16|T:15|E:11|D_ADDR:10	Y:26|CHD:9|DY:8|AIIN:7|D_ADDR:5|S:5|CH:5|OR:5	AL:75|OK+AL:47|OT+AL:14|S+AL:10|CH+AL:8|AL+Y:7|AL+CHD+DY:7|SH+E+AL:7	dal|al|qokal|okal|sal|qotal|chal|kal|daldy|otal	Binde die vorherige Handlung an den bezeichneten Zielort.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
CH	NEHMEN	ACTION_HEAD	709	647	237	20	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:406|MIDDLE:301|LAST:2	O:40|E:32|CH:27|SH:26|P:23|OK:22|OT:21|K:19	E:163|K:150|T:94|O:48|OR:48|Y:37|EE:34|CH:27	CH+E+O+L:32|CH+K+Y:30|CH+OR:19|CH+E+O+R:19|CH+CH+T+Y:16|CH+E+CH+K+Y:16|CH+T+Y:15|CH+E+O+Y:15	cheol|chckhy|chor|chcthy|cheor|cheody|checkhy|cheedy|shckhy|cthy	Nimm den rechts bezeichneten Posten, die Menge, Adresse oder Folgehandlung.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
SH	HALTEN	ACTION_HEAD	503	502	303	20	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:395|MIDDLE:108|LAST:0	L:30|OL:14|O:8|Y:8|P:8|S:7|D_ADDR:6|OK:6	E:283|EE:102|CH:26|OR:18|OL:17|O:17|D_ADDR:11|Y:10	SH+E+DY:101|SH+EE+Y:45|SH+E+Y:40|SH+E+OL:16|SH+EE+DY:14|SH+OL:13|SH+OR:12|SH+CH+K+Y:11	shedy|shey|cheey|sheey|sheedy|shol|sheol|shckhy|shor|dshedy	Halte den rechts bezeichneten Posten oder Ansatz im folgenden Grad.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
AR	AUSGANG	SOURCE_TAIL	257	254	149	19	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:42|MIDDLE:25|LAST:190	D_ADDR:59|OK:35|OT:22|K:20|E:19|S:17|T:10|CHD:6	OL:6|Y:6|CH:4|OR:2|LOCAL_CHAR_G:2|AL:2|AR:2|DY:2	D_ADDR+AR:40|AR:34|OK+AR:33|OT+AR:21|S+AR:13|K+AR:8|CH+E+AR:6|SH+E+AR:6	dar|ar|okar|qokar|otar|sar|kar|shear|chear|qotar	Binde die vorherige Handlung an den bezeichneten Ausgang; keine Richtung erfinden.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
K	GEBEN	TRANSFER_HEAD_OR_BRIDGE	415	408	204	20	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:102|MIDDLE:310|LAST:3	CH:150|Y:58|OL:35|L:22|E:17|O:13|EE:7|SH:4	Y:102|E:76|EE:70|OL:24|AR:20|AIN:20|CH:19|AL:18	CH+K+Y:30|CH+K+E+Y:11|SH+CH+K+Y:11|K+OL:8|K+AR:8|K+EE+Y:8|CH+E+CH+K+Y:8|OL+K+EE+Y:8	chckhy|shckhy|cheky|keey|keedy|checkhy|kar|kal|cheeky|ykeey	Gib den rechts bezeichneten Posten weiter oder verbinde zwei Handlungsteile durch Übergabe.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
AIIN	MASS	QUANTITY_TAIL	371	371	178	19	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:143|MIDDLE:4|LAST:224	OK:61|D_ADDR:25|S:21|OT:20|OL:17|K:15|O:13|CH:8	Y:3|R:1	AIIN:143|OK+AIIN:59|S+AIIN:21|OT+AIIN:18|OL+AIIN:13|R+AIIN:8|CARRIER_Q+O+AIIN:7|CHD+AIIN:7	daiin|aiin|qokaiin|saiin|okaiin|olaiin|otaiin|qotaiin|chedaiin|raiin	Lies die vorherige Handlung nach dem vorgegebenen Maß.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
S	WÄHLEN	CHOICE_HEAD	240	236	143	20	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:169|MIDDLE:21|LAST:50	O:24|E:12|CH:8|EE:6|AL:5|A_ADDR:5|DA:2|IIN:2	AIN:23|AL:21|AIIN:21|AR:17|OR:10|O:10|OL:10|SH:7	S:35|S+AIN:21|S+AIIN:21|S+AR:13|S+AL:10|S+OR:8|CH+O+S:7|CH+E+S:5	s|sain|saiin|sar|sal|sor|chos|ches|cheos|as	Wähle den rechts bezeichneten Posten, die Portion oder Adresse.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
CHD	UMSETZEN	TRANSFER_HEAD	256	256	192	12	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:119|MIDDLE:130|LAST:7	L:40|P:25|OL:20|OK:14|AL:9|T:6|D_ADDR:5|K:5	Y:138|DY:85|AIIN:7|AR:6|AL:4|AIN:4|OL:2|AIR:1	CHD+Y:95|L+CHD+DY:33|OL+CHD+DY:13|OK+CHD+DY:10|P+CHD+DY:9|CHD+AIIN:7|AL+CHD+DY:7|OT+CHD+DY:5	chedy|lchedy|chdy|pchedy|chedaiin|olchedy|qokchdy|qopchedy|qolchedy|tchedy	Setze den aktiven Posten in den nächsten lokalen Arbeitszustand um.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
OR	ANSATZ	PREPARATION_TAIL	228	225	108	20	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:49|MIDDLE:18|LAST:161	CH:48|SH:18|E:16|OK:12|EE:11|S:10|D_ADDR:10|K:10	Y:6|CH:5|SH:4|AIN:4|AIIN:3|AL:3|O:2|OR:1	OR:37|CH+OR:19|SH+OR:12|OK+OR:10|OT+OR:8|S+OR:8|OL+OR:6|D_ADDR+OR:6	or|chor|shor|sor|dor|otor|lor|sheor|qotor|ykor	Beziehe die vorherige Handlung auf den laufenden Ansatz.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
L	VERBINDUNG	CONNECTION_FRAME	238	238	174	15	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:177|MIDDLE:15|LAST:46	O:40|A_ADDR:5|CH:4|DA:3|Y:3|D_ADDR:2|S:2|SH:1	CHD:40|SH:30|K:22|CH:17|OL:14|Y:11|O:8|DY:6	L+CHD+DY:33|CH+E+O+L:32|L:15|L+Y:10|L+OL:9|L+SH+E+DY:7|L+K+E+DY:6|L+O:5	lchedy|cheol|l|lol|lshedy|lchey|lo|ldy|lkedy|lor	Führe die eingeschlossene oder rechts folgende Handlung über eine lokale Verbindung; keine Richtung.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
T	EINSTELLEN	SETTING_HEAD	227	226	135	20	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:65|MIDDLE:160|LAST:2	CH:94|Y:32|E:12|EE:7|L:6|OL:5|A_ADDR:1|SH:1	Y:62|E:42|OL:18|O:17|AL:15|CH:12|EE:12|AR:10	CH+T+Y:15|CH+CH+T+Y:8|T+OL:7|Y+T+Y:6|T+AL:6|SH+E+CH+T+Y:6|SH+CH+T+Y:6|CH+T+E+Y:5	cthy|chcthy|cthol|shecthy|checthy|tchedy|sheety|shcthy|ytedy|yty	Stelle den rechts folgenden Posten, Grad oder die Menge ein.	Bei Konflikt Gesamtkarte oder lokale Erweiterung annehmen; den Kernwert nicht ändern.
