left_root	right_root	literal_prediction_de	pair_status	adjacent_event_count	gapped_event_count	page_count	registers	adjacent_surface_examples	gapped_surface_examples	forward_rule_de
Y	Y	AKTIVER POSTEN + AKTIVER POSTEN	ADJACENT_ATTESTED	2	49	18	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	ychey|ycheeo	ykeey|yty|ykchy|ykchey|yshey|ytchy|ykoly|shoyty|ytchoky|ykychy	Schließe die lokale Form mit dem aktuell gemeinten Posten; Y ist kein Schlusszeichen. Danach Schließe die lokale Form mit dem aktuell gemeinten Posten; Y ist kein Schlusszeichen.
Y	OK	AKTIVER POSTEN + SETZEN	ADJACENT_ATTESTED	2	1	3	BIOLOGICAL|HERBAL|PHARMA	chedyqokam|yokeody	ytchoky	Schließe die lokale Form mit dem aktuell gemeinten Posten; Y ist kein Schlusszeichen. Danach Setze den rechts folgenden Posten, Grad, die Menge oder Adresse in Gang.
Y	OL	AKTIVER POSTEN + FORTSETZEN	GAPPED_ATTESTED	0	10	8	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	NONE	ykoly|otytchol|ydoly|chkchykoly|ykeolol|ykeeoly|ykol|yfolaiin|dolchsyckheol	Schließe die lokale Form mit dem aktuell gemeinten Posten; Y ist kein Schlusszeichen. Danach Führe die rechts folgende Handlung oder den allein stehenden aktiven Gang fort.
Y	OT	AKTIVER POSTEN + DANACH	UNSEEN_ORDERED_PAIR	0	0	0	NONE	NONE	NONE	Schließe die lokale Form mit dem aktuell gemeinten Posten; Y ist kein Schlusszeichen. Danach Lies die rechts folgende Handlung, Adresse oder den Grad als nächsten Schritt.
Y	AL	AKTIVER POSTEN + ZIELORT	ADJACENT_ATTESTED	2	1	3	CELESTIAL|HERBAL	ydal	ytalchos	Schließe die lokale Form mit dem aktuell gemeinten Posten; Y ist kein Schlusszeichen. Danach Binde die vorherige Handlung an den bezeichneten Zielort.
Y	CH	AKTIVER POSTEN + NEHMEN	ADJACENT_ATTESTED	10	17	10	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	ycheor|ykychy|ychekchy|dychear|ychod|ychekch|ychocphy|ycheody|dolchsyckheol|ycheo	ykchey|ypch|otytchol|oykchor|ykychy|ykchor|ypchy|chypcham|ychocphy|ykcho	Schließe die lokale Form mit dem aktuell gemeinten Posten; Y ist kein Schlusszeichen. Danach Nimm den rechts bezeichneten Posten, die Menge, Adresse oder Folgehandlung.
Y	SH	AKTIVER POSTEN + HALTEN	ADJACENT_ATTESTED	8	1	6	BIOLOGICAL|CELESTIAL|PHARMA	yshey|yshedy|ysheor|ysheey|ysheod	ykeshey	Schließe die lokale Form mit dem aktuell gemeinten Posten; Y ist kein Schlusszeichen. Danach Halte den rechts bezeichneten Posten oder Ansatz im folgenden Grad.
Y	AR	AKTIVER POSTEN + AUSGANG	ADJACENT_ATTESTED	2	10	7	BIOLOGICAL|HERBAL|PHARMA	qotddyar|yar	ykar|ydar|dychear|yoar|keeyfar|kchedykary|chedykar|salchtedytar	Schließe die lokale Form mit dem aktuell gemeinten Posten; Y ist kein Schlusszeichen. Danach Binde die vorherige Handlung an den bezeichneten Ausgang; keine Richtung erfinden.
Y	K	AKTIVER POSTEN + GEBEN	ADJACENT_ATTESTED	58	5	18	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	ykeey|ykchy|ykor|ykain|ykaiin|ykar|ykchey|ykoly|oykchor|ykychy	ychekchy|ychekch|ykaky|yekees|dolchsyckheol	Schließe die lokale Form mit dem aktuell gemeinten Posten; Y ist kein Schlusszeichen. Danach Gib den rechts bezeichneten Posten weiter oder verbinde zwei Handlungsteile durch Übergabe.
Y	AIIN	AKTIVER POSTEN + MASS	ADJACENT_ATTESTED	1	12	9	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	shfydaiin	ydaiin|ykaiin|ytaiin|ykoaiin|qykaiin|yfolaiin	Schließe die lokale Form mit dem aktuell gemeinten Posten; Y ist kein Schlusszeichen. Danach Lies die vorherige Handlung nach dem vorgegebenen Maß.
