owner_id	record	page	owner_de	statements	first_object_id	last_object_id	object_classes_used	owner_boundary_rule_de
H1:OWNER_01	H1	f10r	abgebildete breit gezähnte radialblütige Pflanze	2	H1:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	H1:OWNER_01:STATE_02	CURRENT_ITEM|FLOWING_MEDIUM|OWNER_BOUND_MATERIAL|PREPARATION|SOURCE_STOCK|WORK_COMPARTMENT	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
H2:OWNER_01	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	3	H2:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	H2:OWNER_01:STATE_03	CURRENT_ITEM|OWNER_BOUND_MATERIAL|PREPARATION|SOURCE_STOCK	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
H3:OWNER_01	H3	f11r	abgebildete dicht blau blühende Kronenpflanze	4	H3:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	H3:OWNER_01:STATE_04	CURRENT_ITEM|OWNER_BOUND_MATERIAL|TARGET_PLACE	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
H4:OWNER_01	H4	f55v	abgebildete breitblättrige rispige Pflanze	4	H4:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	H4:OWNER_01:STATE_04	CURRENT_ITEM|OWNER_BOUND_MATERIAL|PORTION|PREPARATION|SOURCE_STOCK|TARGET_PLACE	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
H5:OWNER_01	H5	f56r	abgebildete mehrköpfige stachelige Pflanze	6	H5:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	H5:OWNER_01:STATE_06	CURRENT_ITEM|MATERIAL_CHARGE|OWNER_BOUND_MATERIAL|PASSAGE|PORTION|PREPARATION|TARGET_PLACE	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
B1:OWNER_01	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	21	B1:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	B1:OWNER_01:STATE_21	CURRENT_ITEM|FLOWING_MEDIUM|OWNER_BOUND_MATERIAL|PASSAGE|PORTION|PREPARATION|SOURCE_STOCK|TARGET_PLACE	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
B2:OWNER_01	B2	f82r	oberes Beckenpaar mit Zylinder	6	B2:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	B2:OWNER_01:STATE_06	CURRENT_ITEM|OWNER_BOUND_MATERIAL|PASSAGE|PORTION|TARGET_PLACE	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
B2:OWNER_02	B2	f82r	mittleres linkes Handgerät mit Inline-Knoten	4	B2:OWNER_02:MASTER_OR_IMAGE_SUPPLIED	B2:OWNER_02:STATE_04	CURRENT_ITEM|OWNER_BOUND_MATERIAL|SOURCE_STOCK	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
B2:OWNER_03	B2	f82r	mittlere rechte unklare Station	2	B2:OWNER_03:MASTER_OR_IMAGE_SUPPLIED	B2:OWNER_03:STATE_02	CURRENT_ITEM|OWNER_BOUND_MATERIAL|PORTION|SOURCE_STOCK	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
B2:OWNER_04	B2	f82r	unteres grünes Mehrfigurenbecken	2	B2:OWNER_04:MASTER_OR_IMAGE_SUPPLIED	B2:OWNER_04:STATE_02	OWNER_BOUND_MATERIAL|SOURCE_STOCK	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
B2:OWNER_05	B2	f82r	kleine Randstationen des unteren Beckens	8	B2:OWNER_05:MASTER_OR_IMAGE_SUPPLIED	B2:OWNER_05:STATE_08	CURRENT_ITEM|OWNER_BOUND_MATERIAL|SOURCE_STOCK|TARGET_PLACE	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
B3:OWNER_01	B3	f83r	obere offene Fächerstation am Rand	4	B3:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	B3:OWNER_01:STATE_04	CURRENT_ITEM|OWNER_BOUND_MATERIAL|SOURCE_STOCK|TARGET_PLACE	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
B3:OWNER_02	B3	f83r	mittlere Randfigur im runden Gefäß	5	B3:OWNER_02:MASTER_OR_IMAGE_SUPPLIED	B3:OWNER_02:STATE_05	CURRENT_ITEM|OWNER_BOUND_MATERIAL|TARGET_PLACE	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
B3:OWNER_03	B3	f83r	untere Randfigur im korbartigen Gefäß	7	B3:OWNER_03:MASTER_OR_IMAGE_SUPPLIED	B3:OWNER_03:STATE_07	CURRENT_ITEM|FLOWING_MEDIUM|OWNER_BOUND_MATERIAL|PORTION|PREPARATION|TARGET_PLACE	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
B3:OWNER_04	B3	f83r	unverbundener Zwischenbereich	10	B3:OWNER_04:MASTER_OR_IMAGE_SUPPLIED	B3:OWNER_04:STATE_10	CURRENT_ITEM|OWNER_BOUND_MATERIAL|PORTION|PREPARATION|SOURCE_STOCK|TARGET_PLACE	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
B3:OWNER_05	B3	f83r	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	8	B3:OWNER_05:MASTER_OR_IMAGE_SUPPLIED	B3:OWNER_05:STATE_08	CURRENT_ITEM|FLOWING_MEDIUM|OWNER_BOUND_MATERIAL|PORTION	alle Objekte bleiben lokal; beim naechsten sichtbaren Besitzer nicht automatisch weitertragen
