statement_id	page	record	owner_id	owner_de	transition	object_before_id	object_after_id	object_classes	concrete_objects_de	operations_de	outputs_de	target_or_path_de	complete_working_instruction_de	object_crosses_visible_owner_reset
H1-S001	f10r	H1	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	RECORD_INITIALIZE	H1:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	H1:OWNER_01:STATE_01	CURRENT_ITEM|PREPARATION|SOURCE_STOCK|WORK_COMPARTMENT|FLOWING_MEDIUM|OWNER_BOUND_MATERIAL	aktuell gemeinter Arbeitsposten | aktueller Ansatz | lokaler Quellvorrat | ausgewaehltes Arbeitsfach | laufende Arbeitsfluessigkeit | vom Bildbesitzer gesetzter lokaler Arbeitsstoff	abziehen -> eintragen -> abziehen -> eintragen + abziehen -> ansetzen -> eintragen	abgenommener oder abgezogener Anteil -> im Arbeitsfach eingetragener Posten -> abgenommener oder abgezogener Anteil -> im Arbeitsfach eingetragener Posten -> abgenommener oder abgezogener Anteil -> angesetzter Arbeitsposten -> im Arbeitsfach eingetragener Posten	ausgewaehltes Arbeitsfach	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	NO
H1-S002	f10r	H1	H1:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	EXPLICIT_LOCAL_CONTINUATION	H1:OWNER_01:STATE_01	H1:OWNER_01:STATE_02	CURRENT_ITEM|OWNER_BOUND_MATERIAL	aktuell gemeinter Arbeitsposten | vom Bildbesitzer gesetzter lokaler Arbeitsstoff	ansetzen -> abziehen	angesetzter Arbeitsposten -> abgenommener oder abgezogener Anteil	beim aktiven Bildbesitzer	Gib den nächsten Posten in denselben Ansatz, nimm ihn wieder ab und fahre fort, sobald er bereit ist.	NO
H2-S001	f10r	H2	H2:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	RECORD_INITIALIZE	H2:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	H2:OWNER_01:STATE_01	PREPARATION|CURRENT_ITEM|OWNER_BOUND_MATERIAL	aktueller Ansatz | aktuell gemeinter Arbeitsposten | vom Bildbesitzer gesetzter lokaler Arbeitsstoff	abziehen	abgenommener oder abgezogener Anteil	beim aktiven Bildbesitzer	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	NO
H2-S002	f10r	H2	H2:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	EXPLICIT_LOCAL_CONTINUATION	H2:OWNER_01:STATE_01	H2:OWNER_01:STATE_02	PREPARATION|OWNER_BOUND_MATERIAL|SOURCE_STOCK	aktueller Ansatz | vom Bildbesitzer gesetzter lokaler Arbeitsstoff | lokaler Quellvorrat	abziehen	abgenommener oder abgezogener Anteil	beim aktiven Bildbesitzer	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	NO
H2-S003	f10r	H2	H2:OWNER_01	abgebildete breit gezähnte radialblütige Pflanze	CURRENT_ITEM_CONTINUATION	H2:OWNER_01:STATE_02	H2:OWNER_01:STATE_03	PREPARATION|CURRENT_ITEM|OWNER_BOUND_MATERIAL	aktueller Ansatz | aktuell gemeinter Arbeitsposten | vom Bildbesitzer gesetzter lokaler Arbeitsstoff	zufuehren -> zufuehren -> abziehen	zugefuehrte Portion -> zugefuehrte Portion -> abgenommener oder abgezogener Anteil	beim aktiven Bildbesitzer	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	NO
H3-S001	f11r	H3	H3:OWNER_01	abgebildete dicht blau blühende Kronenpflanze	RECORD_INITIALIZE	H3:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	H3:OWNER_01:STATE_01	OWNER_BOUND_MATERIAL|TARGET_PLACE|CURRENT_ITEM	vom Bildbesitzer gesetzter lokaler Arbeitsstoff | bezeichnete Zielstelle | aktuell gemeinter Arbeitsposten	eintragen + halten -> halten -> auswringen -> halten -> hineingeben -> halten -> eintragen + abziehen	im Arbeitsfach eingetragener Posten -> gehaltener oder einwirkender Arbeitsposten -> gehaltener oder einwirkender Arbeitsposten -> ausgedrueckter Stoff oder Pressfluessigkeit -> gehaltener oder einwirkender Arbeitsposten -> in den Empfaenger eingebrachter Stoff -> gehaltener oder einwirkender Arbeitsposten -> im Arbeitsfach eingetragener Posten -> abgenommener oder abgezogener Anteil	bezeichnete Zielstelle	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.	NO
H3-S002	f11r	H3	H3:OWNER_01	abgebildete dicht blau blühende Kronenpflanze	CURRENT_ITEM_CONTINUATION	H3:OWNER_01:STATE_01	H3:OWNER_01:STATE_02	CURRENT_ITEM	aktuell gemeinter Arbeitsposten	halten + eintragen	gehaltener oder einwirkender Arbeitsposten -> im Arbeitsfach eingetragener Posten	beim aktiven Bildbesitzer	Halte den nächsten Posten und trage ihn in denselben Gang ein.	NO
H3-S003	f11r	H3	H3:OWNER_01	abgebildete dicht blau blühende Kronenpflanze	EXPLICIT_LOCAL_CONTINUATION	H3:OWNER_01:STATE_02	H3:OWNER_01:STATE_03	OWNER_BOUND_MATERIAL|CURRENT_ITEM	vom Bildbesitzer gesetzter lokaler Arbeitsstoff | aktuell gemeinter Arbeitsposten	zufuehren	zugefuehrte Portion	beim aktiven Bildbesitzer	Gib davon nach Maß weiter zu.	NO
H3-S004	f11r	H3	H3:OWNER_01	abgebildete dicht blau blühende Kronenpflanze	EXPLICIT_LOCAL_CONTINUATION	H3:OWNER_01:STATE_03	H3:OWNER_01:STATE_04	CURRENT_ITEM|OWNER_BOUND_MATERIAL	aktuell gemeinter Arbeitsposten | vom Bildbesitzer gesetzter lokaler Arbeitsstoff	ansetzen	angesetzter Arbeitsposten	beim aktiven Bildbesitzer	Setze danach diesen Posten weiter ein und führe ihn fort, bis er bereit ist.	NO
H4-S001	f55v	H4	H4:OWNER_01	abgebildete breitblättrige rispige Pflanze	RECORD_INITIALIZE	H4:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	H4:OWNER_01:STATE_01	OWNER_BOUND_MATERIAL|PORTION	vom Bildbesitzer gesetzter lokaler Arbeitsstoff | abgeteilte Portion	ansetzen -> zufuehren -> zufuehren	angesetzter Arbeitsposten -> zugefuehrte Portion -> zugefuehrte Portion	beim aktiven Bildbesitzer	Setze nach Maß an, gib dosiert und nochmals zu und schließe diesen Gang.	NO
