component_no	component	sentence_role	spoken_value_de	object_contribution	concrete_object_reading_de
C01	AIIN	QUANTITY	vorgeschriebenes Maß	SPECIFICATION_OR_BOUNDARY	nach vorgeschriebenem Mass
C02	AIN	QUANTITY	Portion	PORTION	abgeteilte Portion
C03	AIR	PATH_MEDIUM	laufender Bestand	FLOWING_MEDIUM	laufende Arbeitsfluessigkeit
C04	AL	TARGET	bezeichnete Stelle	TARGET_PLACE	bezeichnete Zielstelle
C05	AR	SOURCE	von dort	SOURCE_STOCK	lokaler Quellvorrat
C06	CFH	ACTION	auswringen	TRANSFORMATION	auswringen -> ausgedrueckter Stoff oder Pressfluessigkeit
C07	CH	ACTION	abziehen	TRANSFORMATION	abziehen -> abgenommener oder abgezogener Anteil
C08	CHD	ACTION	umsetzen	TRANSFORMATION	umsetzen -> umgesetzter Arbeitsposten
C09	CHK	ACTION	wärmen	TRANSFORMATION	waermen -> erwaermter Arbeitsposten
C10	CKH	PATH_MEDIUM	Durchlass	PASSAGE	Durchlass oder Gang
C11	CTH	STATE	bereit	SPECIFICATION_OR_BOUNDARY	bis bereit
C12	DA	MODIFIER	zweite	SPECIFICATION_OR_BOUNDARY	in zweiter Stufe
C13	DY	CLOSE	Schluss	SPECIFICATION_OR_BOUNDARY	lokal schliessen
C14	E	GRADE	kurz	SPECIFICATION_OR_BOUNDARY	kurz oder direkt
C15	EE	GRADE	länger	SPECIFICATION_OR_BOUNDARY	laenger anhaltend
C16	EEE	GRADE	vollständig	SPECIFICATION_OR_BOUNDARY	vollstaendig
C17	HO	MATERIAL	Gabe	MATERIAL_CHARGE	einzusetzende Materialgabe
C18	IIN	STATE	Sollstufe	SPECIFICATION_OR_BOUNDARY	bis zur Sollstufe
C19	K	ACTION	zuführen	TRANSFORMATION	zufuehren -> zugefuehrte Portion
C20	L	ACTION	führen	TRANSFORMATION	fuehren -> weitergefuehrter Arbeitsposten
C21	LD	ACTION	befestigen	TRANSFORMATION	befestigen -> befestigter Arbeitsposten
C22	LS	SEQUENCE	weiter	SPECIFICATION_OR_BOUNDARY	weiter
C23	LSH	ACTION	waschen	TRANSFORMATION	waschen -> gewaschener Arbeitsposten oder Waschfluessigkeit
C24	O	PROCESS	Arbeitsgang	SPECIFICATION_OR_BOUNDARY	im bezeichneten Arbeitsgang
C25	OK	ACTION	ansetzen	TRANSFORMATION	ansetzen -> angesetzter Arbeitsposten
C26	OL	SEQUENCE	fortsetzen	SPECIFICATION_OR_BOUNDARY	als Fortsetzung
C27	OR	PREPARATION	Ansatz	PREPARATION	aktueller Ansatz
C28	OS	TARGET	Arbeitsfach	WORK_COMPARTMENT	ausgewaehltes Arbeitsfach
C29	OT	SEQUENCE	danach	SPECIFICATION_OR_BOUNDARY	danach
C30	P	ACTION	hineingeben	TRANSFORMATION	hineingeben -> in den Empfaenger eingebrachter Stoff
C31	R	ACTION	abkühlen	TRANSFORMATION	abkuehlen -> abgekuehlter Arbeitsposten
C32	S	ACTION	teilen	TRANSFORMATION	teilen -> abgeteilter Arbeitsposten
C33	SH	ACTION	halten	TRANSFORMATION	halten -> gehaltener oder einwirkender Arbeitsposten
C34	SHED	ACTION	absetzen	TRANSFORMATION	absetzen -> abgesetzter Stoff mit Ueberstand und Rueckstand
C35	SOLK	ACTION	auffangen	TRANSFORMATION	auffangen -> aufgefangener Auszug oder Arbeitsbestand
C36	T	ACTION	eintragen	TRANSFORMATION	eintragen -> im Arbeitsfach eingetragener Posten
C37	TALAM	ACTION	verwahren	TRANSFORMATION	verwahren -> verwahrter Arbeitsposten
C38	Y	ITEM	dieser Posten	CURRENT_ITEM	aktuell gemeinter Arbeitsposten
