gdt638_rank	surface	strict_locus	occurrences	pages	reader_exact_occurrences	gdt638_automatic_default_de	default_meaning_de	composition	promotion_state	barrier
1	keechy	f47v.4	3	3	2	heiß gebundene Trockenform II	heiß-trockene Grundform, Bindungsstufe II	k+ee+ch+y	HELD_FOR_NEXT_ROUTE	EE_CH_Y_FIELD_ORDER_UNBOUND
2	chokshy	f29r.6	1	1	1	trocken angesetzte heiß-feuchte Grundform	Trockenpräparat aus heiß-feuchter Droge, Grundform	ch+o+(k+sh+y)	HELD_FOR_NEXT_ROUTE	TWO_SCOPE_PARSE_NOT_YET_BOUND
3	shy	f83r.36	95	64	67	Samendroge: Grundform	feucht, Grundform	sh+y	TRIAL	TRIAL
7	yty	f4r.4	18	15	16	Grundform	Grundrahmen: kalte Grundform	y+t+y	HELD_FOR_NEXT_ROUTE	OUTER_Y_SCOPE_UNBOUND
10	chotaiin	f56v.15	8	8	7	Trockenansatz: kalt, Grad III	trockene Zubereitung: kalt, Grad III	ch+o+t+aiin	TRIAL	TRIAL
16	cthar	f17r.11	14	12	13	Blatt-/Krautgut	CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I	cth+ar	TRIAL	TRIAL_EXACT_ONLY
18	cpholdy	f4r.8	2	2	2	cpholdy: ungeklärt	CPH-Drogenmaterial, gebundene Abschlussform	cph+ol+dy	HELD_FOR_NEXT_ROUTE	CPH_HEAD_UNBOUND
27	cheockhy	f107v.7	8	7	7	cheockhy: ungeklärt	trocken gebundene heiße Zubereitungsform	ch+e+o+ckhy	HELD_FOR_NEXT_ROUTE	CKHY_REMAINDER_UNBOUND
28	chckhal	f83r.39	4	4	4	chckhal: ungeklärt	trocken-heißer Rohstoffträger	ch+ckh+al	HELD_FOR_NEXT_ROUTE	CKH_SEGMENT_AND_AL_SCOPE_UNBOUND
31	chear	f8v.17	44	27	38	trocken, Fraktion	trockene Fraktion I	ch+e+ar	TRIAL	TRIAL_EXACT_ONLY
37	dchol	f32r.19	21	21	20	Material/Zubereitungsstoff	Maß trockenen Materials	d+ch+ol	TRIAL	TRIAL
38	ytoryd	f36v.11	1	1	1	Portion/Zutat	kalte Drogenportion, gebundene Abschlussform	y+t+or+y+d	HELD_FOR_NEXT_ROUTE	SINGLETON_FIELD_ORDER_UNBOUND
39	qol	f77v.15	132	32	124	Material/Zubereitungsstoff	Material im qo-Rahmen	q+ol	HELD_FOR_NEXT_ROUTE	Q_ROLE_UNGROUNDED
40	ckhy	f9v.12	34	32	25	Grundform	heiß-trockene Grundform im C-Rahmen	c+k+h+y	HELD_FOR_NEXT_ROUTE	CKH_SEGMENTATION_UNBOUND
43	yto	f37v.23	1	1	1	yto: ungeklärt	kalte Zubereitung im Y-Rahmen	y+t+o	HELD_FOR_NEXT_ROUTE	OPAQUE_SINGLETON_Y_SCOPE
44	odaiim	f24v.16	1	1	1	Zubereitung/Ansatz, Mengenklasse; nur zeilenfinal zusätzlich Abschluss	Ansatzmaß III	o+d+aiim	TRIAL	TRIAL_EXACT_ONLY
45	qotchor	f37v.7	11	10	11	kalt, Portion/Zutat	kalt-trockene Drogenportion	qo+t+ch+or	TRIAL	TRIAL
46	sodal	f42v.8	2	2	1	Samendroge: Rohstoff, Zubereitung/Ansatz	Saatgutzubereitung, Rohstoffmaß	s+o+d+al	HELD_FOR_NEXT_ROUTE	S_HEAD_REMAINDER_ODAL_UNBOUND
47	okeey	f75v.51	138	49	116	heiß, Zubereitung/Ansatz, Grundform	heißer Ansatz, Bindungsstufe II	o+k+ee+y	TRIAL	TRIAL_EXACT_ONLY
48	orol	f80v.44	10	8	9	Material/Zubereitungsstoff, Zubereitung/Ansatz	Zubereitung aus Wurzelmaterial	o+r+ol	HELD_FOR_NEXT_ROUTE	OR_OL_PARSE_COLLISION
49	olcthr	f87v.16	1	1	1	Blatt-/Krautgut, Zubereitung/Ansatz	CTH-Drogenteil im Materialrahmen	ol+cth+r	HELD_FOR_NEXT_ROUTE	SINGLETON_TERMINAL_R_UNBOUND
50	olekor	f99v.28	1	1	1	Material/Zubereitungsstoff, Zubereitung/Ansatz	heiß gebundene Drogenportion im Materialrahmen	ol+e+k+or	HELD_FOR_NEXT_ROUTE	SINGLETON_E_BRIDGE_UNBOUND
57	ches	f89r1.12	31	26	28	trocken	trockene S-Form, attributiv gebunden	ch+e+s	HELD_FOR_NEXT_ROUTE	S_REMAINDER_UNBOUND
60	ytaiin	f16r.9	39	24	39	ytaiin: ungeklärt	Grundrahmen: kalt, Grad III	y+t+aiin	HELD_FOR_NEXT_ROUTE	INITIAL_Y_SCOPE_UNBOUND
