surface	strict_locus	default_meaning_de	composition	occurrences	reader_exact_occurrences	decision	barrier	status
keechy	f47v.4	heiß-trockene Grundform, Bindungsstufe II	k+ee+ch+y	3	2	HOLD	EE_CH_Y_FIELD_ORDER_UNBOUND	DEFAULT_RETAINED_OUTSIDE_V16
chokshy	f29r.6	Trockenpräparat aus heiß-feuchter Droge, Grundform	ch+o+(k+sh+y)	1	1	HOLD	TWO_SCOPE_PARSE_NOT_YET_BOUND	DEFAULT_RETAINED_OUTSIDE_V16
yty	f4r.4	Grundrahmen: kalte Grundform	y+t+y	18	16	HOLD	OUTER_Y_SCOPE_UNBOUND	DEFAULT_RETAINED_OUTSIDE_V16
cpholdy	f4r.8	CPH-Drogenmaterial, gebundene Abschlussform	cph+ol+dy	2	2	HOLD	CPH_HEAD_UNBOUND	DEFAULT_RETAINED_OUTSIDE_V16
cheockhy	f107v.7	trocken gebundene heiße Zubereitungsform	ch+e+o+ckhy	8	7	HOLD	CKHY_REMAINDER_UNBOUND	DEFAULT_RETAINED_OUTSIDE_V16
chckhal	f83r.39	trocken-heißer Rohstoffträger	ch+ckh+al	4	4	HOLD	CKH_SEGMENT_AND_AL_SCOPE_UNBOUND	DEFAULT_RETAINED_OUTSIDE_V16
ytoryd	f36v.11	kalte Drogenportion, gebundene Abschlussform	y+t+or+y+d	1	1	HOLD	SINGLETON_FIELD_ORDER_UNBOUND	DEFAULT_RETAINED_OUTSIDE_V16
qol	f77v.15	Material im qo-Rahmen	q+ol	132	124	HOLD	Q_ROLE_UNGROUNDED	DEFAULT_RETAINED_OUTSIDE_V16
ckhy	f9v.12	heiß-trockene Grundform im C-Rahmen	c+k+h+y	34	25	HOLD	CKH_SEGMENTATION_UNBOUND	DEFAULT_RETAINED_OUTSIDE_V16
yto	f37v.23	kalte Zubereitung im Y-Rahmen	y+t+o	1	1	HOLD	OPAQUE_SINGLETON_Y_SCOPE	DEFAULT_RETAINED_OUTSIDE_V16
sodal	f42v.8	Saatgutzubereitung, Rohstoffmaß	s+o+d+al	2	1	HOLD	S_HEAD_REMAINDER_ODAL_UNBOUND	DEFAULT_RETAINED_OUTSIDE_V16
orol	f80v.44	Zubereitung aus Wurzelmaterial	o+r+ol	10	9	HOLD	OR_OL_PARSE_COLLISION	DEFAULT_RETAINED_OUTSIDE_V16
olcthr	f87v.16	CTH-Drogenteil im Materialrahmen	ol+cth+r	1	1	HOLD	SINGLETON_TERMINAL_R_UNBOUND	DEFAULT_RETAINED_OUTSIDE_V16
olekor	f99v.28	heiß gebundene Drogenportion im Materialrahmen	ol+e+k+or	1	1	HOLD	SINGLETON_E_BRIDGE_UNBOUND	DEFAULT_RETAINED_OUTSIDE_V16
ches	f89r1.12	trockene S-Form, attributiv gebunden	ch+e+s	31	28	HOLD	S_REMAINDER_UNBOUND	DEFAULT_RETAINED_OUTSIDE_V16
ytaiin	f16r.9	Grundrahmen: kalt, Grad III	y+t+aiin	39	39	HOLD	INITIAL_Y_SCOPE_UNBOUND	DEFAULT_RETAINED_OUTSIDE_V16
