audit_id	round	surface	page	locus	section	language	hand	token_ordinal	line_position	previous	following	zl3b_line	it2a_line	rf1b_line	reader_exact	split_normalized	before_state	before_gloss	after_gloss	known_other_tokens	other_token_positions	context_fraction	local_before_de	local_after_de	flags	verdict	review_reason
G639-A01-001	1	qotchor	f10r	f10r.8	H	A	1	1	FIRST	<BOS>	chor	qotchor chor otol chol cholor chol daiin dar	qotchor chor otol chol cholor chol daiin dar	qotchor chor otol chol cholor chol daiin dar	1	1	UNKNOWN_SURFACE	[qotchor:?]	kalt-trockene Drogenportion	4	7	0.571429	[qotchor:?] | Pflanzen-/Reproduktionsteil | [otol:?] | trocken; nominal trockenes Gut/Material | [cholor:?] | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [dar:?]	kalt-trockene Drogenportion | Pflanzen-/Reproduktionsteil | [otol:?] | trocken; nominal trockenes Gut/Material | [cholor:?] | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [dar:?]	NONE	CONSISTENT_CONCRETE	all visible candidate fields remain present and no opposite bound component is introduced
G639-A01-002	1	qotchor	f14r	f14r.10	H	A	1	1	FIRST	<BOS>	chod	qotchor chod shoty chody dol dy dy okchydy	qotchor chod shoty chody dol dy dy okchy dy	qotchor chod shoty chody dol dy dy okchy dy	1	1	UNKNOWN_SURFACE	[qotchor:?]	kalt-trockene Drogenportion	1	7	0.142857	[qotchor:?] | [chod:?] | [shoty:?] | [chody:?] | Materialmaß | [dy:?] | [dy:?] | [okchydy:?]	kalt-trockene Drogenportion | [chod:?] | [shoty:?] | [chody:?] | Materialmaß | [dy:?] | [dy:?] | [okchydy:?]	OPAQUE_OTHER_TOKENS	OPAQUE_CONTEXT	too few independently concrete neighbouring positions to test the complete noun phrase
G639-A01-003	1	qotchor	f15r	f15r.15	H	A	1	1	FIRST	<BOS>	chaiin	qotchor chaiin chy kol daky	qotchor chaiin chy koldaky	qotchor chaiin chykol daky	1	1	UNKNOWN_SURFACE	[qotchor:?]	kalt-trockene Drogenportion	3	4	0.750000	[qotchor:?] | trocken, Grad III | trocken, Grundform | heiß; nominal heißes Gut/Material | [daky:?]	kalt-trockene Drogenportion | trocken, Grad III | trocken, Grundform | heiß; nominal heißes Gut/Material | [daky:?]	NONE	CONSISTENT_CONCRETE	all visible candidate fields remain present and no opposite bound component is introduced
G639-A01-004	1	qotchor	f19r	f19r.9	H	A	1	1	FIRST	<BOS>	dy	qotchor dy dor y tchy kchy shdaiin	qotchor dy dor y tchykchy shdaiin	qotchor dy dor y tchykchy shdaiin	1	1	UNKNOWN_SURFACE	[qotchor:?]	kalt-trockene Drogenportion	0	6	0.000000	[qotchor:?] | [dy:?] | [dor:?] | [y:?] | [tchy:?] | [kchy:?] | [shdaiin:?]	kalt-trockene Drogenportion | [dy:?] | [dor:?] | [y:?] | [tchy:?] | [kchy:?] | [shdaiin:?]	OPAQUE_OTHER_TOKENS	OPAQUE_CONTEXT	too few independently concrete neighbouring positions to test the complete noun phrase
G639-A01-005	1	qotchor	f30r	f30r.11	H	A	1	1	FIRST	<BOS>	cheor	qotchor cheor chey cheor chey soeeb ydey sor daiin	qotchor cheor chey cheor chey soiin ydey sor daiin	qotchor cheor chey cheor chey soeeb ydey sor daiin	1	1	UNKNOWN_SURFACE	[qotchor:?]	kalt-trockene Drogenportion	2	8	0.250000	[qotchor:?] | [cheor:?] | [chey:?] | [cheor:?] | [chey:?] | [soeeb:?] | [ydey:?] | Samenportion | Menge/Portion III	kalt-trockene Drogenportion | [cheor:?] | [chey:?] | [cheor:?] | [chey:?] | [soeeb:?] | [ydey:?] | Samenportion | Menge/Portion III	OPAQUE_OTHER_TOKENS	OPAQUE_CONTEXT	too few independently concrete neighbouring positions to test the complete noun phrase
G639-A01-006	1	qotchor	f30v	f30v.2	H	A	1	1	FIRST	<BOS>	chy	qotchor chy she kchor chory keor ol chy daiin ctholdy	qotchor chy she kchor chory keor ol chy daiin ctholdy	qotchor chy she kchor chory keor ol chy daiin cthol y	1	1	UNKNOWN_SURFACE	[qotchor:?]	kalt-trockene Drogenportion	5	9	0.555556	[qotchor:?] | trocken, Grundform | feucht, attributiv gebunden | [kchor:?] | [chory:?] | [keor:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken, Grundform | Grad-/Maßwert III | [ctholdy:?]	kalt-trockene Drogenportion | trocken, Grundform | feucht, attributiv gebunden | [kchor:?] | [chory:?] | [keor:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken, Grundform | Grad-/Maßwert III | [ctholdy:?]	ACTIVE_RIVAL_CONTEXT	CONSISTENT_CONCRETE	all visible candidate fields remain present and no opposite bound component is introduced
G639-A01-007	1	qotchor	f30v	f30v.9	H	A	1	1	FIRST	<BOS>	chor	qotchor chor sheey cheolsos	qotchor chor sheey cheol sos	qotchor chor sheey cheolsos	1	1	UNKNOWN_SURFACE	[qotchor:?]	kalt-trockene Drogenportion	2	3	0.666667	[qotchor:?] | Pflanzen-/Reproduktionsteil | feucht, Bindungsstufe II | [cheolsos:?]	kalt-trockene Drogenportion | Pflanzen-/Reproduktionsteil | feucht, Bindungsstufe II | [cheolsos:?]	NONE	CONSISTENT_CONCRETE	all visible candidate fields remain present and no opposite bound component is introduced
G639-A01-008	1	qotchor	f36v	f36v.4	H	A	1	1	FIRST	<BOS>	y	qotchor y ky ty dy daiin cthor	qotchor yky ty dy daiin cthor	qotchor ykytydy daiin cthor	1	1	UNKNOWN_SURFACE	[qotchor:?]	kalt-trockene Drogenportion	2	6	0.333333	[qotchor:?] | [y:?] | [ky:?] | [ty:?] | [dy:?] | Grad-/Maßwert III | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge	kalt-trockene Drogenportion | [y:?] | [ky:?] | [ty:?] | [dy:?] | Grad-/Maßwert III | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge	OPAQUE_OTHER_TOKENS	OPAQUE_CONTEXT	too few independently concrete neighbouring positions to test the complete noun phrase
G639-A01-009	1	qotchor	f37r	f37r.5	H	A	1	3	MIDDLE	qokchy	chkol	yky qokchy qotchor chkol otoly	yky qokchy qotchor chkol otoly	yky qokchy qotchor chkol otoly	1	1	UNKNOWN_SURFACE	[qotchor:?]	kalt-trockene Drogenportion	1	4	0.250000	[yky:?] | heiß-trocken | [qotchor:?] | [chkol:?] | [otoly:?]	[yky:?] | heiß-trocken | kalt-trockene Drogenportion | [chkol:?] | [otoly:?]	OPAQUE_OTHER_TOKENS	OPAQUE_CONTEXT	too few independently concrete neighbouring positions to test the complete noun phrase
G639-A01-010	1	qotchor	f37v	f37v.7	H	A	1	1	FIRST	<BOS>	daiin	qotchor daiin	qotchor daiin	qotchor daiin	1	1	UNKNOWN_SURFACE	[qotchor:?]	kalt-trockene Drogenportion	1	1	1.000000	[qotchor:?] | Menge/Portion III	kalt-trockene Drogenportion | Menge/Portion III	OPAQUE_OTHER_TOKENS	OPAQUE_CONTEXT	too few independently concrete neighbouring positions to test the complete noun phrase
