component_id	surface	segment	working_value_de	evidence_path	evidence_kind	licensed_use
G639-B01	qotchor	qo+t+ch	kalt-trocken im qo-Rahmen	experiments/yolo/gdt628_chol_measure_frame/artifacts/OL_OR_QUALITY_CARRIER_MATRIX.tsv	COMPLETE_OL_OR_GRID_CELL	exact qotchor only
G639-B02	qotchor	or	Teil-/Nominalträger; praktisch Drogenportion	experiments/yolo/gdt628_chol_measure_frame/REPORT.md	BOUND_OR_CARRIER	inside exact qotchor only
G639-B03	dchol	d	freier Wert-/Maßkopf	experiments/yolo/gdt627_value_head_role_atlas/REPORT.md	FREE_MEASURE_HEAD	inside exact dchol only
G639-B04	dchol	chol	trockenes Gut/Material	experiments/yolo/gdt628_chol_measure_frame/REPORT.md	DRY_MATERIAL_CELL	inside exact dchol only
G639-B05	chotaiin	ch+o	trockene Zubereitung	experiments/yolo/gdt633_cth_interfix_semantic_contrasts/REPORT.md	DRY_PREPARATION_SHELL	inside exact chotaiin only
G639-B06	chotaiin	t+aiin	kalt, Grad III	experiments/yolo/gdt627_value_head_role_atlas/REPORT.md	QUALITY_DEGREE_SERIES	inside exact chotaiin only
G639-B07	cthar	cth	CTH-Drogenmaterial; Herbal Blatt/Kraut	experiments/yolo/gdt633_cth_interfix_semantic_contrasts/REPORT.md	CTH_MATERIAL_HEAD	section-sensitive exact cthar only
G639-B08	cthar	ar	Fraktionsklasse I	experiments/yolo/gdt636_residual_four_head_semantics/artifacts/RESIDUAL_BODY_DEFAULTS.tsv	SCOPED_RESIDUAL_BODY	no bare-ar glossary row
G639-B09	chear	ch+e	trocken, attributiv gebunden	experiments/yolo/gdt633_cth_interfix_semantic_contrasts/REPORT.md	ATTRIBUTIVE_DRY_SHELL	inside exact chear only
G639-B10	chear	ar	Fraktionsklasse I	experiments/yolo/gdt636_residual_four_head_semantics/artifacts/RESIDUAL_BODY_DEFAULTS.tsv	SCOPED_RESIDUAL_BODY	no bare-ar glossary row
G639-B11	odaiim	o	Zubereitung/Ansatz	experiments/yolo/gdt633_cth_interfix_semantic_contrasts/REPORT.md	PREPARATION_FRAME	singleton exact odaiim only
G639-B12	odaiim	d+aiim	Maß, Mengenklasse III	experiments/yolo/gdt638_sequential_compound_promotion/artifacts/WORKING_DICTIONARY_V15.tsv	BOUND_MEASURE_CLASS_TAIL	no bare-aiim globalization
G639-B13	okeey	o+k	heißer Ansatz	experiments/yolo/gdt633_cth_interfix_semantic_contrasts/REPORT.md	HOT_PREPARATION_FRAME	exact okeey only
G639-B14	okeey	ee+y	Bindungsstufe II, Grundform	experiments/yolo/gdt634_known_core_terminal_semantics/REPORT.md	EE_STAGE_AND_BASE_CLOSURE	no transfer to keey/qokeey/okeedy
G639-B15	shy	sh	feucht	experiments/yolo/gdt635_initial_head_same_remainder_swaps/src/run.py	MOIST_STATE_AXIS	exact shy; never s+hy
G639-B16	shy	y	Grundform	experiments/yolo/gdt635_initial_head_same_remainder_swaps/artifacts/STATE_BODY_HEAD_GRID.tsv	ZERO_E_STATE_LADDER	exact shy; no bare-y globalization
