from_phase	to_phase	herbal_count	biological_count	shared_across_registers	total
APPLY	HOLD	0	2	NO	2
APPLY	HOLD>CLOSE	1	2	YES	3
APPLY	MEASURE	2	6	YES	8
APPLY	MOVE	1	5	YES	6
APPLY	MOVE>CLOSE	0	1	NO	1
APPLY	PREPARE	1	2	YES	3
APPLY>CLOSE	MEASURE	0	1	NO	1
CHECK	COLLECT	1	0	NO	1
CHECK	HOLD	0	1	NO	1
CHECK	MEASURE	0	1	NO	1
CHECK	MOVE	2	1	YES	3
CHECK	MOVE>CLOSE	0	1	NO	1
CHECK	PREPARE	1	0	NO	1
CHECK	SELECT	1	0	NO	1
COLLECT	APPLY	2	0	NO	2
COLLECT	CHECK	2	0	NO	2
COLLECT	HOLD	0	2	NO	2
COLLECT	HOLD>CLOSE	0	2	NO	2
COLLECT	MEASURE	1	3	YES	4
COLLECT	MOVE	0	1	NO	1
COLLECT	MOVE>CLOSE	0	1	NO	1
COLLECT	PREPARE	3	0	NO	3
COLLECT	SELECT	1	0	NO	1
COLLECT>CLOSE	COLLECT	1	0	NO	1
COLLECT>CLOSE	HOLD>CLOSE	0	2	NO	2
COLLECT>CLOSE	MOVE	0	1	NO	1
HOLD	APPLY	1	4	YES	5
HOLD	COLLECT	0	1	NO	1
HOLD	COLLECT>CLOSE	0	1	NO	1
HOLD	MEASURE	1	6	YES	7
HOLD	MOVE	0	2	NO	2
HOLD	MOVE>CLOSE	0	7	NO	7
HOLD	PREPARE	0	3	NO	3
HOLD	SELECT	3	0	NO	3
HOLD>CLOSE	APPLY	0	2	NO	2
HOLD>CLOSE	APPLY>CLOSE	0	1	NO	1
HOLD>CLOSE	HOLD	1	2	YES	3
HOLD>CLOSE	HOLD>CLOSE	0	14	NO	14
HOLD>CLOSE	MEASURE	0	6	NO	6
HOLD>CLOSE	MOVE	0	9	NO	9
HOLD>CLOSE	MOVE>CLOSE	0	8	NO	8
HOLD>CLOSE	PREPARE	0	2	NO	2
HOLD>CLOSE	PREPARE>CLOSE	0	1	NO	1
HOLD>CLOSE	SELECT	0	1	NO	1
MEASURE	APPLY	1	4	YES	5
MEASURE	CHECK	1	3	YES	4
MEASURE	COLLECT	0	3	NO	3
MEASURE	COLLECT>CLOSE	0	1	NO	1
MEASURE	HOLD	1	4	YES	5
MEASURE	HOLD>CLOSE	0	6	NO	6
MEASURE	MOVE	5	13	YES	18
MEASURE	MOVE>CLOSE	0	3	NO	3
MEASURE	PREPARE	2	3	YES	5
MEASURE	PREPARE>CLOSE	2	0	NO	2
MEASURE	SELECT	3	1	YES	4
MOVE	APPLY	0	4	NO	4
MOVE	CHECK	1	1	YES	2
MOVE	COLLECT	2	3	YES	5
MOVE	COLLECT>CLOSE	1	0	NO	1
MOVE	HOLD	0	6	NO	6
MOVE	HOLD>CLOSE	0	7	NO	7
MOVE	MEASURE	7	3	YES	10
MOVE	MOVE>CLOSE	0	2	NO	2
MOVE	PREPARE	2	9	YES	11
MOVE	SELECT	1	1	YES	2
MOVE>CLOSE	APPLY	0	4	NO	4
MOVE>CLOSE	COLLECT	0	1	NO	1
MOVE>CLOSE	HOLD	0	3	NO	3
MOVE>CLOSE	HOLD>CLOSE	0	3	NO	3
MOVE>CLOSE	MEASURE	0	8	NO	8
MOVE>CLOSE	MOVE	0	4	NO	4
MOVE>CLOSE	MOVE>CLOSE	0	6	NO	6
MOVE>CLOSE	PREPARE	0	2	NO	2
PREPARE	CHECK	2	0	NO	2
PREPARE	COLLECT	1	0	NO	1
PREPARE	HOLD	0	3	NO	3
PREPARE	HOLD>CLOSE	0	10	NO	10
PREPARE	MEASURE	4	5	YES	9
PREPARE	MOVE	2	3	YES	5
PREPARE	SELECT	2	0	NO	2
PREPARE>CLOSE	MEASURE	2	1	YES	3
SELECT	APPLY	1	0	NO	1
SELECT	COLLECT	1	0	NO	1
SELECT	HOLD	2	1	YES	3
SELECT	MEASURE	0	1	NO	1
SELECT	MOVE	4	0	NO	4
SELECT	MOVE>CLOSE	0	1	NO	1
SELECT	PREPARE	2	0	NO	2
