record_order	record_unit_id	register	page	events	statements	phase_segments	owner_resets	phase_chain	readable_workflow_de
1	H1	HERBAL	f10r	14	2	12	1	COLLECT>CHECK>MOVE>CHECK>COLLECT>APPLY>MEASURE>HOLD>SELECT>COLLECT>PREPARE>CHECK	[COLLECT] Pflanzenmaterial kurz abziehen. [CHECK] Ansatz bereit. [MOVE] aus dem laufenden Pflanzenansatz; den laufenden Pflanzenansatz füllen. [CHECK] Gefäß. [COLLECT] Wasser abziehen; danach Arbeitsflüssigkeit füllen und weiter abziehen. [APPLY] verwende abgezogene Flüssigkeitsfraktion. [MEASURE] Maß. [HOLD] abgezogene Flüssigkeitsfraktion kurz füllen. [SELECT] abgezogene Flüssigkeitsfraktion ansetzen. [COLLECT] danach weiter abziehen. [PREPARE] fortsetzen. [CHECK] bereit.
2	H2	HERBAL	f10r	24	3	19	1	COLLECT>CHECK>PREPARE>MEASURE>CHECK>MOVE>MEASURE>MOVE>COLLECT>PREPARE>SELECT>PREPARE>MEASURE>MOVE>PREPARE>MOVE>MEASURE>MOVE>MEASURE	[COLLECT] diesen Ansatz kurz abziehen. [CHECK] bereit. [PREPARE] Ansatz. [MEASURE] auf Maß bereitstellen. [CHECK] laufender Pflanzenansatz bereit weiterführen. [MOVE] laufender Pflanzenansatz; laufender Pflanzenansatz. [MEASURE] Maß. [MOVE] laufender Pflanzenansatz. [COLLECT] danach Ansatz abziehen. [PREPARE] Ansatz. [SELECT] danach fortsetzen. [PREPARE] fortsetzen; weiterer Ansatz; fortsetzen. [MEASURE] Maß. [MOVE] aus dem laufenden Pflanzenansatz; laufender Pflanzenansatz dem Ansatz zuführen. [PREPARE] Ansatz; Ansatz. [MOVE] laufender Pflanzenansatz. [MEASURE] bis zur Sollstufe zuführen. [MOVE] laufender Pflanzenansatz. [MEASURE] auf Maß abziehen.
3	H3	HERBAL	f11r	17	4	14	1	HOLD>APPLY>PREPARE>MEASURE>MOVE>COLLECT>CLOSE>COLLECT>PREPARE>COLLECT>MEASURE>SELECT>PREPARE>CHECK>SELECT	[HOLD] weiter gefüllt halten. [APPLY] an der Stelle halten. [PREPARE] auswringen. [MEASURE] Pflanzenmaterial bis zum Maß halten. [MOVE] Pflanzenmaterial hineinführen. [COLLECT] Klarauszug; füllen und abziehen; Schluss. [COLLECT] Fraktion des Ergebnisbestands halten und füllen. [PREPARE] fortsetzen. [COLLECT] Fraktion des Ergebnisbestands; Fraktion des Ergebnisbestands zuführen; Fraktion des Ergebnisbestands. [MEASURE] Maß. [SELECT] nächster Posten. [PREPARE] weiter ansetzen. [CHECK] bereit. [SELECT] nächster Arbeitsposten.
4	H4	HERBAL	f55v	18	4	14	1	MEASURE>PREPARE>CLOSE>MEASURE>PREPARE>MEASURE>MOVE>MEASURE>PREPARE>CLOSE>MEASURE>APPLY>MEASURE>PREPARE>MOVE>MEASURE	[MEASURE] bemessen; Maß; eine Portion davon zuführen; eine Portion davon zuführen. [PREPARE] Arbeitsgang abschließen; Schritt schließen. [MEASURE] Maß; zweite Teilportion vom Pflanzenmaterial umsetzen. [PREPARE] verwahren. [MEASURE] zweite Teilportion vom Pflanzenmaterial auf Maß zuführen. [MOVE] Auszug aus der Quelle. [MEASURE] zweite Teilportion vom Pflanzenmaterial länger wärmen. [PREPARE] fortsetzen; Schluss. [MEASURE] Maß. [APPLY] an die Stelle setzen. [MEASURE] zweite Teilportion vom Pflanzenmaterial weiter füllen. [PREPARE] Ansatz. [MOVE] laufender Pflanzenansatz. [MEASURE] Ansatzportion.
5	H5	HERBAL	f56r	27	6	24	1	COLLECT>SELECT>MOVE>MEASURE>SELECT>MOVE>COLLECT>APPLY>MOVE>PREPARE>SELECT>APPLY>HOLD>CLOSE>HOLD>SELECT>HOLD>SELECT>MOVE>SELECT>MOVE>MEASURE>SELECT>HOLD>MEASURE	[COLLECT] Zutat aus dem Ansatz abziehen. [SELECT] Zutat. [MOVE] diese Zutat an die Stelle. [MEASURE] Maß. [SELECT] Zutat. [MOVE] weiter zuführen. [COLLECT] danach Ansatz abziehen. [APPLY] verwende den laufenden Pflanzenansatz. [MOVE] Stelle. [PREPARE] fortsetzen. [SELECT] diese Zutat. [APPLY] verwende Zugabe. [HOLD] länger durch den Durchlass; Schluss. [HOLD] halten. [SELECT] Zutat. [HOLD] Zugabe kurz zuführen. [SELECT] Zugabe erneut ansetzen; Zugabe ansetzen; Auszug ansetzen. [MOVE] an die Stelle zuführen. [SELECT] Zutat; Zugabe ansetzen. [MOVE] Zutat aus dem Vorrat zuführen. [MEASURE] danach eine Portion. [SELECT] nächster Posten. [HOLD] kurz weiter zuführen. [MEASURE] Maß.
6	B1	BIOLOGICAL	f81v	66	21	60	1	HOLD>CLOSE>MEASURE>MOVE>APPLY>MOVE>PREPARE>MEASURE>MOVE>PREPARE>HOLD>MOVE>PREPARE>HOLD>MEASURE>APPLY>MEASURE>MOVE>CLOSE>PREPARE>HOLD>CLOSE>MOVE>PREPARE>HOLD>CLOSE>MOVE>CLOSE>MEASURE>MOVE>HOLD>MOVE>CLOSE>MOVE>PREPARE>HOLD>PREPARE>HOLD>CLOSE>HOLD>CLOSE>HOLD>CLOSE>MOVE>APPLY>PREPARE>HOLD>CLOSE>HOLD>CLOSE>MOVE>COLLECT>MOVE>PREPARE>MOVE>HOLD>MOVE>CLOSE>APPLY>HOLD>PREPARE>HOLD>CLOSE>MOVE>HOLD>MOVE>CLOSE>MOVE>HOLD>MEASURE>COLLECT>CLOSE>HOLD>CLOSE>HOLD>CLOSE>MOVE	[HOLD] kurz ansetzen; Schluss. [MEASURE] bemessen. [MOVE] Wasser zuführen. [APPLY] an die Stelle setzen. [MOVE] aus der Arbeitsflüssigkeit. [PREPARE] fortsetzen. [MEASURE] eine Portion; weitere Portion. [MOVE] Stelle. [PREPARE] fortsetzen. [HOLD] weiter abkühlen. [MOVE] weiterführen. [PREPARE] weiterer Ansatz; fortsetzen. [HOLD] kurz an der Durchlassstelle. [MEASURE] Maß. [APPLY] länger an der Stelle halten. [MEASURE] Maß. [MOVE] durchführen; umsetzen; Schluss. [PREPARE] fortsetzen. [HOLD] gebuendelt umsetzen; Schluss. [MOVE] laufender Stationsansatz umsetzen. [PREPARE] fortsetzen. [HOLD] absetzen; Schluss. [MOVE] weiterführen; Schluss. [MEASURE] eine Portion zugeben. [MOVE] durchführen; weiterführen. [HOLD] an der Stelle abkühlen. [MOVE] Ansatz umsetzen; Schluss. [MOVE] laufender Stationsansatz. [PREPARE] fortsetzen. [HOLD] kurz wärmen. [PREPARE] fortsetzen. [HOLD] absetzen; Schluss. [HOLD] kurz ansetzen; Schluss. [HOLD] kurz ansetzen; Schluss. [MOVE] durchführen. [APPLY] verwende den laufenden Stationsansatz. [PREPARE] Waschgang. [HOLD] kurz ansetzen; Waschgang; Schluss. [HOLD] Waschgang; Schluss. [MOVE] laufender Stationsansatz umsetzen. [COLLECT] laufender Stationsansatz auffangen. [MOVE] zum Auslass führen. [PREPARE] fortsetzen. [MOVE] danach von aufgefangener Bestand des laufender Stationsansatz. [HOLD] aufgefangener Bestand des laufender Stationsansatz kurz füllen. [MOVE] Ansatz umsetzen; Schluss. [APPLY] an die Stelle setzen. [HOLD] länger ansetzen. [PREPARE] fortsetzen. [HOLD] absetzen; Schluss. [MOVE] Stelle. [HOLD] kurz fortsetzen. [MOVE] umsetzen; Schluss. [MOVE] laufender Stationsansatz führen. [HOLD] kurz halten. [MEASURE] Sollstand. [COLLECT] länger auffangen; Schluss. [HOLD] absetzen; Schluss. [HOLD] kurz wärmen; seihen; Schluss. [MOVE] Stelle.
7	B2	BIOLOGICAL	f82r	62	22	55	5	MOVE>CLOSE>MOVE>CLOSE>MEASURE>HOLD>CLOSE>APPLY>MEASURE>MOVE>HOLD>MOVE>CLOSE>APPLY>MEASURE>MOVE>MEASURE>HOLD>MEASURE>MOVE>CLOSE>HOLD>APPLY>MEASURE>APPLY>HOLD>CLOSE>MEASURE>MOVE>HOLD>CLOSE>HOLD>CLOSE>HOLD>APPLY>MOVE>COLLECT>MEASURE>HOLD>CLOSE>MEASURE>COLLECT>HOLD>COLLECT>MEASURE>COLLECT>HOLD>CLOSE>MOVE>CLOSE>COLLECT>HOLD>CLOSE>MOVE>PREPARE>MEASURE>HOLD>MEASURE>HOLD>MOVE>CLOSE>HOLD>MOVE>CLOSE>HOLD>CLOSE>HOLD>CLOSE>HOLD>CLOSE>HOLD>CLOSE>MOVE>CLOSE	[MOVE] umsetzen; Schluss. [MOVE] weiterführen; Schluss. [MEASURE] eine Portion zugeben; Teilportion von obere Beckenflüssigkeit. [HOLD] länger ansetzen; Schluss. [APPLY] an die Stelle setzen. [MEASURE] Teilportion von obere Beckenflüssigkeit zum Durchlass führen. [MOVE] hinausführen. [HOLD] länger ansetzen. [MOVE] hinaus seihen; Schluss. [APPLY] Teilportion von obere Beckenflüssigkeit an die Stelle setzen. [MEASURE] Auffangmass. [MOVE] durchführen. [MEASURE] bemessen; bemessen. [HOLD] kurz bereit fortsetzen. [MEASURE] Teilportion von obere Beckenflüssigkeit länger wärmen. [MOVE] abführen; Schluss. [HOLD] nächsten Posten länger halten. [APPLY] an die Stelle setzen. [MEASURE] Teilportion von obere Beckenflüssigkeit kurz im Durchlass halten. [APPLY] verwende Teilportion von obere Beckenflüssigkeit. [HOLD] kurz halten; Schluss. [MEASURE] nächstes Maß. [MOVE] von Flüssigkeit am Zwischenknoten einsetzen. [HOLD] absetzen; Schluss. [HOLD] mit dem Vorigen kurz absetzen; Schluss. [HOLD] länger ansetzen. [APPLY] verwende Flüssigkeit am Zwischenknoten. [MOVE] abführen. [COLLECT] Klarauszug. [MEASURE] eine Portion zugeben; von Teilportion des Postens der Einzelstation; eine Portion zugeben. [HOLD] länger ansetzen; Schluss. [MEASURE] zweite Teilportion des Postens der Einzelstation abziehen. [COLLECT] Klarauszug; Ergebnisbestand kurz bereithalten. [HOLD] länger ansetzen. [COLLECT] Ergebnisbestand länger abziehen. [MEASURE] Maß. [COLLECT] Fraktion des Ergebnisbestands. [HOLD] vollständig ansetzen; Schluss. [MOVE] hinausführen; Schluss. [COLLECT] von Fraktion des Ergebnisbestands abführen. [HOLD] Flüssigkeit am Beckenrand kurz halten; länger ansetzen; Schluss. [MOVE] Stelle; von Flüssigkeit am Beckenrand hinausführen. [PREPARE] teilen. [MEASURE] Maß. [HOLD] nächsten Posten länger halten. [MEASURE] bemessen. [HOLD] kurz ansetzen. [MOVE] hineinführen; Schluss. [HOLD] an der Stelle kurz abkühlen. [MOVE] an der Stelle schließen; Schritt schließen. [HOLD] länger ansetzen; Schluss. [HOLD] abkühlen und absetzen; Schluss. [HOLD] nächsten Schritt länger halten; Schluss. [HOLD] länger ansetzen; Schluss. [MOVE] weiter hinausführen; Schluss.
8	B3	BIOLOGICAL	f83r	86	34	72	5	COLLECT>CLOSE>MOVE>HOLD>CLOSE>SELECT>MEASURE>SELECT>MOVE>CLOSE>MEASURE>MOVE>MOVE>CLOSE>MOVE>APPLY>MOVE>CLOSE>MEASURE>MOVE>HOLD>CLOSE>MOVE>CLOSE>APPLY>MOVE>HOLD>CLOSE>HOLD>APPLY>MOVE>PREPARE>HOLD>CLOSE>MEASURE>HOLD>CLOSE>MOVE>HOLD>CLOSE>MOVE>CLOSE>MOVE>MOVE>CLOSE>HOLD>CLOSE>HOLD>CLOSE>HOLD>CLOSE>MOVE>CLOSE>MEASURE>CHECK>MOVE>MEASURE>APPLY>HOLD>MOVE>CHECK>MOVE>CLOSE>MOVE>CLOSE>MOVE>CLOSE>MOVE>CLOSE>MOVE>CLOSE>HOLD>MEASURE>MOVE>MEASURE>CHECK>HOLD>COLLECT>CLOSE>HOLD>CLOSE>HOLD>CLOSE>PREPARE>HOLD>CLOSE>APPLY>MEASURE>MOVE>CLOSE>HOLD>CLOSE>MEASURE>HOLD>CLOSE>MOVE>CLOSE>MEASURE>CHECK>MEASURE>APPLY>HOLD>CLOSE	[COLLECT] länger auffangen; Schluss. [MOVE] Folgestelle. [HOLD] länger wärmen; Schluss. [SELECT] aufgefangener Bestand des Gut der Fächerstation. [MEASURE] Maß. [SELECT] aufgefangener Bestand des Gut der Fächerstation. [MOVE] hinausführen; Schluss. [MEASURE] bemessen. [MOVE] Folgestelle; von aufgefangener Bestand des Gut der Fächerstation. [MOVE] umsetzen; Schluss. [MOVE] Gefäßflüssigkeit umsetzen. [APPLY] an die Stelle setzen. [MOVE] weiterführen; Schluss. [MEASURE] bemessen. [MOVE] Gefäßflüssigkeit umsetzen. [HOLD] länger ansetzen; Schluss. [MOVE] hinausführen; Schluss. [APPLY] verwende Gefäßflüssigkeit. [MOVE] an der Stelle hineinführen. [HOLD] kurzer Folgeschritt; Schluss. [HOLD] Gut im Korbgefäß kurz bereit umsetzen. [APPLY] verwende Gut im Korbgefäß. [MOVE] Gut im Korbgefäß umsetzen; Gut im Korbgefäß aus der Quelle nehmen. [PREPARE] Ansatz. [HOLD] absetzen; Schluss. [MEASURE] bemessen; eine Portion; Teilportion aus dem laufenden Stationsansatz kurz bereithalten. [HOLD] kurz ansetzen; Schluss. [MOVE] Wasser in Gang setzen. [HOLD] länger absetzen; Schluss. [MOVE] hinausführen; Schluss. [MOVE] hinausführen. [MOVE] Ansatz umsetzen; Schluss. [HOLD] länger ansetzen; Schluss. [HOLD] absetzen; Schluss. [HOLD] kurz absetzen; Schluss. [MOVE] Stelle; hinausführen; Schluss. [MEASURE] bemessen. [CHECK] bereit. [MOVE] Stelle; laufender Stationsansatz. [MEASURE] Maß. [APPLY] an der Stelle absetzen. [HOLD] laufender Stationsansatz kurz bereit halten. [MOVE] laufender Stationsansatz; Stelle. [CHECK] bereit. [MOVE] an der Stelle überführen; Schluss. [MOVE] danach umsetzen; Schluss. [MOVE] hinausführen; Schluss. [MOVE] umsetzen; Schluss. [MOVE] Ansatz umsetzen; Schluss. [HOLD] länger aus der Quelle führen. [MEASURE] Abfuehrmass. [MOVE] laufender Stationsansatz umsetzen. [MEASURE] eine Portion zugeben. [CHECK] bereit. [HOLD] Ansatz an der Stelle abkühlen. [COLLECT] länger auffangen; Schluss. [HOLD] nächsten Schritt länger halten; Schluss. [HOLD] länger ansetzen; kurz ansetzen; Schluss. [PREPARE] fortsetzen. [HOLD] aufgefangener Bestand des Flüssigkeit des Hauptpaares vollständig füllen; kurz ansetzen; Schluss. [APPLY] verwende aufgefangener Bestand des Flüssigkeit des Hauptpaares. [MEASURE] Maß. [MOVE] Wasser weiterführen; danach umsetzen; Schluss. [HOLD] länger ansetzen; Schluss. [MEASURE] eine Portion überführen; Teilportion aus der Arbeitsflüssigkeit umsetzen; kurzes Folgemaß; nächstes Maß. [HOLD] kurzer Folgeschritt; Schluss. [MOVE] abführen; Schluss. [MEASURE] Sollstand. [CHECK] bereit. [MEASURE] Teilportion aus der Arbeitsflüssigkeit füllen; nächstes Maß. [APPLY] Teilportion aus der Arbeitsflüssigkeit an der Stelle fortsetzen. [HOLD] absetzen; Schluss.
9	B4	BIOLOGICAL	f83r	47	16	39	3	HOLD>CLOSE>MOVE>HOLD>CLOSE>MOVE>SELECT>HOLD>APPLY>PREPARE>HOLD>CLOSE>APPLY>CLOSE>MEASURE>HOLD>CLOSE>HOLD>CLOSE>HOLD>CLOSE>MEASURE>HOLD>CLOSE>HOLD>CLOSE>PREPARE>CLOSE>MEASURE>HOLD>MEASURE>PREPARE>HOLD>CLOSE>MOVE>CLOSE>PREPARE>HOLD>CLOSE>PREPARE>MOVE>HOLD>MOVE>CLOSE>MEASURE>COLLECT>MEASURE>MOVE>COLLECT>MOVE>CLOSE>MEASURE>MOVE>HOLD>CLOSE	[HOLD] länger ansetzen; Schluss. [MOVE] Flüssigkeit des Hauptpaares weiterführen. [HOLD] länger ansetzen; kurz ansetzen; Schluss. [MOVE] Flüssigkeit des Hauptpaares umsetzen; Folgestelle. [SELECT] nächster Posten. [HOLD] länger ansetzen. [APPLY] verwende nächster Arbeitsposten. [PREPARE] fortsetzen. [HOLD] absetzen; Schluss. [APPLY] nächster Arbeitsposten befestigen; Schluss. [MEASURE] Portion; Teilportion von nächster Arbeitsposten umsetzen. [HOLD] länger ansetzen; Schluss. [HOLD] seihen; Schluss. [HOLD] seihen; Schluss. [MEASURE] Maß; Teilportion von nächster Arbeitsposten länger wärmen; Teilportion von nächster Arbeitsposten länger halten. [HOLD] kurz ansetzen; Schluss. [HOLD] absetzen; Schluss. [PREPARE] fortsetzen; Schluss. [MEASURE] Maß. [HOLD] kurz wärmen; länger fortsetzen. [MEASURE] eine Portion zugeben; Teilportion von Gut der Randstation umsetzen. [PREPARE] fortsetzen. [HOLD] kurz abführen; Schluss. [MOVE] hinausführen; Schluss. [PREPARE] Fortsetzung einsetzen. [HOLD] absetzen; Schluss. [PREPARE] Ansatz. [MOVE] laufender Stationsansatz. [HOLD] laufender Stationsansatz kurz durchführen. [MOVE] Wasserlauf schließen; Schritt schließen. [MEASURE] eine Portion zugeben. [COLLECT] Klarauszug. [MEASURE] eine Portion. [MOVE] Durchlassstelle. [COLLECT] kurz auffangen. [MOVE] hinausführen; Schluss. [MEASURE] weitere Portion. [MOVE] Stelle; aus dem Vorrat zuführen. [HOLD] absetzen; Schluss.
10	B5	BIOLOGICAL	f83r	11	3	11	1	MOVE>CLOSE>MOVE>CLOSE>APPLY>MOVE>PREPARE>MOVE>APPLY>MEASURE>PREPARE>MEASURE>MOVE	[MOVE] danach umsetzen; Schluss. [MOVE] Ansatz umsetzen; Schluss. [APPLY] an der Stelle absetzen. [MOVE] Stelle. [PREPARE] fortsetzen. [MOVE] weiterführen. [APPLY] an der Stelle umsetzen. [MEASURE] Maß. [PREPARE] fortsetzen. [MEASURE] zweite Stufe. [MOVE] laufender Stationsansatz umsetzen.
