segment_id	record_unit_id	register	page	owner_code	phase	ends_with_close	events	event_ids	statement_ids	readable_segment_de
H1-P001	H1	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	COLLECT	NO	1	E001	H1-S001	Pflanzenmaterial kurz abziehen.
H1-P002	H1	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	CHECK	NO	1	E002	H1-S001	Ansatz bereit.
H1-P003	H1	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MOVE	NO	2	E003|E004	H1-S001	aus dem laufenden Pflanzenansatz; den laufenden Pflanzenansatz füllen.
H1-P004	H1	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	CHECK	NO	1	E005	H1-S001	Gefäß.
H1-P005	H1	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	COLLECT	NO	2	E006|E007	H1-S001	Wasser abziehen; danach Arbeitsflüssigkeit füllen und weiter abziehen.
H1-P006	H1	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	APPLY	NO	1	E008	H1-S001	verwende abgezogene Flüssigkeitsfraktion.
H1-P007	H1	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MEASURE	NO	1	E009	H1-S001	Maß.
H1-P008	H1	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	HOLD	NO	1	E010	H1-S001	abgezogene Flüssigkeitsfraktion kurz füllen.
H1-P009	H1	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SELECT	NO	1	E011	H1-S002	abgezogene Flüssigkeitsfraktion ansetzen.
H1-P010	H1	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	COLLECT	NO	1	E012	H1-S002	danach weiter abziehen.
H1-P011	H1	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PREPARE	NO	1	E013	H1-S002	fortsetzen.
H1-P012	H1	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	CHECK	NO	1	E014	H1-S002	bereit.
H2-P001	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	COLLECT	NO	1	E015	H2-S001	diesen Ansatz kurz abziehen.
H2-P002	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	CHECK	NO	1	E016	H2-S001	bereit.
H2-P003	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PREPARE	NO	1	E017	H2-S001	Ansatz.
H2-P004	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MEASURE	NO	1	E018	H2-S001	auf Maß bereitstellen.
H2-P005	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	CHECK	NO	1	E019	H2-S001	laufender Pflanzenansatz bereit weiterführen.
H2-P006	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MOVE	NO	2	E020|E021	H2-S001	laufender Pflanzenansatz; laufender Pflanzenansatz.
H2-P007	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MEASURE	NO	1	E022	H2-S001	Maß.
H2-P008	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MOVE	NO	1	E023	H2-S001	laufender Pflanzenansatz.
H2-P009	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	COLLECT	NO	1	E024	H2-S002	danach Ansatz abziehen.
H2-P010	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PREPARE	NO	1	E025	H2-S002	Ansatz.
H2-P011	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SELECT	NO	1	E026	H2-S002	danach fortsetzen.
H2-P012	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PREPARE	NO	3	E027|E028|E029	H2-S002	fortsetzen; weiterer Ansatz; fortsetzen.
H2-P013	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MEASURE	NO	1	E030	H2-S002	Maß.
H2-P014	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MOVE	NO	2	E031|E032	H2-S002|H2-S003	aus dem laufenden Pflanzenansatz; laufender Pflanzenansatz dem Ansatz zuführen.
H2-P015	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PREPARE	NO	2	E033|E034	H2-S003	Ansatz; Ansatz.
H2-P016	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MOVE	NO	1	E035	H2-S003	laufender Pflanzenansatz.
H2-P017	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MEASURE	NO	1	E036	H2-S003	bis zur Sollstufe zuführen.
H2-P018	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MOVE	NO	1	E037	H2-S003	laufender Pflanzenansatz.
H2-P019	H2	HERBAL	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MEASURE	NO	1	E038	H2-S003	auf Maß abziehen.
H3-P001	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	HOLD	NO	1	E039	H3-S001	weiter gefüllt halten.
H3-P002	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	APPLY	NO	1	E040	H3-S001	an der Stelle halten.
H3-P003	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PREPARE	NO	1	E041	H3-S001	auswringen.
H3-P004	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	MEASURE	NO	1	E042	H3-S001	Pflanzenmaterial bis zum Maß halten.
H3-P005	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	MOVE	NO	1	E043	H3-S001	Pflanzenmaterial hineinführen.
H3-P006	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	COLLECT	YES	2	E044|E045	H3-S001	Klarauszug; füllen und abziehen; Schluss.
H3-P007	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	COLLECT	NO	1	E046	H3-S002	Fraktion des Ergebnisbestands halten und füllen.
H3-P008	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PREPARE	NO	1	E047	H3-S003	fortsetzen.
H3-P009	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	COLLECT	NO	3	E048|E049|E050	H3-S003	Fraktion des Ergebnisbestands; Fraktion des Ergebnisbestands zuführen; Fraktion des Ergebnisbestands.
H3-P010	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	MEASURE	NO	1	E051	H3-S003	Maß.
H3-P011	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	SELECT	NO	1	E052	H3-S004	nächster Posten.
H3-P012	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PREPARE	NO	1	E053	H3-S004	weiter ansetzen.
H3-P013	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	CHECK	NO	1	E054	H3-S004	bereit.
H3-P014	H3	HERBAL	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	SELECT	NO	1	E055	H3-S004	nächster Arbeitsposten.
H4-P001	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MEASURE	NO	4	E056|E057|E058|E059	H4-S001	bemessen; Maß; eine Portion davon zuführen; eine Portion davon zuführen.
H4-P002	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PREPARE	YES	1	E060	H4-S001	Arbeitsgang abschließen; Schritt schließen.
H4-P003	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MEASURE	NO	2	E061|E062	H4-S002	Maß; zweite Teilportion vom Pflanzenmaterial umsetzen.
H4-P004	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PREPARE	NO	1	E063	H4-S002	verwahren.
H4-P005	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MEASURE	NO	1	E064	H4-S003	zweite Teilportion vom Pflanzenmaterial auf Maß zuführen.
H4-P006	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MOVE	NO	1	E065	H4-S003	Auszug aus der Quelle.
H4-P007	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MEASURE	NO	1	E066	H4-S003	zweite Teilportion vom Pflanzenmaterial länger wärmen.
H4-P008	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PREPARE	YES	1	E067	H4-S003	fortsetzen; Schluss.
H4-P009	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MEASURE	NO	1	E068	H4-S004	Maß.
H4-P010	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	APPLY	NO	1	E069	H4-S004	an die Stelle setzen.
H4-P011	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MEASURE	NO	1	E070	H4-S004	zweite Teilportion vom Pflanzenmaterial weiter füllen.
H4-P012	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PREPARE	NO	1	E071	H4-S004	Ansatz.
H4-P013	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MOVE	NO	1	E072	H4-S004	laufender Pflanzenansatz.
H4-P014	H4	HERBAL	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	MEASURE	NO	1	E073	H4-S004	Ansatzportion.
H5-P001	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	COLLECT	NO	1	E074	H5-S001	Zutat aus dem Ansatz abziehen.
H5-P002	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	SELECT	NO	1	E075	H5-S001	Zutat.
H5-P003	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	MOVE	NO	1	E076	H5-S001	diese Zutat an die Stelle.
H5-P004	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	MEASURE	NO	1	E077	H5-S001	Maß.
H5-P005	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	SELECT	NO	1	E078	H5-S001	Zutat.
H5-P006	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	MOVE	NO	1	E079	H5-S001	weiter zuführen.
H5-P007	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	COLLECT	NO	1	E080	H5-S001	danach Ansatz abziehen.
H5-P008	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	APPLY	NO	1	E081	H5-S001	verwende den laufenden Pflanzenansatz.
H5-P009	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	MOVE	NO	1	E082	H5-S001	Stelle.
H5-P010	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PREPARE	NO	1	E083	H5-S002	fortsetzen.
H5-P011	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	SELECT	NO	1	E084	H5-S002	diese Zutat.
H5-P012	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	APPLY	NO	1	E085	H5-S002	verwende Zugabe.
H5-P013	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	HOLD	YES	1	E086	H5-S002	länger durch den Durchlass; Schluss.
H5-P014	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	HOLD	NO	1	E087	H5-S003	halten.
H5-P015	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	SELECT	NO	1	E088	H5-S003	Zutat.
H5-P016	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	HOLD	NO	1	E089	H5-S003	Zugabe kurz zuführen.
H5-P017	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	SELECT	NO	3	E090|E091|E092	H5-S003|H5-S004	Zugabe erneut ansetzen; Zugabe ansetzen; Auszug ansetzen.
H5-P018	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	MOVE	NO	1	E093	H5-S004	an die Stelle zuführen.
H5-P019	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	SELECT	NO	2	E094|E095	H5-S005	Zutat; Zugabe ansetzen.
H5-P020	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	MOVE	NO	1	E096	H5-S005	Zutat aus dem Vorrat zuführen.
H5-P021	H5	HERBAL	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	MEASURE	NO	1	E097	H5-S005	danach eine Portion.
