label_terminal_id	physical_folio	source_selector	array_id	locus	slot_index	slot_count	kluge_a_member	complete_label_surface	normalized_stem	eva_terminal	source_terminal_member	zl_terminal_member	it_terminal_member	rf_terminal_member	terminal_member_support	terminal_member_agreement	canonical_boundary_family	same_array_opposition	paired_label_stem	semantic_ceiling
GDT800-L01	f70	f70v1	SCARR020|f70v1|S2	f70v1.3	2	10	7	opchey sal	opcheysa	l	B2	B2	B2	B2	3	ALL3	APKJA|CAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L02	f70	f70v1	SCARR020|f70v1|S2	f70v1.5	4	10	9	okalal	okala	l	B2	B2	B2	B2	3	ALL3	AQABAB	0	1	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L03	f70	f70v1	SCARR020|f70v1|S2	f70v1.11	10	10	15	otal ypsharal	otalypshara	l	B2	B2	B2	B2	3	ALL3	AQAB|APLACAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L04	f70	f70v2	SCARR019|f70v2|S1	f70v2.23	1	10	2	otar al	otara	l	B2	B2	B2	B2	3	ALL3	AQACAB	1	1	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L05	f70	f70v2	SCARR019|f70v2|S1	f70v2.25	3	10	4	otalam	otala	m	B3	B3	B3	B3	3	ALL3	AQABAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L06	f70	f70v2	SCARR019|f70v2|S1	f70v2.26	4	10	5	dolaram	dolara	m	B3	B3	B3	B3	3	ALL3	BABACAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L07	f70	f70v2	SCARR019|f70v2|S1	f70v2.27	5	10	6	okaram	okara	m	B3	B3	B3	B3	3	ALL3	AQACAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L08	f70	f70v2	SCARR019|f70v2|S1	f70v2.28	6	10	7	oteosal	oteosa	l	B2	B2	B2	B2	3	ALL3	AQJACAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L09	f70	f70v2	SCARR019|f70v2|S1	f70v2.30	8	10	9	okaldal	okalda	l	B2	B2	B2	B2	3	ALL3	AQABBAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L10	f70	f70v2	SCARR018|f70v2|S2	f70v2.13	9	19	22	opysam	opysa	m	B3	B3	B3	B3	3	ALL3	APACAB	0	0	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
GDT800-L11	f70	f70v2	SCARR019|f70v2|S1	f70v2.22	10	10	1	otar am	otara	m	B3	B3	B3	B3	3	ALL3	AQAC|AB	1	1	PHYSICAL_TERMINAL_CONTRAST__NO_VALUE
