pair_id	kluge_a_member	left_template	right_template	left_array	right_array	left_folio	right_folio	left_locus	right_locus	left_surface	right_surface	surface_edit_distance	compact_edit_distance	same_boundary_family	same_zl_member_sequence	cross_physical_folio	terminal_lm_same_stem	a09_holdout	semantic_ceiling
GDT800-H001	1	T15	T30	SCARR021|f70v1|S1	SCARR019|f70v2|S1	f70	f70	f70v1.13	f70v2.22	okoly	otar am	6	5	0	0	0	0	0	ANALYST_HOMOLOG_COMPARISON__NO_EDGE_OR_MEANING
GDT800-H002	1	T15	T15	SCARR021|f70v1|S1	SCARR025|f71v|S2	f70	f71	f70v1.13	f71v.13	okoly	ofaom	4	4	0	0	1	0	0	ANALYST_HOMOLOG_COMPARISON__NO_EDGE_OR_MEANING
GDT800-H003	1	T15	T15	SCARR021|f70v1|S1	SCARR027|f72r1|S2	f70	f72	f70v1.13	f72r1.13	okoly	ofaralar	6	6	0	0	1	0	0	ANALYST_HOMOLOG_COMPARISON__NO_EDGE_OR_MEANING
GDT800-H004	1	T15	T30	SCARR021|f70v1|S1	SCARR030|f72r2|S2	f70	f72	f70v1.13	f72r2.23	okoly	otal	3	3	0	0	1	0	0	ANALYST_HOMOLOG_COMPARISON__NO_EDGE_OR_MEANING
GDT800-H005	1	T30	T15	SCARR019|f70v2|S1	SCARR025|f71v|S2	f70	f71	f70v2.22	f71v.13	otar am	ofaom	4	3	0	0	1	0	0	ANALYST_HOMOLOG_COMPARISON__NO_EDGE_OR_MEANING
GDT800-H006	1	T30	T15	SCARR019|f70v2|S1	SCARR027|f72r1|S2	f70	f72	f70v2.22	f72r1.13	otar am	ofaralar	4	4	0	0	1	0	0	ANALYST_HOMOLOG_COMPARISON__NO_EDGE_OR_MEANING
GDT800-H007	1	T30	T30	SCARR019|f70v2|S1	SCARR030|f72r2|S2	f70	f72	f70v2.22	f72r2.23	otar am	otal	4	3	0	0	1	0	0	ANALYST_HOMOLOG_COMPARISON__NO_EDGE_OR_MEANING
GDT800-H008	1	T15	T15	SCARR025|f71v|S2	SCARR027|f72r1|S2	f71	f72	f71v.13	f72r1.13	ofaom	ofaralar	5	5	0	0	1	0	0	ANALYST_HOMOLOG_COMPARISON__NO_EDGE_OR_MEANING
GDT800-H009	1	T15	T30	SCARR025|f71v|S2	SCARR030|f72r2|S2	f71	f72	f71v.13	f72r2.23	ofaom	otal	3	3	0	0	1	0	0	ANALYST_HOMOLOG_COMPARISON__NO_EDGE_OR_MEANING
GDT800-H010	1	T15	T30	SCARR027|f72r1|S2	SCARR030|f72r2|S2	f72	f72	f72r1.13	f72r2.23	ofaralar	otal	5	5	0	0	0	0	0	ANALYST_HOMOLOG_COMPARISON__NO_EDGE_OR_MEANING
GDT800-H011	2	T15	T30	SCARR021|f70v1|S1	SCARR019|f70v2|S1	f70	f70	f70v1.14	f70v2.23	otalaiin	otar al	5	4	0	0	0	0	0	ANALYST_HOMOLOG_COMPARISON__NO_EDGE_OR_MEANING
