analysis	held_or_value	m_n	m_final	l_n	l_final	informative_strata	mh_odds_ratio	exact_upper_p	decision
SECTION	B	45	44	774	102	25	167.518906194	9.77561915084e-19	DIRECTION_RETAINED
SECTION	C	16	14	18	0	0	0	1	THIN_OR_REVERSED
SECTION	H	256	149	1108	93	54	7.5235377017	5.19387736217e-31	DIRECTION_RETAINED
SECTION	P	36	13	246	16	9	3.75106459257	0.0145696439251	DIRECTION_RETAINED
SECTION	S	261	200	1116	92	59	30.5603914015	6.9582979625e-74	DIRECTION_RETAINED
SECTION	T	39	30	222	7	9	INF	1.1853086481e-11	DIRECTION_RETAINED
LANGUAGE	A	234	117	1245	97	55	6.17376867207	7.91867791908e-24	DIRECTION_RETAINED
LANGUAGE	B	419	333	2239	213	83	32.8050860468	1.43851824879e-130	DIRECTION_RETAINED
HAND	1	204	104	1120	89	50	5.74793988685	2.86726451704e-20	DIRECTION_RETAINED
HAND	2	164	125	1126	121	43	22.774124065	8.59620327859e-41	DIRECTION_RETAINED
HAND	3	266	206	1128	95	60	33.5556493231	3.07075976677e-78	DIRECTION_RETAINED
HAND	5	12	9	79	4	4	36.7083333333	0.000137362637363	DIRECTION_RETAINED
HAND	@	7	6	31	1	2	INF	0.125	DIRECTION_RETAINED
LEAVE_ONE_SECTION_OUT	B	608	406	2710	208	146	12.9857900596	1.54163818668e-100	PASS
LEAVE_ONE_SECTION_OUT	C	637	436	3466	310	171	14.5257876009	9.9201983553e-117	PASS
LEAVE_ONE_SECTION_OUT	H	397	301	2376	217	106	29.8541830807	8.69539580222e-98	PASS
LEAVE_ONE_SECTION_OUT	P	617	437	3238	294	162	15.8590496981	6.19659574787e-117	PASS
LEAVE_ONE_SECTION_OUT	S	392	250	2368	218	108	9.38698152554	2.51718679656e-49	PASS
LEAVE_ONE_SECTION_OUT	T	614	420	3262	303	162	13.737849874	4.55002208811e-108	PASS
