stem	l_surface	m_surface	l_occurrences	m_occurrences	l_pages	m_pages	l_multi_line_final	m_multi_line_final	l_final_rate	m_final_rate	m_minus_l_rate	direction	raw_odds_ratio	one_sided_exact_p	both_endings_at_least_5	semantic_ceiling
o	ol	om	463	20	108	18	42	14	0.0907127429806	0.7	0.609287257019	M_HIGHER	23.3888888889	3.72848773603e-10	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
cho	chol	chom	343	10	125	7	5	5	0.0145772594752	0.5	0.485422740525	M_HIGHER	67.6	1.34646850506e-06	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
a	al	am	204	67	63	39	26	54	0.127450980392	0.805970149254	0.678519168862	M_HIGHER	28.4378698225	1.01535433565e-24	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
da	dal	dam	191	68	87	52	43	43	0.225130890052	0.632352941176	0.407222051124	M_HIGHER	5.92	2.29402069953e-09	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
qoka	qokal	qokam	180	25	54	21	12	21	0.0666666666667	0.84	0.773333333333	M_HIGHER	73.5	1.45068325079e-16	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
sho	shol	shom	163	4	86	4	3	0	0.0184049079755	0	-0.0184049079755	L_HIGHER	0	1	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
ota	otal	otam	119	44	57	34	10	28	0.0840336134454	0.636363636364	0.552330022918	M_HIGHER	19.075	2.29190767583e-12	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
cheo	cheol	cheom	142	9	71	7	4	5	0.0281690140845	0.555555555556	0.527386541471	M_HIGHER	43.125	2.36400248027e-05	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
oka	okal	okam	123	27	64	24	12	19	0.0975609756098	0.703703703704	0.606142728094	M_HIGHER	21.96875	2.67542521154e-10	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
sheo	sheol	sheom	90	2	52	2	4	0	0.0444444444444	0	-0.0444444444444	L_HIGHER	0	1	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
qoko	qokol	qokom	88	2	51	2	0	1	0	0.5	0.5	M_HIGHER	INF	0.0222222222222	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
do	dol	dom	76	5	57	5	5	5	0.0657894736842	1	0.934210526316	M_HIGHER	INF	9.83545287343e-06	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
qota	qotal	qotam	57	11	36	9	5	8	0.0877192982456	0.727272727273	0.639553429027	M_HIGHER	27.7333333333	2.27271423606e-05	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
so	sol	som	57	2	37	2	2	0	0.0350877192982	0	-0.0350877192982	L_HIGHER	0	1	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
cha	chal	cham	42	15	26	13	6	9	0.142857142857	0.6	0.457142857143	M_HIGHER	9	0.00131325769175	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
ctho	cthol	cthom	51	5	34	5	6	2	0.117647058824	0.4	0.282352941176	M_HIGHER	5	0.14421427629	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
oko	okol	okom	53	2	41	2	4	0	0.0754716981132	0	-0.0754716981132	L_HIGHER	0	1	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
okeo	okeol	okeom	44	3	25	3	5	1	0.113636363636	0.333333333333	0.219696969697	M_HIGHER	3.9	0.342584027135	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
qoto	qotol	qotom	43	1	31	1	0	1	0	1	1	M_HIGHER	INF	0.0227272727273	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
sa	sal	sam	37	7	28	6	10	6	0.27027027027	0.857142857143	0.586872586873	M_HIGHER	16.2	0.0061498044601	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
qokeo	qokeol	qokeom	39	2	26	2	1	1	0.025641025641	0.5	0.474358974359	M_HIGHER	38	0.0963414634146	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
lo	lol	lom	35	4	23	4	16	4	0.457142857143	1	0.542857142857	M_HIGHER	INF	0.0589050589051	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
to	tol	tom	34	1	25	1	1	1	0.0294117647059	1	0.970588235294	M_HIGHER	INF	0.0571428571429	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
ko	kol	kom	30	3	27	3	2	2	0.0666666666667	0.666666666667	0.6	M_HIGHER	28	0.0326246334311	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
ka	kal	kam	25	7	21	7	2	5	0.08	0.714285714286	0.634285714286	M_HIGHER	28.75	0.00192402764705	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
chea	cheal	cheam	26	5	13	5	2	3	0.0769230769231	0.6	0.523076923077	M_HIGHER	18	0.0198986528241	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
ch	chl	chm	28	1	20	1	1	0	0.0357142857143	0	-0.0357142857143	L_HIGHER	0	1	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
chda	chdal	chdam	19	10	15	8	0	6	0	0.6	0.6	M_HIGHER	INF	0.000442086648983	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
cheda	chedal	chedam	22	6	15	6	1	4	0.0454545454545	0.666666666667	0.621212121212	M_HIGHER	42	0.0034188034188	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
otcho	otchol	otchom	27	1	25	1	0	0	0	0	0	TIE	0	1	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
oteo	oteol	oteom	26	1	24	1	2	0	0.0769230769231	0	-0.0769230769231	L_HIGHER	0	1	0	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
ra	ral	ram	16	11	14	11	4	11	0.25	1	0.75	M_HIGHER	INF	0.000104694814615	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
ta	tal	tam	20	6	13	6	2	4	0.1	0.666666666667	0.566666666667	M_HIGHER	18	0.0129044868175	1	EXACT_SURFACE_PAIR__NO_EQUIVALENCE_OR_MEANING
